fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKIA INDEX JAPON, FI*CM.B.JAPONESA*2009*2009-01-01*2009-12-31*Alto*0.0*0.47500000000000003**1805058.06*1353.5*0.0*5231571.0*False*2.9531***1.4*0.1****False*Y*2009
BANKIA INDEX JAPON, FI*CM.B.JAPONESA*2009 T4*2009-07-01*2009-12-31*Alto*0.0*0.29000000000000004**1684900.12*1238.0*0.0*5231571.0*False*2.9531***0.36*0.020000000000000004****False*T*2009
BANKIA INDEX JAPON, FI*CM.B.JAPONESA*2010*2010-01-01*2010-12-31*MUY ALTO*0.0*0.365**1646625.41*1208.0*0.0*4481275.0*False*2.9331***1.4*0.1****False*Y*2010
BANKIA INDEX JAPON, FI*CM.B.JAPONESA*2010 T2*2010-01-01*2010-06-30*MUY ALTO*0.0*0.29999999999999993**1757746.2599999998*1240.0*0.0*4864444.0*False*2.7554***0.33999999999999997*0.030000000000000002****False*T*2010
BANKIA INDEX JAPON, FI*CM.B.JAPONESA*2010 T4*2010-07-01*2010-12-31*MUY ALTO*0.0*0.49**1402669.65*1080.0*0.0*4481275.0*False*2.9331***0.36*0.020000000000000004****False*T*2010
BANKIA INDEX JAPON, FI*CM BOLSA JAPONESA*2011 T2*2011-01-01*2011-06-30*MUY ALTO*0.0*0.88**1266036.42*932.0*0.0*3738974.0*False*2.7825***0.33999999999999997*0.030000000000000002****False*T*2011
BANKIA INDEX JAPON, FI*CM BOLSA JAPONESA*2011 T2*2011-01-01*2011-06-30*MUY ALTO*0.0*0.88**1266036.42*932.0*0.0*3738974.0*False*2.7825***0.33999999999999997*0.030000000000000002****False*T*2011
BANKIA INDEX JAPON, FI*CM BOLSA JAPONESA*2011 T2*2011-01-01*2011-06-30*MUY ALTO*0.0*0.88**1266036.42*932.0*0.0*3738974.0*False*2.7825***0.33999999999999997*0.030000000000000002****False*T*2011
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2012*2012-01-01*2012-12-31*MUY ALTO*0.0*0.155**1145024.2349999999*841.0*0.0*3268819.0*False*2.8804*0.9*0.0*0.9*0.1****False*Y*2012
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2012 T2*2012-01-01*2012-06-30*MUY ALTO*0.0*0.26**1081444.46*834.0*0.0*2948878.0*False*2.5527*0.23*0.0*0.23*0.030000000000000002****False*T*2012
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2012 T4*2012-07-01*2012-12-31*MUY ALTO*0.0*0.020000000000000004**1179007.68*755.0*0.0*3268819.0*False*2.8804*0.22*0.0*0.22*0.020000000000000004****False*T*2012
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2013*2013-01-01*2013-12-31*7, en una escala del 1 al 7*0.0*0.01**1647657.77*925.0*0.0*6697020.0*False*4.1658*0.9*0.0*0.9*0.1****False*Y*2013
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2013 T2*2013-01-01*2013-06-30*MUY ALTO*0.0*0.01**1988410.3199999998*947.0*0.0*6207854.0*False*3.6783*0.23*0.0*0.23*0.030000000000000002****False*T*2013
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2013 T4*2013-07-01*2013-12-31*7, en una escala del 1 al 7*0.0*0.01**1627338.59*989.0*0.0*6697020.0*False*4.1658*0.22*0.0*0.22*0.020000000000000004****False*T*2013
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2014 T4*2014-07-01*2014-12-31*6, en una escala del 1 al 7*0.0*-0.01**1205804.5699999998*815.0*0.0*5701076.0*False*4.417*0.22*0.0*0.22*0.020000000000000004****False*T*2014
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2015*2015-01-01*2015-12-31*6, en una escala del 1 al 7*0.0*0.01**1605387.865*951.5*0.0*7628219.0*False*4.8116*0.9*0.0*0.9*0.1****False*Y*2015
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2015 T2*2015-01-01*2015-06-30*6, en una escala del 1 al 7*0.0*0.02**1798983.3599999999*1004.0*0.0*8235875.0*False*5.067*0.23*0.0*0.23*0.030000000000000002****False*T*2015
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2015 T4*2015-07-01*2015-12-31*6, en una escala del 1 al 7*0.0*0.0**1632659.48*1019.0*0.0*7628219.0*False*4.8116*0.22*0.0*0.22*0.020000000000000004****False*T*2015
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.805*0.0**1458958.885*869.5*0.0*6711741.0*False*4.6951*0.9*0.0*0.9*0.1****False*Y*2016
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**1421142.0400000003*852.0*0.0*5792991.0*False*3.8921*0.23*0.0*0.23*0.030000000000000002****False*T*2016
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*1.9300000000000002*0.0**1355713.8699999999*834.0*0.0*6711741.0*False*4.6951*0.22*0.0*0.22*0.020000000000000004****False*T*2016
BANKIA INDEX JAPON, FI*BANKIA BOLSA JAPONESA*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*0.0**1177978.1199999999*828.0*0.0*6335397.0*False*4.9863*0.23*0.0*0.23*0.030000000000000002****False*T*2017
BANKIA INDEX JAPON, FI*PT. BANKIA BOLSA JAPONESA UNIVERSAL, FI*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.16999999999999998*0.0**1569159.9200000002*1024.0*0.0*9285014.0*False*5.3591*0.23*0.0*0.23*0.030000000000000002****True*T*2018
BANKIA INDEX JAPON, FI*PT. BANKIA BOLSA JAPONESA CARTERA, FI*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.16999999999999998*0.0**282.58*2.0*0.0*26316.0*False*93.1291*0.06*0.0*0.06*0.02****True*T*2018
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO INTERNA, FI (MADBOLJ SM)*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.165**13149.994999999999*3.0*0.0*1430743.0*False*108.8018*0.0*0.0*0.0*0.0****True*Y*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO INTERNA, FI (MADBOLJ SM)*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.66**13149.98*3.0*0.0*1430743.0*False*108.8018*0.0*0.0*0.0*0.0****True*T*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO UNIVERSAL, FI*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.165**1468614.04*932.5*0.0*7702279.0*False*5.3647*0.9*0.0*0.9*0.1****True*Y*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO UNIVERSAL, FI*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.0*0.0**1474530.4800000002*922.0*0.0*7240657.0*False*4.8223*0.23*0.0*0.23*0.030000000000000002****True*T*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO UNIVERSAL, FI*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.66**1442562.07*897.0*0.0*7702279.0*False*5.3647*0.22*0.0*0.22*0.020000000000000004****True*T*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO CARTERA, FI*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.165**2143.395*12.5*0.0*310505.0*False*93.9872*0.36*0.0*0.36*0.1****True*Y*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO CARTERA, FI*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.0*0.0**825.3900000000001*4.0*0.0*82831.0*False*84.2551*0.09*0.0*0.09*0.030000000000000002****True*T*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDICE JAPON CUBIERTO CARTERA, FI*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.66**5091.67*37.0*0.0*310505.0*False*93.9872*0.09*0.0*0.09*0.020000000000000004****True*T*2019
BANKIA INDEX JAPON, FI*PT. BANKIA INDEX JAPON CARTERA, FI*2020*2020-01-01*2020-12-31*6, en una escala del 1 al 7*0.235*0.235**30537.21*26.0*0.0*5383789.0*False*94.2704*0.36*0.0*0.36*0.1****True*Y*2020
BANKIA INDEX JAPON, FI*PT. BANKIA INDEX JAPON CARTERA, FI*2020 T4*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.0*0.3699999999999999**72941.11*49.0*0.0*5383789.0*False*94.2704*0.09999999999999999*0.0*0.09999999999999999*0.030000000000000002****True*T*2020
BANKIA INDEX JAPON, FI*PT. BANKIA INDEX JAPON UNIVERSAL, FI*2020*2020-01-01*2020-12-31*6, en una escala del 1 al 7*0.235*0.235**1252494.54*819.0*0.0*6767356.0*False*5.353*0.88*0.0*0.88*0.1****True*Y*2020
BANKIA INDEX JAPON, FI*PT. BANKIA INDEX JAPON UNIVERSAL, FI*2020 T4*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.0*0.3699999999999999**1325519.93*765.0*0.0*6767356.0*False*5.353*0.23*0.0*0.23*0.030000000000000002****True*T*2020
