fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER MIXTO FLEXIBLE, FI*BK MIXTO EUROPA 50, FI*2009*2009-01-01*2009-12-31*Medio*1.565*0.64**30993.339999999997*1340.5*0.0*26476870.0*False*825.7698***1.55*0.1****False*Y*2009
BANKINTER MIXTO FLEXIBLE, FI*BK MIXTO EUROPA 50, FI*2009 T4*2009-07-01*2009-12-31*Medio*3.17*0.22000000000000003**32893.72*1400.0*0.0*26476870.0*False*825.7698***0.41000000000000003*0.020000000000000004****False*T*2009
BANKINTER MIXTO FLEXIBLE, FI*BK MIXTO EUROPA 50, FI*2010*2010-01-01*2010-12-31*Medio*0.97*0.39999999999999997**29939.025*1260.5*0.0*22581369.0*False*795.6183***1.6*0.1****False*Y*2010
BANKINTER MIXTO FLEXIBLE, FI*BK MIXTO EUROPA 50, FI*2010 T2*2010-01-01*2010-06-30*Medio*1.3199999999999998*0.25**30170.54*1272.0*0.0*24095147.0*False*765.0253***0.4*0.020000000000000004****False*T*2010
BANKINTER MIXTO FLEXIBLE, FI*BK MIXTO EUROPA 50, FI*2010 T4*2010-07-01*2010-12-31*Medio*1.81*0.6399999999999999**26551.429999999997*1137.0*0.0*22581369.0*False*795.6183***0.41000000000000003*0.020000000000000004****False*T*2010
BANKINTER MIXTO FLEXIBLE, FI*BK MIXTO EUROPA 50, FI*2011 T2*2011-01-01*2011-06-30*Medio*0.78*1.0499999999999998**22949.820000000003*1004.0*0.0*19626410.0*False*790.2169***0.4*0.020000000000000004****False*T*2011
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2012*2012-01-01*2012-12-31*6, en una escala del 1 al 7.*0.64*1.075**47348.185*2824.0*0.0*46103075.0*False*876.8639999999999*1.6*0.0*1.6*0.14****False*Y*2012
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2012 T2*2012-01-01*2012-06-30*6, de una escala del 1 al 7*1.96*0.050000000000000044**38055.0*1687.0*0.0*33743463.0*False*801.143*0.14*0.0*0.14*0.0****False*T*2012
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2012 T4*2012-07-01*2012-12-31*6, en una escala del 1 al 7.*0.6*2.23**47552.53*3750.0*0.0*46103075.0*False*876.8639999999999*0.4*0.0*0.4*0.04****False*T*2012
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2012*2012-01-01*2012-12-31*6, en una escala del 1 al 7.*0.64*1.075**47348.185*2824.0*0.0*46103075.0*False*876.8639999999999*1.6*0.0*1.6*0.14****False*Y*2012
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2012 T2*2012-01-01*2012-06-30*6, de una escala del 1 al 7*1.96*0.050000000000000044**38055.0*1687.0*0.0*33743463.0*False*801.143*0.14*0.0*0.14*0.0****False*T*2012
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2012 T4*2012-07-01*2012-12-31*6, en una escala del 1 al 7.*0.6*2.23**47552.53*3750.0*0.0*46103075.0*False*876.8639999999999*0.4*0.0*0.4*0.04****False*T*2012
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2013*2013-01-01*2013-12-31*6, en una escala del 1 al 7*0.155*1.3**55689.43*3411.0*0.0*63445248.0*False*1030.7976*1.6*0.0*1.6*0.15000000000000002****False*Y*2013
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2013 T2*2013-01-01*2013-06-30*6, en una escala del 1 al 7*0.33000000000000007*1.1900000000000002**48703.939999999995*2406.0*0.0*44454466.0*False*892.1368*0.4*0.0*0.4*0.030000000000000006****False*T*2013
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2013 T4*2013-07-01*2013-12-31*6, en una escala del 1 al 7*0.08*1.27**74552.05000000002*4191.0*0.0*63445248.0*False*1030.7976*0.41000000000000003*0.0*0.41000000000000003*0.04****False*T*2013
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2014*2014-01-01*2014-12-31*6, en una escala del 1 al 7*0.16*0.77**93644.075*6564.5*0.0*105575375.0*False*1067.4239*1.6*0.0*1.6*0.15000000000000002****False*Y*2014
