fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER PLATEA DINÁMICO, FI*BANKINTER CARTERA PRIVADA DINAMICA, FI*2016 T2*2016-01-01*2016-06-30*5, en una escala del 1 al 7.*0.1100000000000001*0.19000000000000003**118556.98*45.0*0.0*9269142.0*False*90.0226*0.27*0.0*0.27*0.030000000000000002****False*T*2016
BANKINTER PLATEA DINÁMICO, FI*BANKINTER CARTERA PRIVADA DINAMICA CLASE B*2017 T4*2017-07-01*2017-12-31*5, en una escala del 1 al 7.*1.44*0.06999999999999999**1417359.7899999998*346.0*0.0*111076577.0*False*101.4958*0.26*0.05000000000000002*0.32000000000000006*0.020000000000000004****True*T*2017
BANKINTER PLATEA DINÁMICO, FI*BANKINTER CARTERA PRIVADA DINAMICA CLASE A*2017 T4*2017-07-01*2017-12-31*5, en una escala del 1 al 7.*1.44*0.06999999999999999**259593.42*276.0*0.0*13020577.0*False*100.3152*0.28*0.41*0.69*0.02****True*T*2017
BANKINTER PLATEA DINÁMICO, FI*BANKINTER CARTERA PRIVADA DINAMICA, FI*2017 T2*2017-01-01*2017-06-30*5, en una escala del 1 al 7.*-0.03*0.1**780511.71*227.0*0.0*56044692.0*False*98.8529*0.26*0.0*0.26*0.030000000000000002****False*T*2017
BANKINTER PLATEA DINÁMICO, FI*CLASE B*2018*2018-01-01*2018-12-31*5, en una escala del 1 al 7.*0.65*-0.015**1624332.62*383.5*0.0*153824650.0*False*91.70100000000001*1.09*0.0*1.09*0.1****True*Y*2018
BANKINTER PLATEA DINÁMICO, FI*CLASE B*2018 T4*2018-07-01*2018-12-31*5, en una escala del 1 al 7.*1.28*0.0**1659865.2299999997*395.0*0.0*153824650.0*False*91.70100000000001*0.27*-0.01*0.26000000000000006*0.020000000000000004****True*T*2018
BANKINTER PLATEA DINÁMICO, FI*CLASE A*2018*2018-01-01*2018-12-31*5, en una escala del 1 al 7.*0.65*-0.015**393678.475*463.0*0.0*39255919.0*False*90.4485*1.25*0.0*1.25*0.1****True*Y*2018
BANKINTER PLATEA DINÁMICO, FI*CLASE A*2018 T4*2018-07-01*2018-12-31*5, en una escala del 1 al 7.*1.28*0.0**464829.29000000004*539.0*0.0*39255919.0*False*90.4485*0.32*-0.01*0.31*0.020000000000000004****True*T*2018
BANKINTER PLATEA DINÁMICO, FI*CLASE B*2019*2019-01-01*2019-12-31*5, en una escala del 1 al 7.*0.7*0.43**1270411.0550000002*310.0*0.0*123815813.0*False*104.631*1.11*0.24*1.35*0.1****True*Y*2019
BANKINTER PLATEA DINÁMICO, FI*CLASE B*2019 T2*2019-01-01*2019-06-30*5, en una escala del 1 al 7.*1.1099999999999999*0.04000000000000001**1138386.1900000002*293.0*0.0*135675576.0*False*99.9478*0.28*0.0*0.28*0.030000000000000002****True*T*2019
BANKINTER PLATEA DINÁMICO, FI*CLASE B*2019 T4*2019-07-01*2019-12-31*5, en una escala del 1 al 7.*1.06*0.9**1183239.76*279.0*0.0*123815813.0*False*104.631*0.28*0.24*0.52*0.020000000000000004****True*T*2019
BANKINTER PLATEA DINÁMICO, FI*CLASE A*2019*2019-01-01*2019-12-31*5, en una escala del 1 al 7.*0.7*0.43**406358.78500000003*475.5*0.0*41176822.0*False*103.1064*1.25*0.23*1.48*0.1****True*Y*2019
BANKINTER PLATEA DINÁMICO, FI*CLASE A*2019 T2*2019-01-01*2019-06-30*5, en una escala del 1 al 7.*1.1099999999999999*0.04000000000000001**387918.98*469.0*0.0*40731151.0*False*98.5379*0.31*0.0*0.31*0.030000000000000002****True*T*2019
BANKINTER PLATEA DINÁMICO, FI*CLASE A*2019 T4*2019-07-01*2019-12-31*5, en una escala del 1 al 7.*1.06*0.9**403776.25*456.0*0.0*41176822.0*False*103.1064*0.31*0.23*0.54*0.020000000000000004****True*T*2019
BANKINTER PLATEA DINÁMICO, FI*CLASE B*2020 T4*2020-07-01*2020-12-31*5, en una escala del 1 al 7*0.6799999999999999*0.060000000000000005**1177339.3199999998*260.0*0.0*125520697.0*False*109.0429*0.27*0.33*0.6*0.020000000000000004****True*T*2020
BANKINTER PLATEA DINÁMICO, FI*CLASE A*2020 T4*2020-07-01*2020-12-31*5, en una escala del 1 al 7*0.6799999999999999*0.060000000000000005**422446.77999999997*514.0*0.0*42375377.0*False*107.2876*0.32*0.33*0.6499999999999999*0.020000000000000004****True*T*2020
BANKINTER PLATEA DINÁMICO, FI*CLASE R*2020 T4*2020-07-01*2020-12-31*5, en una escala del 1 al 7*0.6799999999999999*0.060000000000000005**469797.3*2146.0*0.0*51955342.0*False*106.9899*0.34*0.0*0.34*0.04****True*T*2020
