fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpyme Comunicaciones FI*2009*2009-01-01*2009-12-31*Muy Alto*0.47000000000000003*0.61**1265061.285*1922.5*0.0*7550680.0*False*5.871***1.35*0.2****False*Y*2009
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpyme Comunicaciones FI*2009 T4*2009-07-01*2009-12-31*Muy Alto*0.55*0.17000000000000004**1305553.8499999999*1823.0*0.0*7550680.0*False*5.871***0.34*0.05****False*T*2009
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2010*2010-01-01*2010-12-31*Muy Alto*0.535*0.21**1465169.92*1766.5*0.0*9817361.0*False*6.6187***1.5499999999999998*0.2****False*Y*2010
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2010 T2*2010-01-01*2010-06-30*Muy Alto*1.26*0.13**1483030.87*1796.0*0.0*8619715.0*False*5.9567***0.38999999999999996*0.05****False*T*2010
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2010 T4*2010-07-01*2010-12-31*Muy Alto*0.38999999999999996*0.36**1481653.5*1667.0*0.0*9817361.0*False*6.6187***0.41*0.05****False*T*2010
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2010*2010-01-01*2010-12-31*Muy Alto*0.535*0.21**1465169.92*1766.5*0.0*9817361.0*False*6.6187***1.5499999999999998*0.2****False*Y*2010
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2010 T2*2010-01-01*2010-06-30*Muy Alto*1.26*0.13**1483030.87*1796.0*0.0*8619715.0*False*5.9567***0.38999999999999996*0.05****False*T*2010
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2010 T4*2010-07-01*2010-12-31*Muy Alto*0.38999999999999996*0.36**1481653.5*1667.0*0.0*9817361.0*False*6.6187***0.41*0.05****False*T*2010
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2011*2011-01-01*2011-12-31*Muy Alto*0.505*0.61**1393578.6099999999*1560.0*0.0*8428798.0*False*6.3871***1.65*0.2****False*Y*2011
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2011 T2*2011-01-01*2011-06-30*Muy Alto*0.8900000000000001*0.6000000000000001**1439820.66*1577.0*0.0*8944895.0*False*6.0953***0.41*0.05****False*T*2011
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2011 T4*2011-07-01*2011-12-31*Muy Alto*0.45000000000000007*0.5899999999999999**1212629.92*1398.0*0.0*8428798.0*False*6.3871***0.41*0.05****False*T*2011
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2011*2011-01-01*2011-12-31*Muy Alto*0.505*0.61**1393578.6099999999*1560.0*0.0*8428798.0*False*6.3871***1.65*0.2****False*Y*2011
CAIXABANK COMUNICACION MUNDIAL, FI*Bankpime Comunicaciones FI*2011 T2*2011-01-01*2011-06-30*Muy Alto*0.8900000000000001*0.6000000000000001**1439820.66*1577.0*0.0*8944895.0*False*6.0953***0.41*0.05****False*T*2011
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2011 T4*2011-07-01*2011-12-31*Muy Alto*0.45000000000000007*0.5899999999999999**1212629.92*1398.0*0.0*8428798.0*False*6.3871***0.41*0.05****False*T*2011
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2012 T2*2012-01-01*2012-06-30*Muy Alto*-0.03*0.22000000000000003**985834.08*1690.0*0.0*7011575.0*False*7.13*0.41*0.0*0.41*0.05****False*T*2012
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2013*2013-01-01*2013-12-31*6 - Alto*0.545*0.13**701234.2*1456.0*0.0*5692484.0*False*8.236*1.65*0.0*1.65*0.2****False*Y*2013
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2013 T2*2013-01-01*2013-06-30*6 - Alto*0.35000000000000003*0.14**650934.72*1421.0*0.0*5225675.0*False*7.3467*0.41*0.0*0.41*0.05****False*T*2013
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2013 T4*2013-07-01*2013-12-31*6 - Alto*1.29*0.09999999999999998**697193.3900000001*1400.0*0.0*5692484.0*False*8.236*0.41*0.0*0.41*0.05****False*T*2013
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2014*2014-01-01*2014-12-31*6 - Alto*0.33999999999999997*0.07500000000000001**1323283.515*2061.0*0.0*20074339.0*False*10.3969*1.65*0.0*1.65*0.2****False*Y*2014
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2014 T2*2014-01-01*2014-06-30*6 - Alto*0.72*0.13**763896.2699999999*1550.0*0.0*6333713.0*False*8.8488*0.41*0.0*0.41*0.05****False*T*2014
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2014 T4*2014-07-01*2014-12-31*6 - Alto*0.2*0.04000000000000001**2682842.37*3291.0*0.0*20074339.0*False*10.3969*0.42*0.0*0.42*0.05****False*T*2014
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2015*2015-01-01*2015-12-31*6 - Alto*0.265*0.075**5715776.5600000005*7524.0*0.0*67152851.0*False*11.4541*1.65*0.0*1.65*0.2****False*Y*2015
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2015 T2*2015-01-01*2015-06-30*6 - Alto*0.06*0.09**6498321.94*8932.0*0.0*59827079.0*False*10.7433*0.41999999999999993*0.0*0.41999999999999993*0.05****False*T*2015
CAIXABANK COMUNICACION MUNDIAL, FI*FONCAIXA COMUNICACIONES, FI*2015 T4*2015-07-01*2015-12-31*6 - Alto*0.71*0.09**6401675.15*8190.0*0.0*67152851.0*False*11.4541*0.41*0.0*0.41*0.05****False*T*2015
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2016*2016-01-01*2016-12-31*6 - Alto*0.53*0.185**6399732.9399999995*7774.0*0.0*99735549.0*False*12.9003*1.65*0.0*1.65*0.2****False*Y*2016
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2016 T2*2016-01-01*2016-06-30*6 - Alto*1.09*0.18000000000000002**4659050.15*6428.0*0.0*57158274.0*False*11.2779*0.41*0.0*0.41*0.05****False*T*2016
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2016 T4*2016-07-01*2016-12-31*6 - Alto*0.36*0.16000000000000003**9283657.739999998*9978.0*0.0*99735549.0*False*12.9003*0.42*0.0*0.42*0.05****False*T*2016
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2016*2016-01-01*2016-12-31*6 - Alto*0.53*0.185**6399732.9399999995*7774.0*0.0*99735549.0*False*12.9003*1.65*0.0*1.65*0.2****False*Y*2016
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2016 T2*2016-01-01*2016-06-30*6 - Alto*1.09*0.18000000000000002**4659050.15*6428.0*0.0*57158274.0*False*11.2779*0.41*0.0*0.41*0.05****False*T*2016
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2016 T4*2016-07-01*2016-12-31*6 - Alto*0.36*0.16000000000000003**9283657.739999998*9978.0*0.0*99735549.0*False*12.9003*0.42*0.0*0.42*0.05****False*T*2016
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2017*2017-01-01*2017-12-31*6 - Alto*0.3*0.18**12709938.33*13070.0*0.0*189761026.0*False*14.9398*2.34*0.0*2.34*0.27****True*Y*2017
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2017 T2*2017-01-01*2017-06-30*6 - Alto*0.6299999999999999*-0.16999999999999998**14060129.07*14072.0*0.0*173512902.0*False*13.6429*0.41*0.0*0.41*0.05****False*T*2017
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2017 T4*2017-07-01*2017-12-31*6 - Alto*-0.04*0.46**13171758.69*13582.0*0.0*189761026.0*False*14.9398*1.1*0.0*1.1*0.12000000000000001****True*T*2017
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACIONES, FI*2018 T2*2018-01-01*2018-06-30*6 - Alto*0.72*0.9999999999999999**15402685.34*14776.0*0.0*244481681.0*False*16.7574*0.41*0.0*0.41*0.049999999999999996****True*T*2018
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACION MUNDIAL, FI*2019*2019-01-01*2019-12-31*6 - Alto*0.725*1.83**18292339.865*19290.0*0.0*405812737.0*False*21.5667*1.65*0.0*1.65*0.18****True*Y*2019
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACION MUNDIAL, FI*2019 T4*2019-07-01*2019-12-31*6 - Alto*1.74*1.39**19949276.08*20679.0*0.0*405812737.0*False*21.5667*0.41*0.0*0.41*0.049999999999999996****True*T*2019
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACION MUNDIAL, FI*2020*2020-01-01*2020-12-31*6 - Alto*1.105*0.19**22345278.14*25924.0*0.0*586404534.0*False*25.3744*1.65*0.0*1.65*0.18****True*Y*2020
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACION MUNDIAL, FI*2020 T2*2020-01-01*2020-06-30*6 - Alto*2.08*-0.12**26176627.540000003*28027.0*0.0*492028081.0*False*22.7997*0.41*0.0*0.41*0.049999999999999996****True*T*2020
CAIXABANK COMUNICACION MUNDIAL, FI*CAIXABANK COMUNICACION MUNDIAL, FI*2020 T4*2020-07-01*2020-12-31*6 - Alto*1.1500000000000001*0.01**23789424.82*29712.0*0.0*586404534.0*False*25.3744*0.42*0.0*0.42*0.049999999999999996****True*T*2020
