fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2009*2009-01-01*2009-12-31*Alto*0.9*0.74**921404.9*270.0*0.0*10113267.0*False*10.6868***1.25*0.12****False*Y*2009
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2009 T4*2009-07-01*2009-12-31*Alto*1.0699999999999998*0.26**967398.06*273.0*0.0*10113267.0*False*10.6868***0.32*0.03****False*T*2009
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2010*2010-01-01*2010-12-31*Alto*1.7000000000000002*0.345**1063142.97*281.0*0.0*11974024.0*False*11.1284***1.25*0.12****False*Y*2010
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2010 T2*2010-01-01*2010-06-30*Alto*3.12*0.26**1117610.02*289.0*0.0*11490392.0*False*10.9401***0.31*0.03****False*T*2010
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2010 T4*2010-07-01*2010-12-31*Alto*2.1500000000000004*0.48000000000000004**1104175.25*281.0*0.0*11974024.0*False*11.1284***0.31*0.03****False*T*2010
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2011*2011-01-01*2011-12-31*Muy Alto*1.65*0.645**1037001.86*280.5*0.0*9995659.0*False*10.0877***1.25*0.12****False*Y*2011
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2011 T2*2011-01-01*2011-06-30*Muy Alto*2.14*0.6599999999999999**1082928.1199999999*281.0*0.0*11996782.0*False*11.0761***0.31*0.03****False*T*2011
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2011 T4*2011-07-01*2011-12-31*Muy Alto*2.99*0.6200000000000001**897957.8599999999*276.0*0.0*9995659.0*False*10.0877***0.31*0.03****False*T*2011
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2012 T2*2012-01-01*2012-06-30*Muy Alto*2.0100000000000002*0.35**1037170.41*277.0*0.0*10471553.0*False*10.2411*0.31**0.31*0.03****False*T*2012
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2013*2013-01-01*2013-12-31*Muy Alto*1.7650000000000001*0.08**864680.4450000001*280.5*0.0*10491561.0*False*12.4815*1.25**1.25*0.12****False*Y*2013
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2013 T2*2013-01-01*2013-06-30*Muy Alto*3.16*0.09**897421.6499999999*278.0*0.0*9726633.0*False*10.9436*0.31**0.31*0.03****False*T*2013
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2013 T4*2013-07-01*2013-12-31*Muy Alto*2.01*0.12**791772.7100000001*286.0*0.0*10491561.0*False*12.4815*0.31**0.31*0.03****False*T*2013
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2014*2014-01-01*2014-12-31*6, en una escala del 1 al 7*1.4*0.105**903856.97*288.0*0.0*11923854.0*False*13.1873*1.25**1.25*0.12****False*Y*2014
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2014 T2*2014-01-01*2014-06-30*6, en una escala del 1 al 7*2.08*0.2**918870.8500000001*293.0*0.0*11833374.0*False*13.097000000000001*0.31**0.31*0.03****False*T*2014
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2014 T4*2014-07-01*2014-12-31*6, en una escala del 1 al 7*2.02*0.0**895837.6900000001*284.0*0.0*11923854.0*False*13.1873*0.31**0.31*0.03****False*T*2014
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2015 T2*2015-01-01*2015-06-30*6, en una escala del 1 al 7*1.87*0.0**1219877.5500000003*300.0*0.0*17294283.0*False*14.2838*0.31**0.31*0.03****False*T*2015
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*1.9300000000000002*0.0**2738189.71*294.5*0.0*41394116.0*False*14.2693*1.25**1.25*0.12****False*Y*2016
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*2.8600000000000003*0.0**2622793.38*286.0*0.0*35213409.0*False*13.6727*0.31**0.31*0.03****False*T*2016
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*2.95*0.0**2760718.29*286.0*0.0*41394116.0*False*14.2693*0.32**0.32*0.03****False*T*2016
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*1.13*0.0**3041476.745*305.0*0.0*47614044.0*False*14.8012*1.25**1.25*0.12****False*Y*2017
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*1.8*0.0**2821791.2900000005*293.0*0.0*41024820.0*False*14.3141*0.31**0.31*0.03****False*T*2017
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*1.67*0.0**3539756.22*320.0*0.0*47614044.0*False*14.8012*0.31**0.31*0.03****False*T*2017
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*2.17*0.0**3164158.99*315.0*0.0*43849017.0*False*13.7974*1.25**1.25*0.12****False*Y*2018
DUX MIXTO VARIABLE, FI*DUX MIXTO VARIABLE, FI*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*2.62*0.0**3135483.93*313.0*0.0*47139948.0*False*14.9639*0.31**0.31*0.03****False*T*2018
