fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2010*2010-01-01*2010-12-31*Alto*1.48*0.15000000000000002**2465338.92*1653.5*0.0*17029398.0*False*7.1209***2.0*0.09****False*Y*2010
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2010 T2*2010-01-01*2010-06-30*Alto*3.09*0.1**2456192.64*1676.0*0.0*15789958.0*False*6.2185***0.5*0.02****False*T*2010
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2010 T4*2010-07-01*2010-12-31*Alto*1.0*0.31000000000000005**2301037.4699999997*1499.0*0.0*17029398.0*False*7.1209***0.51*0.030000000000000002****False*T*2010
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2011 T2*2011-01-01*2011-06-30*Alto*2.0900000000000003*0.77**1963640.7200000002*1448.0*0.0*14366368.0*False*7.4058***0.5*0.02****False*T*2011
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2011 T2*2011-01-01*2011-06-30*Alto*2.0900000000000003*0.77**1963640.7200000002*1448.0*0.0*14366368.0*False*7.4058***0.5*0.02****False*T*2011
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2012*2012-01-01*2012-12-31*7, de una*2.285*0.125**2941323.83*2688.0*0.0*17192724.0*False*6.2444*2.01*0.0*2.01*0.09****False*Y*2012
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2012 T2*2012-01-01*2012-06-30*7, de una*3.3900000000000006*0.11000000000000001**3016204.13*2723.0*0.0*17247443.0*False*5.5115*0.5*0.0*0.5*0.02****False*T*2012
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2012 T4*2012-07-01*2012-12-31*7, de una*3.45*0.10999999999999999**2486930.4200000004*2360.0*0.0*17192724.0*False*6.2444*0.51*0.0*0.51*0.030000000000000002****False*T*2012
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2013*2013-01-01*2013-12-31*7, de una escala del 1 al 7*2.235*0.03**2084834.545*2125.5*0.0*15424917.0*False*7.4913*2.0*0.0*2.0*0.09****False*Y*2013
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2013 T2*2013-01-01*2013-06-30*7, de una escala del 1 al 7*3.8200000000000003*0.019999999999999997**1798136.9999999995*2031.0*0.0*12923595.0*False*6.1231*0.5*0.0*0.5*0.02****False*T*2013
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2013 T4*2013-07-01*2013-12-31*7, de una escala del 1 al 7*2.8*0.039999999999999994**2091935.7100000002*2106.0*0.0*15424917.0*False*7.4913*0.51*0.0*0.51*0.030000000000000002****False*T*2013
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2014 T2*2014-01-01*2014-06-30*7, de una escala del 1 al 7*3.3099999999999996*0.01**1796544.7599999998*1929.0*0.0*14642375.0*False*7.7669*0.5*0.0*0.5*0.02****False*T*2014
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2015*2015-01-01*2015-12-31*7, de una escala del 1 al 7*1.8050000000000002*0.01**1906955.8199999998*2724.0*0.0*16285385.0*False*6.8139*2.0*0.0*2.0*0.09****False*Y*2015
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2015 T2*2015-01-01*2015-06-30*7, de una escala del 1 al 7*2.94*0.01**1226395.5100000002*2044.0*0.0*10924588.0*False*7.6724*0.5*0.0*0.5*0.02****False*T*2015
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2015 T4*2015-07-01*2015-12-31*7, de una escala del 1 al 7*2.47*0.01**2241033.7099999995*2903.0*0.0*16285385.0*False*6.8139*0.5*0.0*0.5*0.030000000000000002****False*T*2015
