fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2009*2009-01-01*2009-12-31*Bajo*0.075*0.77**10779432.66*6080.0*0.0*190025493.0*False*10.8246***1.19*0.0****False*Y*2009
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2009 T4*2009-07-01*2009-12-31*Bajo*0.3*0.6799999999999999**25593783.08*13142.0*0.0*190025493.0*False*10.8246***0.3*0.0****False*T*2009
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2010*2010-01-01*2010-12-31*Bajo*0.19*0.28**21937560.759999998*11980.0*0.0*231407369.0*False*10.9606***1.2*0.0****False*Y*2010
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2010 T2*2010-01-01*2010-06-30*Bajo*0.27*-0.41**22983509.55*12583.0*0.0*248182418.0*False*10.9032***0.29*0.0****False*T*2010
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2010 T4*2010-07-01*2010-12-31*Bajo*0.3*0.36000000000000004**18986068.12*11333.0*0.0*231407369.0*False*10.9606***0.31*0.0****False*T*2010
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2011 T2*2011-01-01*2011-06-30*Bajo*1.06*0.6700000000000002**15494596.27*9869.0*0.0*186974084.0*False*11.0088***0.3*0.0****False*T*2011
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2012*2012-01-01*2012-12-31*3 en una escala de 1 a 7.*0.4*-0.12499999999999999**14712165.9*9606.0*0.0*182866196.0*False*11.4963*1.2*0.0*1.2*0.0****False*Y*2012
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2012 T2*2012-01-01*2012-06-30*Bajo*0.71*0.27**13643184.030000001*9057.0*0.0*152081704.0*False*11.2505*0.3*0.0*0.3*0.0****False*T*2012
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2012 T4*2012-07-01*2012-12-31*3 en una escala de 1 a 7.*0.4099999999999999*-1.06**17115959.02*10708.0*0.0*182866196.0*False*11.4963*0.3*0.0*0.3*0.0****False*T*2012
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2012*2012-01-01*2012-12-31*3 en una escala de 1 a 7.*0.4*-0.12499999999999999**14712165.9*9606.0*0.0*182866196.0*False*11.4963*1.2*0.0*1.2*0.0****False*Y*2012
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR FI*2012 T2*2012-01-01*2012-06-30*Bajo*0.71*0.27**13643184.030000001*9057.0*0.0*152081704.0*False*11.2505*0.3*0.0*0.3*0.0****False*T*2012
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2012 T4*2012-07-01*2012-12-31*3 en una escala de 1 a 7.*0.4099999999999999*-1.06**17115959.02*10708.0*0.0*182866196.0*False*11.4963*0.3*0.0*0.3*0.0****False*T*2012
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2013*2013-01-01*2013-12-31*2 en una escala de 1 a 7.*0.47*0.035**15533519.274999999*10152.0*0.0*173901178.0*False*11.6362*1.21*0.0*1.21*0.0****False*Y*2013
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2013 T2*2013-01-01*2013-06-30*3 en una escala de 1 a 7.*0.73*0.04**16227230.219999999*10415.0*0.0*185375225.0*False*11.4982*0.3*0.0*0.3*0.0****False*T*2013
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2013 T4*2013-07-01*2013-12-31*2 en una escala de 1 a 7.*0.59*0.009999999999999995**14258225.489999998*9768.0*0.0*173901178.0*False*11.6362*0.31*0.0*0.31*0.0****False*T*2013
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2014*2014-01-01*2014-12-31*3 en una escala de 1 a 7.*0.505*0.07**16925193.900000002*11869.5*0.0*222063138.0*False*11.9632*1.2*0.0*1.2*0.0****False*Y*2014
