fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2009*2009-01-01*2009-12-31*Medio*0.0*0.745**3057845.955*2445.5*0.0*47057001.0*False*10.4193***1.19*0.0****False*Y*2009
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2009 T4*2009-07-01*2009-12-31*Medio*0.0*0.5900000000000001**6619785.710000001*4734.0*0.0*47057001.0*False*10.4193***0.3*0.0****False*T*2009
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2010*2010-01-01*2010-12-31*Medio*0.295*0.295**10509323.850000001*7096.0*0.0*127798491.0*False*10.6939***1.17*0.0****False*Y*2010
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2010 T2*2010-01-01*2010-06-30*Medio*0.69*-0.11999999999999994**10798905.36*7409.0*0.0*95714005.0*False*10.5551***0.22000000000000003*0.0****False*T*2010
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2010 T4*2010-07-01*2010-12-31*Medio*0.44*0.41**12979203.350000001*8612.0*0.0*127798491.0*False*10.6939***0.30000000000000004*0.0****False*T*2010
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2011 T2*2011-01-01*2011-06-30*Medio*0.9100000000000001*0.71**10793283.080000002*7893.0*0.0*125065049.0*False*10.7405***0.3*0.0****False*T*2011
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2012*2012-01-01*2012-12-31*4 en una escala de 1 a 7.*0.20500000000000002*0.12**10807011.309999999*10080.0*0.0*122694986.0*False*11.2886*1.25*0.0*1.25*0.0****False*Y*2012
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2012 T2*2012-01-01*2012-06-30*Medio*0.08000000000000002*0.22999999999999998**12998865.02*13821.0*0.0*116543914.0*False*10.8463*0.35000000000000003*0.0*0.35000000000000003*0.0****False*T*2012
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2012 T4*2012-07-01*2012-12-31*4 en una escala de 1 a 7.*0.08000000000000002*-0.05**11120652.529999997*10020.0*0.0*122694986.0*False*11.2886*0.3*0.0*0.3*0.0****False*T*2012
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2012*2012-01-01*2012-12-31*4 en una escala de 1 a 7.*0.20500000000000002*0.12**10807011.309999999*10080.0*0.0*122694986.0*False*11.2886*1.25*0.0*1.25*0.0****False*Y*2012
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO FI*2012 T2*2012-01-01*2012-06-30*Medio*0.08000000000000002*0.22999999999999998**12998865.02*13821.0*0.0*116543914.0*False*10.8463*0.35000000000000003*0.0*0.35000000000000003*0.0****False*T*2012
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2012 T4*2012-07-01*2012-12-31*4 en una escala de 1 a 7.*0.08000000000000002*-0.05**11120652.529999997*10020.0*0.0*122694986.0*False*11.2886*0.3*0.0*0.3*0.0****False*T*2012
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2013*2013-01-01*2013-12-31*3 en una escala de 1 a 7.*0.52*0.03**11501903.530000001*10519.5*0.0*135065220.0*False*11.5829*1.2*0.0*1.2*0.0****False*Y*2013
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2013 T2*2013-01-01*2013-06-30*4 en una escala de 1 a 7.*0.81*0.05**11753555.68*10694.0*0.0*127612229.0*False*11.2502*0.3*0.0*0.3*0.0****False*T*2013
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2013 T4*2013-07-01*2013-12-31*3 en una escala de 1 a 7.*0.61*-0.010000000000000002**11870587.750000002*10859.0*0.0*135065220.0*False*11.5829*0.3*0.0*0.3*0.0****False*T*2013
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2014*2014-01-01*2014-12-31*4 en una escala de 1 a 7.*0.345*0.08**18604328.695*15495.0*0.0*271589080.0*False*12.3293*1.19*0.0*1.19*0.0****False*Y*2014
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2014 T2*2014-01-01*2014-06-30*4 en una escala de 1 a 7.*0.53*0.15999999999999998**17806889.61*15308.0*0.0*182078202.0*False*11.9941*0.29*0.0*0.29*0.0****False*T*2014
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2014 T4*2014-07-01*2014-12-31*4 en una escala de 1 a 7.*0.64*0.0**25396100.62*19436.0*0.0*271589080.0*False*12.3293*0.3*0.0*0.3*0.0****False*T*2014
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2015 T2*2015-01-01*2015-06-30*4 en una escala de 1 a 7.*0.31000000000000005*0.0**34544188.84*26839.0*0.0*400802809.0*False*12.2163*0.3*0.0*0.3*0.0****False*T*2015
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2016*2016-01-01*2016-12-31*4 en una escala de 1 a 7.*0.81*0.0**32315191.42*26355.0*0.0*405636564.0*False*12.4147*1.2*0.0*1.2*0.0****False*Y*2016
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2016 T2*2016-01-01*2016-06-30*4 en una escala de 1 a 7.*1.3900000000000001*0.0**31199073.28*25698.0*0.0*394616783.0*False*12.3485*0.3*0.0*0.3*0.0****False*T*2016
