fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2009*2009-01-01*2009-12-31*Moderado*0.5900000000000001*0.7000000000000001**686627.8049999999*171.0**5986000.0*False*9.5544***0.95*0.05****False*Y*2009
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2009 T4*2009-07-01*2009-12-31*Moderado*1.6800000000000002*0.36000000000000004**588816.45*149.0**5986000.0*False*9.5544***0.24*0.019999999999999997****False*T*2009
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2010*2010-01-01*2010-12-31*Moderado*0.365*0.46**483279.23*144.5**3795000.0*False*9.6636***0.95*0.05****False*Y*2010
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2010 T2*2010-01-01*2010-06-30*Moderado*0.9199999999999999*0.39**575753.55*146.0**5403000.0*False*9.4153***0.23999999999999996*0.01****False*T*2010
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2010 T4*2010-07-01*2010-12-31*Moderado*-0.060000000000000005*0.6600000000000001**231916.56000000006*135.0**3795000.0*False*9.6636***0.24*0.019999999999999997****False*T*2010
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2011*2011-01-01*2011-12-31*Moderado*0.72*1.01**320214.56*127.5**2849000.0*False*9.5104***0.9299999999999999*0.05****False*Y*2011
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2011 T2*2011-01-01*2011-06-30*Moderado*1.01*1.08**334111.76999999996*129.0**3322000.0*False*9.7462***0.23*0.01****False*T*2011
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2011 T4*2011-07-01*2011-12-31*Moderado*1.03*1.2699999999999998**285928.2*113.0**2849000.0*False*9.5104***0.22999999999999998*0.019999999999999997****False*T*2011
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2012 T2*2012-01-01*2012-06-30*Moderado*0.99*0.39**248098.54000000004*112.0**2581000.0*False*9.6743*0.23*0.0*0.23*0.01****False*T*2012
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2013*2013-01-01*2013-12-31*Moderado*0.255*0.095**1004803.1100000001*128.5**17649000.0*False*10.5172*0.94*0.0*0.94*0.04****False*Y*2013
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2013 T2*2013-01-01*2013-06-30*Moderado*0.65*0.1**357108.88000000006*108.0**3418000.0*False*10.3111*0.23999999999999996*0.0*0.23999999999999996*0.01****False*T*2013
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2013 T4*2013-07-01*2013-12-31*Moderado*0.0*0.1**2935640.16*193.0**17649000.0*False*10.5172*0.22999999999999998*0.0*0.22999999999999998*0.01****False*T*2013
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2014*2014-01-01*2014-12-31*Moderado*0.11*0.11**6404643.555*356.0**85771000.0*False*10.7585*0.95*0.0*0.95*0.05****False*Y*2014
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2014 T2*2014-01-01*2014-06-30*Moderado*0.43*0.22999999999999998**6337859.05*374.0**51862000.0*False*10.7221*0.23999999999999996*0.0*0.23999999999999996*0.01****False*T*2014
INVERSABADELL 10, FI*INVERSABADELL 10 PREMIER, F.I.*2014 T4*2014-07-01*2014-12-31*Moderado*0.0*-0.009999999999999998**9418678.41*484.0**85771000.0*False*10.7585*0.24*0.0*0.24*0.019999999999999997****False*T*2014
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2015*2015-01-01*2015-12-31*3, en una escala del 1 al 7*0.385*0.0**20273073.435*7812.5**209931000.0*False*10.918*1.44*0.0*1.44*0.05****True*Y*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2015 T4*2015-07-01*2015-12-31*3, en una escala del 1 al 7*0.9600000000000001*0.0**18334507.99*7111.0**209931000.0*False*10.918*0.37*0.0*0.37*0.019999999999999997****True*T*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2015*2015-01-01*2015-12-31*3, en una escala del 1 al 7*0.385*0.0**8280986.525*526.0**88404000.0*False*10.9787*0.73*0.0*0.73*0.05****True*Y*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2015 T4*2015-07-01*2015-12-31*3, en una escala del 1 al 7*0.9600000000000001*0.0**7870785.79*507.0**88404000.0*False*10.9787*0.21*0.0*0.21*0.019999999999999997****True*T*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2015*2015-01-01*2015-12-31*3, en una escala del 1 al 7*0.385*0.0**1270483.72*10.0**13672000.0*False*11.0021*0.52*0.0*0.52*0.05****True*Y*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2015 T4*2015-07-01*2015-12-31*3, en una escala del 1 al 7*0.9600000000000001*0.0**1344375.9100000001*11.0**13672000.0*False*11.0021*0.15*0.0*0.15*0.019999999999999997****True*T*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2015*2015-01-01*2015-12-31*3, en una escala del 1 al 7*0.385*0.0**0.0*0.0**0.0*False*10.9477*0.0*0.0*0.0*0.0****True*Y*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2015 T4*2015-07-01*2015-12-31*3, en una escala del 1 al 7*0.9600000000000001*0.0**0.0*0.0**0.0*False*10.9477*0.0*0.0*0.0*0.0****True*T*2015
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2016 T2*2016-01-01*2016-06-30*3, en una escala del 1 al 7*0.28*0.0**15961673.240000002*6543.0**184741000.0*False*10.8961*0.37*0.0*0.37*0.01****True*T*2016
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2016 T2*2016-01-01*2016-06-30*3, en una escala del 1 al 7*0.28*0.0**8093311.03*515.0**89870000.0*False*10.992*0.21*0.0*0.21*0.01****True*T*2016
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2016 T2*2016-01-01*2016-06-30*3, en una escala del 1 al 7*0.28*0.0**1168470.62*9.0**13804000.0*False*11.0291*0.15*0.0*0.15*0.01****True*T*2016
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2016 T2*2016-01-01*2016-06-30*3, en una escala del 1 al 7*0.28*0.0**0.0*0.0**0.0*False*10.9431*0.0*0.0*0.0*0.0****True*T*2016
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.205*-0.14500000000000002**12155788.415*5369.0**119793000.0*False*10.977*1.49*0.0*1.49*0.05****True*Y*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.09000000000000001**12272146.71*5401.0**146619000.0*False*10.943*0.37*0.0*0.37*0.01****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.82*-0.16**9622050.84*4577.0**119793000.0*False*10.977*0.37*0.0*0.37*0.019999999999999997****True*T*2017
