fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2009*2009-01-01*2009-12-31*Moderado*0.0*0.495**1683377.575*546.0*0.0*44645791.0*False*23.1379***1.49*0.1****False*Y*2009
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2009 T4*2009-07-01*2009-12-31*Moderado*0.0*0.24000000000000002**2050238.68*614.0*0.0*44645791.0*False*23.1379***0.37*0.020000000000000004****False*T*2009
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2010*2010-01-01*2010-12-31*Moderado*0.0*0.05500000000000001**2111985.91*672.5*0.0*47708726.0*False*23.3635***1.5*0.1****False*Y*2010
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2010 T2*2010-01-01*2010-06-30*Moderado*0.0*0.009999999999999995**2229038.79*716.0*0.0*50648586.0*False*23.2125***0.37*0.030000000000000002****False*T*2010
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2010 T4*2010-07-01*2010-12-31*Moderado*0.0*0.13**1917671.4300000002*644.0*0.0*47708726.0*False*23.3635***0.38*0.020000000000000004****False*T*2010
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2011 T2*2011-01-01*2011-06-30*Moderado*0.049999999999999996*0.6400000000000001**1888473.0800000003*617.0*0.0*44225128.0*False*22.8743***0.37*0.030000000000000002****False*T*2011
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2012*2012-01-01*2012-12-31*Moderado*0.47*0.045**1438782.075*513.0*0.0*30030364.0*False*22.4911*1.5*0.0*1.5*0.1****False*Y*2012
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2012 T2*2012-01-01*2012-06-30*Moderado*1.22*0.09**1503850.98*508.0*0.0*35576967.0*False*23.0667*0.38*0.0*0.38*0.030000000000000002****False*T*2012
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2012 T4*2012-07-01*2012-12-31*Moderado*0.49*0.01**1152216.9499999997*456.0*0.0*30030364.0*False*22.4911*0.37*0.0*0.37*0.020000000000000004****False*T*2012
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2013*2013-01-01*2013-12-31*4, en una escala del 1 al 7*0.375*0.015**1234030.18*459.5*0.0*28429576.0*False*23.1752*1.5*0.0*1.5*0.1****False*Y*2013
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2013 T2*2013-01-01*2013-06-30*Moderado*0.98*0.02**1216476.2199999997*444.0*0.0*28510817.0*False*22.9679*0.37*0.0*0.37*0.030000000000000002****False*T*2013
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2013 T4*2013-07-01*2013-12-31*4, en una escala del 1 al 7*0.38*0.02**1243135.89*471.0*0.0*28429576.0*False*23.1752*0.38*0.0*0.38*0.020000000000000004****False*T*2013
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2014*2014-01-01*2014-12-31*3, en una escala del 1 al 7*0.22*0.05**1140354.6*446.0*0.0*26741539.0*False*23.276999999999997*1.5*0.0*1.5*0.1****False*Y*2014
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2014 T2*2014-01-01*2014-06-30*3, en una escala del 1 al 7*0.3*0.12**1059861.7300000002*446.0*0.0*26284095.0*False*23.2219*0.37*0.0*0.37*0.030000000000000002****False*T*2014
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2014 T4*2014-07-01*2014-12-31*3, en una escala del 1 al 7*0.33999999999999997*0.03**1142944.7900000003*425.0*0.0*26741539.0*False*23.276999999999997*0.38*0.0*0.38*0.020000000000000004****False*T*2014
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2015 T2*2015-01-01*2015-06-30*3, en una escala del 1 al 7*0.0*-0.01**1575503.06*521.0*0.0*35030307.0*False*23.7413*0.37*0.0*0.37*0.030000000000000002****False*T*2015
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2016*2016-01-01*2016-12-31*3, en una escala del 1 al 7*0.035*-0.325**1514209.935*506.0*0.0*37792651.0*False*24.3237*1.5*0.0*1.5*0.1****False*Y*2016
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2016 T2*2016-01-01*2016-06-30*3, en una escala del 1 al 7*0.0*-0.09000000000000002**1446616.9900000002*496.0*0.0*34266444.0*False*23.2365*0.38*0.0*0.38*0.030000000000000002****False*T*2016
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2016 T4*2016-07-01*2016-12-31*3, en una escala del 1 al 7*0.14*-0.77**1661905.04*524.0*0.0*37792651.0*False*24.3237*0.37*0.0*0.37*0.020000000000000004****False*T*2016
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.04999999999999999**1655837.68*557.0*0.0*40521791.0*False*24.6787*0.37*0.0*0.37*0.030000000000000002****False*T*2017
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2018*2018-01-01*2018-12-31*3, en una escala del 1 al 7*0.09*-0.085**1532014.9249999998*541.5*0.0*33652063.0*False*23.7115*1.5*0.0*1.5*0.1****False*Y*2018
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.3*-0.16000000000000003**1633154.4499999997*547.0*0.0*40214100.0*False*24.4492*0.37*0.0*0.37*0.030000000000000002****False*T*2018
MERCH-FONTEMAR, FI*MERCH-FONTEMAR F.I.*2018 T4*2018-07-01*2018-12-31*3, en una escala del 1 al 7*0.0*0.010000000000000009**1209964.91*523.0*0.0*33652063.0*False*23.7115*0.38*0.0*0.38*0.020000000000000004****False*T*2018
MERCH-FONTEMAR, FI*MERCH-FONTEMAR, FI*2019*2019-01-01*2019-12-31*3 en una escala de 1 a 7*0.025*-0.05**1963368.3900000001*650.5*0.0*52845346.0*False*25.3068*1.5*0.0*1.5*0.09****False*Y*2019
MERCH-FONTEMAR, FI*MERCH-FONTEMAR, FI*2019 T2*2019-01-01*2019-06-30*3 en una escala de 1 a 7*0.0*-0.14**2116828.2800000003*705.0*0.0*46310087.0*False*25.1881*0.37*0.0*0.37*0.030000000000000002****False*T*2019
