fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MERCHRENTA, FI*MERCHRENTA F.I.*2009*2009-01-01*2009-12-31*Conservador*0.0*0.5549999999999999**1512404.15*493.0*0.0*35258979.0*False*23.0979***1.12*0.1****False*Y*2009
MERCHRENTA, FI*MERCHRENTA F.I.*2009 T4*2009-07-01*2009-12-31*Conservador*0.0*0.26**1406015.7899999998*485.0*0.0*35258979.0*False*23.0979***0.27*0.020000000000000004****False*T*2009
MERCHRENTA, FI*MERCHRENTA F.I.*2010*2010-01-01*2010-12-31*Conservador*0.0*0.045**1837293.01*495.5*0.0*48542151.0*False*23.201999999999998***1.03*0.1****False*Y*2010
MERCHRENTA, FI*MERCHRENTA F.I.*2010 T2*2010-01-01*2010-06-30*Conservador*0.0*0.0**1597961.5699999998*507.0*0.0*37042587.0*False*23.4086***0.31*0.030000000000000002****False*T*2010
MERCHRENTA, FI*MERCHRENTA F.I.*2010 T4*2010-07-01*2010-12-31*Conservador*0.0*0.08**2629405.58*490.0*0.0*48542151.0*False*23.201999999999998***0.26*0.020000000000000004****False*T*2010
MERCHRENTA, FI*MERCHRENTA F.I.*2011 T2*2011-01-01*2011-06-30*Conservador*0.0*0.6500000000000001**1944965.69*478.0*0.0*47370619.0*False*22.9759***0.25*0.030000000000000002****False*T*2011
MERCHRENTA, FI*MERCHRENTA F.I.*2012*2012-01-01*2012-12-31*Conservador*0.24*0.06**1840069.2850000001*540.0*0.0*38700241.0*False*23.0592*1.0*0.0*1.0*0.1****False*Y*2012
MERCHRENTA, FI*MERCHRENTA F.I.*2012 T2*2012-01-01*2012-06-30*Conservador*0.96*0.12**2200847.6500000004*602.0*0.0*46491199.0*False*23.2242*0.25*0.0*0.25*0.030000000000000002****False*T*2012
MERCHRENTA, FI*MERCHRENTA F.I.*2012 T4*2012-07-01*2012-12-31*Conservador*-0.03*0.02**1425370.06*508.0*0.0*38700241.0*False*23.0592*0.25*0.0*0.25*0.020000000000000004****False*T*2012
MERCHRENTA, FI*MERCHRENTA F.I.*2013*2013-01-01*2013-12-31*2, en una escala del 1 al 7*0.31*0.005**1418002.7000000002*478.0*0.0*32053581.0*False*23.1387*1.0*0.0*1.0*0.1****False*Y*2013
MERCHRENTA, FI*MERCHRENTA F.I.*2013 T2*2013-01-01*2013-06-30*Conservador*0.95*0.01**1342758.6900000002*461.0*0.0*33724662.0*False*23.2468*0.25*0.0*0.25*0.030000000000000002****False*T*2013
MERCHRENTA, FI*MERCHRENTA F.I.*2013 T4*2013-07-01*2013-12-31*2, en una escala del 1 al 7*0.17*0.01**1315987.53*475.0*0.0*32053581.0*False*23.1387*0.25*0.0*0.25*0.020000000000000004****False*T*2013
MERCHRENTA, FI*MERCHRENTA F.I.*2014*2014-01-01*2014-12-31*2, en una escala del 1 al 7*0.035*0.065**1351312.97*433.5*0.0*30921904.0*False*23.225*1.0*0.0*1.0*0.1****False*Y*2014
MERCHRENTA, FI*MERCHRENTA F.I.*2014 T2*2014-01-01*2014-06-30*2, en una escala del 1 al 7*-0.03*0.16**1467306.5799999998*427.0*0.0*31678528.0*False*23.1025*0.25*0.0*0.25*0.030000000000000002****False*T*2014
MERCHRENTA, FI*MERCHRENTA F.I.*2014 T4*2014-07-01*2014-12-31*2, en una escala del 1 al 7*0.0*0.02**1324345.65*414.0*0.0*30921904.0*False*23.225*0.25*0.0*0.25*0.020000000000000004****False*T*2014
MERCHRENTA, FI*MERCHRENTA F.I.*2015 T2*2015-01-01*2015-06-30*2, en una escala del 1 al 7*0.0*0.0**821040.9199999999*327.0*0.0*21385826.0*False*23.1144*0.25*0.0*0.25*0.030000000000000002****False*T*2015
MERCHRENTA, FI*MERCHRENTA F.I.*2016*2016-01-01*2016-12-31*2, en una escala del 1 al 7*0.05*-0.40499999999999997**633118.005*289.5*0.0*14930122.0*False*23.1391*1.0*0.0*1.0*0.1****False*Y*2016
MERCHRENTA, FI*MERCHRENTA F.I.*2016 T2*2016-01-01*2016-06-30*2, en una escala del 1 al 7*0.14*-0.06**596193.59*278.0*0.0*14424092.0*False*23.2271*0.25*0.0*0.25*0.030000000000000002****False*T*2016
MERCHRENTA, FI*MERCHRENTA F.I.*2016 T4*2016-07-01*2016-12-31*2, en una escala del 1 al 7*0.0*-1.15**686624.3500000001*291.0*0.0*14930122.0*False*23.1391*0.25*0.0*0.25*0.020000000000000004****False*T*2016
