fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2013*2013-01-01*2013-12-31*3 en una escala del 1al 7,*0.0*0.0**484656.3*764.5*0.0*5180743.0*False*10.2864*0.55*0.0*0.55*0.09****False*Y*2013
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2013 T2*2013-01-01*2013-06-30*3 en una escala del 1al 7,*0.0*0.0**769323.28*705.0*0.0*4628627.0*False*9.9398*0.15*0.0*0.15*0.02****False*T*2013
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2013 T4*2013-07-01*2013-12-31*3 en una escala del 1al 7,*0.0*0.0**557705.0700000001*1618.0*0.0*5180743.0*False*10.2864*0.15*0.0*0.15*0.020000000000000004****False*T*2013
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2014*2014-01-01*2014-12-31*2 en una escala del 1al 7,*0.0*0.0**642118.355*1618.0*0.0*6839929.0*False*10.6169*0.6*0.0*0.6*0.1****False*Y*2014
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2014 T2*2014-01-01*2014-06-30*3 en una escala del 1al 7,*0.0*0.0**723499.0099999999*1691.0*0.0*6771036.0*False*10.5799*0.15*0.0*0.15*0.030000000000000002****False*T*2014
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2014 T4*2014-07-01*2014-12-31*2 en una escala del 1al 7,*0.0*0.0**601982.89*1892.0*0.0*6839929.0*False*10.6169*0.15*0.0*0.15*0.020000000000000004****False*T*2014
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2015*2015-01-01*2015-12-31*2 en una escala del 1al 7,*0.1*-0.03**740066.37*2035.5*0.0*7883757.0*False*10.6207*0.6*0.0*0.6*0.1****False*Y*2015
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2015 T2*2015-01-01*2015-06-30*3 en una escala del 1al 7,*0.26*-0.06**732656.57*1960.0*0.0*7873382.0*False*10.671*0.15*0.0*0.15*0.030000000000000002****False*T*2015
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2015 T4*2015-07-01*2015-12-31*2 en una escala del 1al 7,*0.0*-0.039999999999999994**1168991.76*3018.0*0.0*7883757.0*False*10.6207*0.15*0.0*0.15*0.020000000000000004****False*T*2015
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2016*2016-01-01*2016-12-31*2 en una escala del 1al 7,*0.0*-0.255**595283.27*1313.0*0.0*7120044.0*False*10.6578*0.6*0.0*0.6*0.1****False*Y*2016
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2016 T2*2016-01-01*2016-06-30*3 en una escala del 1al 7,*-0.18*-0.31000000000000005**295046.68999999994*861.0*0.0*5531371.0*False*10.5862*0.15*0.0*0.15*0.030000000000000002****False*T*2016
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2016 T4*2016-07-01*2016-12-31*2 en una escala del 1al 7,*-0.07*-0.24000000000000005**832287.74*1121.0*0.0*7120044.0*False*10.6578*0.15*0.0*0.15*0.020000000000000004****False*T*2016
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2017*2017-01-01*2017-12-31*2 en una escala del 1 al 7,*0.105*-0.22**398736.005*983.5*0.0*4138532.0*False*10.7552*0.6*0.0*0.6*0.1****False*Y*2017
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2017 T2*2017-01-01*2017-06-30*2 en una escala del 1al 7,*0.19999999999999998*0.36**372540.47000000003*1024.0*0.0*4434302.0*False*10.7452*0.15*0.0*0.15*0.030000000000000002****False*T*2017
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2017 T4*2017-07-01*2017-12-31*2 en una escala del 1 al 7,*0.0*-0.6**332632.6*824.0*0.0*4138532.0*False*10.7552*0.15*0.0*0.15*0.020000000000000004****False*T*2017
MIXED CONSERVATIVE, FI*Mixed Conservative FI*2018*2018-01-01*2018-12-31*3 (En una escala del 1 al 7)*0.0*0.0**272778.38*680.5*0.0*2380135.0*False*10.5194*0.21000000000000002*0.0*0.21000000000000002*0.08****False*Y*2018
MIXED CONSERVATIVE, FI*Mixed Conservative FI*2018 T2*2018-01-01*2018-06-30*3 (En una escala del 1 al 7)*0.0*0.0**327284.21*816.0*0.0*3442077.0*False*10.7802*0.03*0.0*0.03*0.02****False*T*2018
MIXED CONSERVATIVE, FI*Mixed Conservative FI*2018 T4*2018-07-01*2018-12-31*3 (En una escala del 1 al 7)*0.0*0.0**154544.37*218.0*0.0*2380135.0*False*10.5194*0.020000000000000004*0.0*0.020000000000000004*0.02****False*T*2018
MIXED CONSERVATIVE, FI*Mixed Conservative FI*2019*2019-01-01*2019-12-31*3 (En una escala del 1 al 7)*0.0*0.0**116668.18*228.5*0.0*501368.0*False*10.6078*0.1*0.0*0.1*0.08****False*Y*2019
MIXED CONSERVATIVE, FI*Mixed Conservative FI*2019 T2*2019-01-01*2019-06-30*3 (En una escala del 1 al 7)*0.0*0.0**199057.08*275.0*0.0*1954223.0*False*10.5025*0.030000000000000002*0.0*0.030000000000000002*0.02****False*T*2019
MIXED CONSERVATIVE, FI*Mixed Conservative FI*2019 T4*2019-07-01*2019-12-31*3 (En una escala del 1 al 7)*0.0*0.0**-9294.960000000006*11.0*0.0*501368.0*False*10.6078*0.020000000000000004*0.0*0.020000000000000004*0.02****False*T*2019
MIXED CONSERVATIVE, FI*Mixed Conservative FI*2020 T2*2020-01-01*2020-06-30*3 (En una escala del 1 al 7)*0.0*-0.96**31633.21*68.0*0.0*340572.0*False*10.4553*0.030000000000000002*0.0*0.030000000000000002*0.02****False*T*2020
