fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2011 T2*2011-01-01*2011-06-30*Alto*0.3700000000000001*1.08**345054.91544600006*165.0*0.0*2473487.0*False*10.0531***0.22999999999999998*0.030000000000000002****False*T*2011
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2012*2012-01-01*2012-12-31*Alto*0.44500000000000006*0.275**442647.0378565*487.5*0.0*7252205.0*False*11.4593*1.0*0.9500000000000001*1.9500000000000002*0.1****False*Y*2012
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2012 T2*2012-01-01*2012-06-30*Alto*0.3900000000000001*0.24**324799.622832*513.0*0.0*2598320.0*False*10.2934*0.25*-0.26*-0.010000000000000009*0.030000000000000002****False*T*2012
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2012 T4*2012-07-01*2012-12-31*Alto*0.4700000000000001*0.5**842593.8825630001*939.0*0.0*7252205.0*False*11.4593*0.26*0.22999999999999998*0.49*0.030000000000000002****False*T*2012
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2013*2013-01-01*2013-12-31*5, de una escala del 1 al 7*12.04*0.395**3110430.6107714996*2036.0*0.0*59402506.0*False*12.3408*0.99*0.38*1.37*0.1****False*Y*2013
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2013 T2*2013-01-01*2013-06-30*5, de una escala del 1 al 7*18.609999999999996*0.4**1563218.0985740002*1356.0*0.0*16333057.0*False*11.6057*0.25*-0.08*0.16999999999999998*0.030000000000000002****False*T*2013
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2013 T4*2013-07-01*2013-12-31*5, de una escala del 1 al 7*0.0*0.45999999999999996**6998545.393919999*3875.0*0.0*59402506.0*False*12.3408*0.25*0.0*0.25*0.030000000000000002****False*T*2013
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2014*2014-01-01*2014-12-31*5, de una escala del 1 al 7*0.035*0.25**10875079.855880998*5928.5*0.0*158455994.0*False*12.9877*1.0*0.44*1.44*0.1****False*Y*2014
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2014 T2*2014-01-01*2014-06-30*5, de una escala del 1 al 7*-0.09999999999999998*0.42000000000000004**12187174.045389999*6442.0*0.0*122167635.0*False*12.7929*0.24*0.13*0.37000000000000005*0.030000000000000002****False*T*2014
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2014 T4*2014-07-01*2014-12-31*5, de una escala del 1 al 7*0.0*0.04000000000000001**14041606.945596999*7371.0*0.0*158455994.0*False*12.9877*0.26*0.1*0.36*0.020000000000000004****False*T*2014
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2015*2015-01-01*2015-12-31*5, de una escala del 1 al 7*0.055*0.05500000000000001**15420114.638508*8790.0*0.0*191996555.0*False*13.1745*1.01*0.01999999999999999*1.03*0.1****False*Y*2015
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2015 T2*2015-01-01*2015-06-30*5, de una escala del 1 al 7*-0.24000000000000002*0.05**17557894.822826996*9862.0*0.0*216258890.0*False*13.2944*0.25*-0.15*0.09999999999999998*0.030000000000000002****False*T*2015
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2015 T4*2015-07-01*2015-12-31*5, de una escala del 1 al 7*0.0*0.11000000000000001**14002178.546663*8929.0*0.0*191996555.0*False*13.1745*0.26*0.0*0.26*0.030000000000000002****False*T*2015
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2016 T2*2016-01-01*2016-06-30*5, de una escala del 1 al 7*0.35*0.24000000000000005**12639304.225769*8356.0*0.0*158745975.0*False*13.2751*0.25*0.0*0.25*0.030000000000000002****False*T*2016
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2017*2017-01-01*2017-12-31*5, de una escala del 1 al 7*0.245*0.265**14015325.306984*7833.0*0.0*205892150.0*False*14.5629*1.0*0.38*1.38*0.1****False*Y*2017
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2017 T2*2017-01-01*2017-06-30*5, de una escala del 1 al 7*0.45999999999999996*0.24000000000000005**13598103.001849*7385.0*0.0*198389483.0*False*14.2803*0.25*-0.009999999999999981*0.23999999999999994*0.030000000000000002****False*T*2017
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2017 T4*2017-07-01*2017-12-31*5, de una escala del 1 al 7*0.41000000000000003*0.25**14314527.402781*8173.0*0.0*205892150.0*False*14.5629*0.25*0.13*0.38000000000000006*0.020000000000000004****False*T*2017
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2018*2018-01-01*2018-12-31*5, de una escala del 1 al 7*0.425*0.25**16179291.712381002*8714.5*0.0*215981262.0*False*13.2158*1.01*0.0*1.01*0.1****False*Y*2018
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2018 T2*2018-01-01*2018-06-30*5, de una escala del 1 al 7*0.72*0.25**17448019.373535*9250.0*0.0*233538923.0*False*14.5817*0.25*0.0*0.25*0.030000000000000002****False*T*2018
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2018 T4*2018-07-01*2018-12-31*5, de una escala del 1 al 7*0.6699999999999999*0.25**15062084.182049002*8240.0*0.0*215981262.0*False*13.2158*0.26*-0.04*0.22000000000000003*0.020000000000000004****False*T*2018
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2019 T2*2019-01-01*2019-06-30*4*-0.29*-0.65**12323256.686835999*7351.0*0.0*192686327.0*False*14.0438*0.25*0.0*0.25*0.030000000000000002****False*T*2019
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2020*2020-01-01*2020-12-31*4*0.175*-0.51**7972455.175*4871.0*0.0*103669483.0*False*14.568*1.0*0.0*1.01*0.1****False*Y*2020
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2020 T2*2020-01-01*2020-06-30*4*0.35000000000000003*-0.5**7960990.229999999*4984.0*0.0*117566707.0*False*13.3164*0.25*0.0*0.25*0.030000000000000002****False*T*2020
RENTA 4 NEXUS, FI*RENTA 4 NEXUS, FI*2020 T4*2020-07-01*2020-12-31*4*0.27999999999999997*-0.5**6223023.470000001*3901.0*0.0*103669483.0*False*14.568*0.25*0.0*0.26*0.020000000000000004****False*T*2020
