fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2009 T4*2009-07-01*2009-12-31*bajo*0.0*0.36**3565971.3646679996*1436.0*0.0*18354877.0*False*10.0224***0.1*0.019999999999999997****False*T*2009
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2010*2010-01-01*2010-12-31*Bajo*0.0*0.36**5497860.431497*1650.0*0.0*65051880.0*False*10.2628***0.51*0.13****False*Y*2010
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2010 T2*2010-01-01*2010-06-30*Bajo*0.0*0.24**6159481.482998*1796.0*0.0*47133721.0*False*10.1207***0.1*0.030000000000000002****False*T*2010
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2010 T4*2010-07-01*2010-12-31*Bajo*0.0*0.6**6873310.005632*2165.0*0.0*65051880.0*False*10.2628***0.1*0.03****False*T*2010
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2011 T2*2011-01-01*2011-06-30*Bajo*0.0*0.96**9437567.804786002*2448.0*0.0*90417390.0*False*10.4417***0.1*0.030000000000000002****False*T*2011
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2012*2012-01-01*2012-12-31*Bajo*0.0*0.655**15141299.8555465*4695.0*0.0*192913934.0*False*11.0047*0.4*0.0*0.4*0.1****False*Y*2012
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2012 T2*2012-01-01*2012-06-30*Bajo*-0.1*0.24**12851830.933414001*4127.0*0.0*137759500.0*False*10.8026*0.1*0.0*0.1*0.030000000000000002****False*T*2012
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2012 T4*2012-07-01*2012-12-31*Bajo*0.0*2.02**20871521.208495*6092.0*0.0*192913934.0*False*11.0047*0.09000000000000001*0.0*0.09000000000000001*0.020000000000000004****False*T*2012
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2013*2013-01-01*2013-12-31*1, de una escala del 1 al 7*0.0*0.7649999999999999**31394315.737325*9364.0*0.0*409736296.0*False*11.3225*0.41000000000000003*0.0*0.41000000000000003*0.1****False*Y*2013
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2013 T2*2013-01-01*2013-06-30*1, de una escala del 1 al 7*0.0*0.7399999999999999**33288093.092717*9668.0*0.0*297320303.0*False*11.1771*0.1*0.0*0.1*0.030000000000000002****False*T*2013
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2013 T4*2013-07-01*2013-12-31*1, de una escala del 1 al 7*0.0*0.8699999999999999**39063021.23518701*11545.0*0.0*409736296.0*False*11.3225*0.10999999999999999*0.0*0.10999999999999999*0.020000000000000004****False*T*2013
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2014*2014-01-01*2014-12-31*1, de una escala del 1 al 7*0.0*0.51**39240929.043981*12038.0*0.0*474611668.0*False*11.4806*0.4*0.0*0.4*0.1****False*Y*2014
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2014 T2*2014-01-01*2014-06-30*1, de una escala del 1 al 7*0.0*0.45999999999999996**36701699.575081*11629.0*0.0*424455665.0*False*11.4281*0.1*0.0*0.1*0.030000000000000002****False*T*2014
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2014 T4*2014-07-01*2014-12-31*1, de una escala del 1 al 7*0.0*0.5200000000000001**42306999.297266*13029.0*0.0*474611668.0*False*11.4806*0.09000000000000001*0.0*0.09000000000000001*0.030000000000000002****False*T*2014
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2015*2015-01-01*2015-12-31*1, de una escala del 1 al 7*0.0*0.49**44162981.030596*12405.5*0.0*531681797.0*False*11.5441*0.4*0.0*0.4*0.1****False*Y*2015
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2015 T2*2015-01-01*2015-06-30*1, de una escala del 1 al 7*0.0*0.4600000000000001**43517469.75181399*11981.0*0.0*486749546.0*False*11.5154*0.1*0.0*0.1*0.030000000000000002****False*T*2015
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2015 T4*2015-07-01*2015-12-31*1, de una escala del 1 al 7*0.0*0.55**44579654.932158*13195.0*0.0*531681797.0*False*11.5441*0.09000000000000001*0.0*0.09000000000000001*0.020000000000000004****False*T*2015
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2016 T2*2016-01-01*2016-06-30*1, de una escala del 1 al 7*0.0*0.96**55849366.473778*15182.0*0.0*645005139.0*False*11.5692*0.05*0.0*0.05*0.030000000000000002****False*T*2016
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2017*2017-01-01*2017-12-31*1, de una escala del 1 al 7*0.0*0.265**26509305.002486505*8611.5*0.0*232870595.0*False*11.5775*0.2*0.0*0.2*0.11****False*Y*2017
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2017 T2*2017-01-01*2017-06-30*1, de una escala del 1 al 7*0.0*0.27999999999999997**25236088.55585801*8028.0*0.0*381187124.0*False*11.5846*0.05*0.0*0.05*0.030000000000000002****False*T*2017
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2017 T4*2017-07-01*2017-12-31*1, de una escala del 1 al 7*0.0*0.25999999999999995**13458034.285617001*5573.0*0.0*232870595.0*False*11.5775*0.05*0.0*0.05*0.039999999999999994****False*T*2017
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2018*2018-01-01*2018-12-31*1, de una escala del 1 al 7*0.0*0.25**21177709.8883935*6740.0*0.0*276868761.0*False*11.5486*0.2*0.0*0.2*0.11****False*Y*2018
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2018 T2*2018-01-01*2018-06-30*1, de una escala del 1 al 7*0.0*0.25**19327421.407330997*6406.0*0.0*212602859.0*False*11.5664*0.05*0.0*0.05*0.030000000000000002****False*T*2018
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 MONETARIO, FI*2018 T4*2018-07-01*2018-12-31*1, de una escala del 1 al 7*0.0*0.25**29474316.388938997*7711.0*0.0*276868761.0*False*11.5486*0.05*0.0*0.05*0.039999999999999994****False*T*2018
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 RENTA FIJA 6 MESES, FI*2019 T2*2019-01-01*2019-06-30*1*-0.18*-0.79**24789152.639770996*7144.0*0.0*299799309.0*False*11.5404*0.06999999999999999*0.0*0.06999999999999999*0.030000000000000002****False*T*2019
RENTA 4 RENTA FIJA 6 MESES, FI*RENTA 4 RENTA FIJA 6 MESES, FI*2019 T2*2019-01-01*2019-06-30*1*-0.18*-0.79**24789152.639770996*7144.0*0.0*299799309.0*False*11.5404*0.06999999999999999*0.0*0.06999999999999999*0.030000000000000002****False*T*2019
