fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2019 S2*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.0*-0.13**1015.53*1*0.0*101615*false*100.061*0.02*0.0*0.02*0.0*1.22*2.13*0.06*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2019 T3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2019 T3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2019 T3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.0*0.0**3000.0*1*0.0*300000*false*100.0*0.0*0.0*0.0*0.0*[]*[]*[]*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2020 S2*2020-07-01*2020-12-31*4, en una escala del 1 al 7*0.0*-0.25**33550.78*68*0.0*3545194*false*105.6665*0.24*0.0*0.24*0.05*4.53*2.98*0.19*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2020 S2*2020-07-01*2020-12-31*4, en una escala del 1 al 7*0.0*-0.25**121322.96*77*0.0*13009498*false*107.2303*0.5*0.0*0.5*0.05*4.39*2.98*0.33*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2020 S2*2020-07-01*2020-12-31*4, en una escala del 1 al 7*0.0*-0.25**539523.6*2752*0.0*57521687*false*106.6157*0.6*0.0*0.6*0.05*4.34*2.98*0.38*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2020 T3*2020-07-01*2020-09-30*4, en una escala del 1 al 7*0.02*-0.35**4921.03*10*0.0*497456*false*101.0879*0.12*0.0*0.12*0.02*3.37*3.26*0.21*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2020 T3*2020-07-01*2020-09-30*4, en una escala del 1 al 7*0.02*-0.35**60538.22*37*0.0*6218365*false*102.718*0.25*0.0*0.25*0.03*3.23*3.26*0.33*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2020 T3*2020-07-01*2020-09-30*4, en una escala del 1 al 7*0.02*-0.35**252698.05*1392*0.0*25820864*false*102.1807*0.3*0.0*0.3*0.03*3.18*3.26*0.38*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2020 S1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.0*-0.07**1009.52*2*0.0*98724*false*97.7928*0.24*0.0*0.24*0.05*7.01*6.88*0.24*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2020 S1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.0*-0.07**56627.66*34*0.0*5634441*false*99.4998*0.49*0.0*0.49*0.05*6.87*6.88*0.34*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2020 S1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.0*-0.07**202847.86*1116*0.0*20087841*false*99.0291*0.59*0.0*0.59*0.05*6.82*6.88*0.38*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2020 T1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.03*0.0**191.94*1*0.0*17541*false*91.3893*0.12*0.0*0.12*0.03*-8.67*11.49*0.21*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2020 T1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.03*0.0**36540.76*25*0.0*3402050*false*93.1029*0.25*0.0*0.25*0.02*-8.36*11.63*0.33*True
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2020 T1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.03*0.0**190539.37*986*0.0*17664619*false*92.7085*0.3*0.0*0.3*0.02*-8.41*11.63*0.38*True
