fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2009 S2*2009-07-01*2009-12-31*Muy Bajo*0.0*0.68**28849.33*299*0.0*19587989*false*678.9755***0.23*0.08*0.32*0.29*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2009 T3*2009-07-01*2009-09-30*Muy Bajo*0.35*0.67**28161.48*267*0.0*19060280*false*676.8209***0.11*0.04*0.09*0.36*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. TESORERIA FI*2009 S1*2009-01-01*2009-06-30*Muy Bajo*0.78*2.54**28614.17*247*0.0*19347723*false*676.1588***0.23*0.08*0.78*0.75*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2010 T3*2010-07-01*2010-09-30*Muy Bajo*0.0*0.21**24297.48*294*0.0*16499576*false*679.0653***0.11*0.04*0.68*0.66*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2010 S1*2010-01-01*2010-06-30*Muy Bajo*0.0*0.23**26515.23*319*0.0*17883177*false*674.4494***0.22*0.07*-0.97*1.03*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2010 T1*2010-01-01*2010-03-31*Muy Bajo*0.0*0.24**33028.97*354*0.0*22494184*false*681.0441***0.11*0.04*0.3*0.39*0.15*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2011 S2*2011-07-01*2011-12-31*Muy Bajo*0.67*1.02**17038.73*204*0.0*11580873*false*679.6793*0.23**0.23*0.08*-0.21*1.13*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2011 T3*2011-07-01*2011-09-30*Muy Bajo*0.12*1.01**17523.38*206*0.0*11935537*false*681.1208***0.11*0.04*0.08*1.52*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2011 S1*2011-01-01*2011-06-30*Muy Bajo*0.78*0.48**17583.85*209*0.0*11967532*false*680.5979***0.22*0.07*-0.04*0.6*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2011 T1*2011-01-01*2011-03-31*Muy Bajo*0.12*0.5**19316.33*231*0.0*13151254*false*680.8362***0.11*0.04*0.98*0.72*0.16*False
CAJA INGENIEROS PREMIER, FI*CAJA INGENIEROS PREMIER*2012 S2*2012-07-01*2012-12-31*Muy bajo*0.84*0.21**13749.14*167*0.0*9463106*false*688.2689*0.23*0.0*0.23*0.08*0.54*0.31*0.16*False
CAJA INGENIEROS PREMIER, FI*CAJA INGENIEROS PREMIER*2012 T3*2012-07-01*2012-09-30*Muy bajo*0.53*0.23**13616.79*173*0.0*9321867*false*684.5863*0.11*0.0*0.11*0.04*1.21*0.47*0.16*False
CAJA INGENIEROS PREMIER, FI*CAJA INGENIEROS PREMIER*2012 S1*2012-01-01*2012-06-30*Muy bajo*0.52*0.3**14602.22*179*0.0*9877339*false*676.4274*0.22*0.0*0.22*0.07*-1.3*1.23*0.16*False
CAJA INGENIEROS PREMIER, FI*C.I. PREMIER FI*2012 T1*2012-01-01*2012-03-31*Muy Bajo*0.15*0.92**15808.16*189*0.0*10834374*false*685.3658*0.11**0.11*0.04*0.84*0.67*0.16*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2013 T3*2013-07-01*2013-09-30*Muy bajo*0.0*0.0**10851.44*142*0.0*7505533*false*691.6623*0.11*0.0*0.11*0.04*0.17*0.46*0.16*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2013 S1*2013-01-01*2013-06-30*Muy bajo*0.0*0.01**12295.04*150*0.0*8489531*false*690.4843*0.22*0.0*0.22*0.07*-0.23*0.41*0.16*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2013 T1*2013-01-01*2013-03-31*Muy bajo*0.0*0.02**12313.6*156*0.0*8522012*false*692.0814*0.11*0.0*0.11*0.04*0.55*0.43*0.16*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2014 S2*2014-07-01*2014-12-31*Valor 3, en una escala de 1 al 7.*0.0*0.0**16091.4*247*0.0*11267044*false*700.1906*0.27*0.0*0.27*0.08****False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2014 T3*2014-07-01*2014-09-30*Valor 2, en una escala de 1 al 7.*0.03*0.0**10212.25*139*0.0*7127544*false*697.9409*0.11*0.0*0.11*0.04*0.46*0.29*0.16*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2014 S1*2014-01-01*2014-06-30*Valor 2, en una escala de 1 al 7.*0.0*0.0**10349.57*138*0.0*7190180*false*694.7321*0.22*0.0*0.22*0.07*0.1*0.24*0.17*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2014 T1*2014-01-01*2014-03-31*Muy bajo*0.0*0.0**10027.38*135*0.0*6959721*false*694.0716*0.11*0.0*0.11*0.04*0.23*0.37*0.16*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2015 S2*2015-07-01*2015-12-31*Valor 3, en una escala de 1 al 7.*0.41*0.0**50731.64*1296*0.0*35433162*false*698.4431*0.45*0.0*0.45*0.1*0.63*1.81*0.29*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2015 T3*2015-07-01*2015-09-30*Valor 3, en una escala de 1 al 7.*0.3*0.0**51321.25*1294*0.0*35621863*false*694.0958*0.23*0.0*0.23*0.05*-0.31*1.5*0.29*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2015 S1*2015-01-01*2015-06-30*Valor 3, en una escala de 1 al 7.*0.0*0.0**56106.6*1326*0.0*39065756*false*696.2774*0.45*0.0*0.45*0.1*-2.58*2.37*0.27*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2015 T1*2015-01-01*2015-03-31*Valor 3, en una escala de 1 al 7.*0.01*0.0**26369.65*570*0.0*18847384*false*714.7376*0.23*0.0*0.23*0.05*2.08*1.77*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2016 S2*2016-07-01*2016-12-31*Valor 3, en una escala de 1 al 7.*0.27*0.0**113898.17*2461*0.0*80842522*false*709.7789*0.45*0.0*0.45*0.1*0.16*1.08*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2016 T3*2016-07-01*2016-09-30*Valor 3, en una escala de 1 al 7.*0.27*0.0**87926.1*1990*0.0*62308437*false*708.6455*0.23*0.0*0.23*0.05*0.65*0.81*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2016 S1*2016-01-01*2016-06-30*Valor 3, en una escala de 1 al 7.*0.0*0.0**79573.03*1874*0.0*56027367*false*704.1*0.45*0.0*0.45*0.1*0.63*1.11*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2016 T1*2016-01-01*2016-03-31*Valor 3, en una escala de 1 al 7.*0.34*0.0**71233.07*1779*0.0*49841341*false*699.6938*0.22*0.0*0.22*0.05*0.18*1.57*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2017 S2*2017-07-01*2017-12-31*Valor 3, en una escala de 1 al 7.*0.1*0.0**156762.35*3123*0.0*110877033*false*707.2937*0.45*0.0*0.45*0.1*-0.47*0.9*0.28*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2017 S2*2017-07-01*2017-12-31*Valor 3, en una escala de 1 al 7.*0.1*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2017 T3*2017-07-01*2017-09-30*Valor 3, en una escala de 1 al 7.*0.16*0.0**173688.9*3522*0.0*123423597*false*710.6015*0.23*0.0*0.23*0.05*0.04*1.03*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2017 S1*2017-01-01*2017-06-30*Valor 3, en una escala de 1 al 7.*0.15*0.0**181917.2*3684*0.0*129220644*false*710.3267*0.45*0.0*0.45*0.1*-0.17*1.03*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER, FI*2017 T1*2017-01-01*2017-03-31*Valor 3, en una escala de 1 al 7.*0.16*0.0**140098.58*3035*0.0*99689408*false*711.5662*0.22*0.0*0.22*0.05*0.25*1.15*0.28*False
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2018 T3*2018-07-01*2018-09-30*Valor 3, en una escala de 1 al 7.*0.11*0.0**109576.64*2545*0.0*76783000*false*700.7205*0.23*0.0*0.23*0.05*0.1*0.71*0.28*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2018 T3*2018-07-01*2018-09-30*Valor 3, en una escala de 1 al 7.*0.11*0.0**1406.69*1*0.0*988000*false*702.6325*0.14*0.0*0.14*0.03*0.21*0.71*0.17*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2018 S1*2018-01-01*2018-06-30*Valor 3, en una escala de 1 al 7.*0.4*0.0**120031.18*2670*0.0*84023355*false*700.0128*0.45*0.0*0.45*0.1*-0.36*1.27*0.28*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2018 S1*2018-01-01*2018-06-30*Valor 3, en una escala de 1 al 7.*0.4*0.0**1406.69*1*0.0*986266*false*701.1271*0.19*0.0*0.19*0.04*-0.25*1.27*0.16*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2018 T1*2018-01-01*2018-03-31*Valor 3, en una escala de 1 al 7.*0.22*0.0**134924.47*2855*0.0*94792874*false*702.5625*0.22*0.0*0.22*0.05*-0.67*1.4*0.27*True
