fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
IMANTIA RV ZONA EURO, FI*A.C. Eurofondo, F.I.*2009 T3*2009-07-01*2009-09-30*Alto*2.09*0.12**2746156.44*1827*0.0*19039145*false*6.933***0.5*0.02*13.72*14.75*0.55*False
IMANTIA RV ZONA EURO, FI*A.C. Eurofondo, F.I.*2009 S1*2009-01-01*2009-06-30*ALTO*3.3*0.72**2807123.04*1870*0.0*17113305*false*6.0964***0.99*0.04*10.35*21.13*0.55*False
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2010 S2*2010-07-01*2010-12-31*Alto*0.73*0.23**2391480.13*1587*0.0*17029398*false*7.1209***1.01*0.05*2.57*19.24*0.55*False
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2010 T3*2010-07-01*2010-09-30*Alto*0.46*0.15**2481922.79*1675*0.0*17230433*false*6.9424***0.5*0.02*11.64*23.66*0.55*False
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2010 S1*2010-01-01*2010-06-30*Alto*2.23*0.07**2539197.71*1720*0.0*15789958*false*6.2185***0.99*0.04*-15.1*45.03*0.55*False
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2010 T1*2010-01-01*2010-03-31*Alto*1.37*0.04**2622202.78*1764*0.0*19206677*false*7.3246***0.49*0.02*1.08*21.73*0.55*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2011 T3*2011-07-01*2011-09-30*Alto*1.26*0.87**3480502.34*3135*0.0*18275510*false*5.2508***0.5*0.02*-29.1*51.46*0.53*False
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2011 S1*2011-01-01*2011-06-30*Alto*1.35*0.65**1939881.1*1492*0.0*14366368*false*7.4058***0.99*0.04*-1.06*20.31*0.53*False
IMANTIA RV ZONA EURO, FI*A.C. Europa, F.I.*2011 T1*2011-01-01*2011-03-31*Alto*0.61*0.53**1916121.48*1536*0.0*14341825*false*7.4848***0.49*0.02*5.11*20.74*0.53*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2012 S2*2012-07-01*2012-12-31*7, de una*2.39*0.09**2753286.66*2552*0.0*17192724*false*6.2444*1.01*0.0*1.01*0.05*4.87*14.05*0.54*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2012 T3*2012-07-01*2012-09-30*7, de una*1.33*0.07**3019642.9*2744*0.0*17980879*false*5.9546*0.5*0.0*0.5*0.02*8.04*24.93*0.53*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2012 S1*2012-01-01*2012-06-30*7, de una*2.18*0.16**3129361.0*2824*0.0*17247443*false*5.5115*1.0*0.0*1.0*0.04*-9.91*33.61*0.53*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2012 T1*2012-01-01*2012-03-31*Alto*0.97*0.21**3242517.87*2925*0.0*19837220*false*6.1178*0.5*0.0*0.5*0.02*10.08*24.41*0.53*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2013 S2*2013-07-01*2013-12-31*7, de una escala del 1 al 7*1.89*0.03**2059054.33*2099*0.0*15424917*false*7.4913*1.01*0.0*1.01*0.05*4.81*10.72*0.54*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2013 T3*2013-07-01*2013-09-30*7, de una escala del 1 al 7*0.98*0.02**2026172.95*2092*0.0*14482496*false*7.1477*0.5*0.0*0.5*0.02*16.73*14.94*0.54*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2013 S1*2013-01-01*2013-06-30*7, de una escala del 1 al 7*2.58*0.03**2110614.76*2152*0.0*12923595*false*6.1231*0.99*0.0*0.99*0.04*-0.75*18.85*0.53*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2013 T1*2013-01-01*2013-03-31*7, de una*1.34*0.04**2423092.52*2273*0.0*14948642*false*6.1692*0.49*0.0*0.49*0.02*-1.2*15.76*0.53*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2014 T3*2014-07-01*2014-09-30*7, de una escala del 1 al 7*0.89*0.01**1901127.37*1940*0.0*14411557*false*7.5805*0.5*0.0*0.5*0.02*-2.4*13.83*0.54*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2014 S1*2014-01-01*2014-06-30*7, de una escala del 1 al 7*2.28*0.01**1885220.89*1971*0.0*14642375*false*7.7669*0.99*0.0*0.99*0.04*-0.21*12.08*0.53*False
