fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
RURAL MIXTO 15, FI*R.GARANTIZADO TECNOLOGIA FI*2009 S2*2009-07-01*2009-12-31*Bajo*0.03*0.44**10630.71*531*0.0*7166118*false*674.0957***0.38*0.05*-0.04*0.31*0.23*False
RURAL MIXTO 15, FI*R.GARANTIZADO TECNOLOGIA FI*2009 T3*2009-07-01*2009-09-30*Bajo*0.03*0.5**10768.65*540*0.0*7261649*false*674.3323***0.19*0.03*0.18*1.99*0.23*False
RURAL MIXTO 15, FI*R.GARANTIZADO TECNOLOGIA FI*2009 S1*2009-01-01*2009-06-30*Bajo*0.1*1.13**10878.59*552*0.0*7322679*false*673.1274***0.37*0.05*0.35*1.35*0.23*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2010 S2*2010-07-01*2010-12-31*Bajo*0.4*0.54**241214.32*6951*0.0*159098474*false*659.5731***0.35*0.02*-2.29*2.97*0.24*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2010 T3*2010-07-01*2010-09-30*Bajo*0.0*0.4**240864.48*6979*0.0*162591360*false*675.0325***0.06*0.01****False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2010 S1*2010-01-01*2010-06-30*Bajo*0.0*0.38**19905.4*559*0.0*13434038*false*674.8941***0.35*0.05*-0.15*0.57*0.21*False
RURAL MIXTO 15, FI*R.GARANTIZADO TECNOLOGIA FI*2010 T1*2010-01-01*2010-03-31*Bajo*0.03*0.33**10451.51*524*0.0*7064223*false*675.9046***0.18*0.02*0.27*0.76*0.22*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2011 S2*2011-07-01*2011-12-31*Bajo*0.05*0.98**237584.13*6819*0.0*157641570*false*663.5189*0.45**0.45*0.03*-3.24*7.44*0.24*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2011 T3*2011-07-01*2011-09-30*Bajo*0.02*1.05**238773.94*6857*0.0*163740930*false*685.7571***0.23*0.01*2.75*2.9*0.24*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2011 S1*2011-01-01*2011-06-30*Bajo*0.04*0.87**239818.31*6888*0.0*160052073*false*667.3889***0.45*0.02*0.42*2.59*0.24*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2011 T1*2011-01-01*2011-03-31*Bajo*0.0*0.67**240758.35*6927*0.0*160001755*false*664.5741***0.22*0.01*0.76*3.24*0.24*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2012 S2*2012-07-01*2012-12-31*Bajo*0.04*0.13**232918.72*6677*0.0*163295314*false*701.0828*0.45**0.45*0.03*4.89*4.36*0.24*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2012 T3*2012-07-01*2012-09-30*Bajo*0.01*0.16**233879.18*6710*0.0*156326074*false*668.4053*0.23**0.23*0.01*2.19*5.68*0.24*False
RURAL MIXTO 15, FI*RURAL 12,60 GARANTIZADO RF FI*2012 S1*2012-01-01*2012-06-30*Bajo*0.09*0.35**235045.4*6737*0.0*153738784*false*654.0812*0.45**0.45*0.02*-4.9*6.67*0.24*False
