fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2009*2009-01-01*2009-12-31*Muy Alto*1.655*0.885**1264467.03*150.0*0.0*11917919.0*False*9.985***0.99*0.12****False*Y*2009
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2009 T4*2009-07-01*2009-12-31*Muy Alto*2.11*0.44999999999999996**1133968.2*148.0*0.0*11917919.0*False*9.985***-0.13*0.03****False*T*2009
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2010*2010-01-01*2010-12-31*Muy Alto*0.75*0.57**1193719.85*150.0*0.0*12391455.0*False*10.3964***0.5*0.12****False*Y*2010
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2010 T2*2010-01-01*2010-06-30*Muy Alto*1.62*0.41999999999999993**1184741.24*150.0*0.0*11179724.0*False*9.3512***0.13*0.03****False*T*2010
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2010 T4*2010-07-01*2010-12-31*Muy Alto*0.6599999999999999*0.84**1190350.8599999999*150.0*0.0*12391455.0*False*10.3964***0.12*0.03****False*T*2010
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2011*2011-01-01*2011-12-31*Muy Alto*0.31000000000000005*1.1400000000000001**1175724.3050000002*149.0*0.0*10612503.0*False*9.1424***0.5*0.12****False*Y*2011
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2011 T2*2011-01-01*2011-06-30*Muy Alto*0.6300000000000001*1.19**1190653.01*149.0*0.0*12447102.0*False*10.454***0.13*0.03****False*T*2011
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2011 T4*2011-07-01*2011-12-31*Muy Alto*0.09000000000000001*1.18**1141614.85*149.0*0.0*10612503.0*False*9.1424***0.12*0.03****False*T*2011
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2012*2012-01-01*2012-12-31*Muy Alto*0.44499999999999995*0.32**1130239.62*149.0*0.0*11222568.0*False*9.9497*0.5**0.5*0.12****False*Y*2012
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2012 T2*2012-01-01*2012-06-30*Muy Alto*0.48999999999999994*0.39**1110759.2299999997*148.0*0.0*10635498.0*False*9.3907*0.13**0.13*0.03****False*T*2012
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2012 T4*2012-07-01*2012-12-31*Muy Alto*0.5599999999999999*0.13000000000000003**1125155.6800000002*149.0*0.0*11222568.0*False*9.9497*0.12**0.12*0.03****False*T*2012
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2013*2013-01-01*2013-12-31*Muy Alto*0.06*0.125**437907.70499999996*155.0*0.0*5344984.0*False*11.6582*0.5**0.5*0.12****False*Y*2013
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2013 T2*2013-01-01*2013-06-30*Muy Alto*0.0*0.11**442450.13999999996*154.0*0.0*4358718.0*False*10.4441*0.12**0.12*0.03****False*T*2013
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2013 T4*2013-07-01*2013-12-31*Muy Alto*0.16999999999999998*0.16000000000000003**447724.76999999996*162.0*0.0*5344984.0*False*11.6582*0.12**0.12*0.03****False*T*2013
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2014*2014-01-01*2014-12-31*6, en una escala del 1 al 7*0.225*0.125**509010.445*159.0*0.0*6457826.0*False*12.3823*0.7**0.7*0.12****False*Y*2014
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2014 T2*2014-01-01*2014-06-30*6, en una escala del 1 al 7*0.49000000000000005*0.21**514450.66*160.0*0.0*6035749.0*False*12.157*0.13**0.13*0.03****False*T*2014
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2014 T4*2014-07-01*2014-12-31*6, en una escala del 1 al 7*0.0*0.009999999999999995**523206.68000000005*159.0*0.0*6457826.0*False*12.3823*0.31**0.31*0.03****False*T*2014
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2015*2015-01-01*2015-12-31*6, en una escala del 1 al 7*0.045*0.0**472089.8*157.0*0.0*6128026.0*False*12.8782*1.25**1.25*0.12****False*Y*2015
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2015 T2*2015-01-01*2015-06-30*6, en una escala del 1 al 7*-0.01999999999999999*0.0**415133.19999999995*160.0*0.0*6241129.0*False*13.3262*0.31**0.31*0.03****False*T*2015
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2015 T4*2015-07-01*2015-12-31*6, en una escala del 1 al 7*0.02*0.0**481658.5*151.0*0.0*6128026.0*False*12.8782*0.31**0.31*0.03****False*T*2015
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.0*0.0**387042.41000000003*134.0*0.0*4899762.0*False*12.8404*1.25**1.25*0.12****False*Y*2016
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**320468.84*131.0*0.0*4544254.0*False*11.5778*0.31**0.31*0.03****False*T*2016
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*0.0**376585.43999999994*121.0*0.0*4899762.0*False*12.8404*0.32**0.32*0.03****False*T*2016
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.19*0.0**459508.58999999997*128.0*0.0*6259580.0*False*13.8813*1.25**1.25*0.12****False*Y*2017
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.46*0.0**459062.43*127.0*0.0*6295694.0*False*13.45*0.31**0.31*0.03****False*T*2017
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*0.27999999999999997*0.0**440731.36*129.0*0.0*6259580.0*False*13.8813*0.31**0.31*0.03****False*T*2017
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.0*0.0**461520.57*127.0*0.0*5671360.0*False*12.3257*1.25**1.25*0.12****False*Y*2018
ABANDO EQUITIES, FI*ABANDO EQUITIES, FI*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*0.0**462043.04*127.0*0.0*6331784.0*False*13.6781*0.31**0.31*0.03****False*T*2018
