fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER PLATEA MODERADO, FI*BANKINTER CARTERA PRIVADA MODERADA, FI*2016*2016-01-01*2016-12-31*4, en una escala del 1 al 7.*0.45*0.16499999999999998**1068116.085*212.0*0.0*132379683.0*False*97.9677*0.98*0.0*0.98*0.1****False*Y*2016
BANKINTER PLATEA MODERADO, FI*BANKINTER CARTERA PRIVADA MODERADA, FI*2016 T2*2016-01-01*2016-06-30*4, en una escala del 1 al 7.*-0.20999999999999996*0.19999999999999998**866547.1599999999*174.0*0.0*74803826.0*False*95.2947*0.24*0.0*0.24*0.030000000000000002****False*T*2016
BANKINTER PLATEA MODERADO, FI*BANKINTER CARTERA PRIVADA MODERADA, FI*2016 T4*2016-07-01*2016-12-31*4, en una escala del 1 al 7.*0.5*0.09**1774680.79*341.0*0.0*132379683.0*False*97.9677*0.24*-0.04*0.2*0.020000000000000004****False*T*2016
BANKINTER PLATEA MODERADO, FI*BANKINTER CARTERA PRIVADA MODERADA CLASE B*2017 T4*2017-07-01*2017-12-31*4, en una escala del 1 al 7.*1.75*0.06999999999999999**5454288.399999999*1306.0*0.0*461698259.0*False*101.956*0.24*0.04000000000000001*0.29*0.020000000000000004****True*T*2017
BANKINTER PLATEA MODERADO, FI*BANKINTER CARTERA PRIVADA MODERADA, FI CLASE A*2017 T4*2017-07-01*2017-12-31*4, en una escala del 1 al 7.*1.75*0.06999999999999999**781243.62*940.0*0.0*39070079.0*False*100.0202*0.26*0.33*0.6*0.02****True*T*2017
BANKINTER PLATEA MODERADO, FI*BANKINTER CARTERA PRIVADA MODERADA, FI*2017 T2*2017-01-01*2017-06-30*4, en una escala del 1 al 7.*0.09000000000000001*0.1**3696269.33*800.0*0.0*299477534.0*False*100.3587*0.24*0.15*0.39*0.030000000000000002****False*T*2017
BANKINTER PLATEA MODERADO, FI*CLASE B*2018*2018-01-01*2018-12-31*4, en una escala del 1 al 7.*0.99*-0.025**5868236.84*1348.0*0.0*542761793.0*False*94.5753*1.0*0.0*1.0*0.1****True*Y*2018
BANKINTER PLATEA MODERADO, FI*CLASE B*2018 T4*2018-07-01*2018-12-31*4, en una escala del 1 al 7.*1.47*0.0**5414865.220000001*1307.0*0.0*542761793.0*False*94.5753*0.25*0.0*0.25*0.020000000000000004****True*T*2018
BANKINTER PLATEA MODERADO, FI*CLASE A*2018*2018-01-01*2018-12-31*4, en una escala del 1 al 7.*0.99*-0.025**1251920.255*1538.0*0.0*126679112.0*False*92.6006*1.15*0.0*1.15*0.1****True*Y*2018
BANKINTER PLATEA MODERADO, FI*CLASE A*2018 T4*2018-07-01*2018-12-31*4, en una escala del 1 al 7.*1.47*0.0**1423534.8299999998*1711.0*0.0*126679112.0*False*92.6006*0.29*0.0*0.29*0.020000000000000004****True*T*2018
BANKINTER PLATEA MODERADO, FI*CLASE B*2019*2019-01-01*2019-12-31*4, en una escala del 1 al 7.*0.755*0.21999999999999997**4723466.1*1156.5*0.0*470091434.0*False*103.4012*1.0*0.12*1.12*0.1****True*Y*2019
BANKINTER PLATEA MODERADO, FI*CLASE B*2019 T2*2019-01-01*2019-06-30*4, en una escala del 1 al 7.*1.1099999999999999*0.019999999999999997**4365883.369999999*1100.0*0.0*492086037.0*False*100.4125*0.25*0.0*0.25*0.030000000000000002****True*T*2019
BANKINTER PLATEA MODERADO, FI*CLASE B*2019 T4*2019-07-01*2019-12-31*4, en una escala del 1 al 7.*1.29*0.52**4394236.579999999*1082.0*0.0*470091434.0*False*103.4012*0.25*0.12*0.37*0.020000000000000004****True*T*2019
BANKINTER PLATEA MODERADO, FI*CLASE A*2019*2019-01-01*2019-12-31*4, en una escala del 1 al 7.*0.755*0.21999999999999997**1413088.7*1672.0*0.0*139443816.0*False*101.1167*1.15*0.12*1.27*0.1****True*Y*2019
BANKINTER PLATEA MODERADO, FI*CLASE A*2019 T2*2019-01-01*2019-06-30*4, en una escala del 1 al 7.*1.1099999999999999*0.019999999999999997**1450383.6*1705.0*0.0*142209014.0*False*98.2691*0.2899999999999999*0.0*0.2899999999999999*0.030000000000000002****True*T*2019
BANKINTER PLATEA MODERADO, FI*CLASE A*2019 T4*2019-07-01*2019-12-31*4, en una escala del 1 al 7.*1.29*0.52**1356205.3199999998*1581.0*0.0*139443816.0*False*101.1167*0.29*0.12*0.41*0.020000000000000004****True*T*2019
BANKINTER PLATEA MODERADO, FI*CLASE B*2020 T4*2020-07-01*2020-12-31*4, en una escala del 1 al 7*1.31*0.019999999999999997**4221738.5*1021.0*0.0*440297323.0*False*106.2034*0.25*0.16*0.41000000000000003*0.020000000000000004****True*T*2020
BANKINTER PLATEA MODERADO, FI*CLASE A*2020 T4*2020-07-01*2020-12-31*4, en una escala del 1 al 7*1.31*0.019999999999999997**1434077.3500000003*1663.0*0.0*142949670.0*False*103.7051*0.29*0.15*0.44*0.020000000000000004****True*T*2020
BANKINTER PLATEA MODERADO, FI*CLASE R*2020 T4*2020-07-01*2020-12-31*4, en una escala del 1 al 7*1.31*0.019999999999999997**208753.33*1278.0*0.0*13622730.0*False*104.5136*0.31*0.0*0.31*0.030000000000000006****True*T*2020
