fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2012 T2*2012-01-01*2012-06-30*Alto*0.1*1.54**262194.6*90.0*0.0*931762.0*False*5.907*0.46*0.0*0.46*0.04****False*T*2012
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2013*2013-01-01*2013-12-31*6 en una escala del 1 al 7*0.26*0.060000000000000005**1027889.4299999999*399.0*0.0*11046923.0*False*7.2718*1.75*0.0*1.75*0.15000000000000002****False*Y*2013
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2013 T2*2013-01-01*2013-06-30*Alto*0.0*0.060000000000000005**793193.44*388.0*0.0*3593705.0*False*6.6969*0.44*0.0*0.44*0.030000000000000006****False*T*2013
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2013 T4*2013-07-01*2013-12-31*6 en una escala del 1 al 7*0.85*0.07**2174305.8600000003*762.0*0.0*11046923.0*False*7.2718*0.44*0.0*0.44*0.04****False*T*2013
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2014 T2*2014-01-01*2014-06-30*5 en una escala del 1 al 7*1.3599999999999999*0.15**2053202.9200000002*839.0*0.0*14632085.0*False*7.5057*0.44*0.0*0.44*0.030000000000000006****False*T*2014
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2015*2015-01-01*2015-12-31*5 en una escala del 1 al 7*0.47500000000000003*0.01**9243392.62*4141.0*0.0*82921789.0*False*8.0142*1.75*0.0*1.75*0.15000000000000002****False*Y*2015
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2015 T2*2015-01-01*2015-06-30*5 en una escala del 1 al 7*0.54*0.01**9468508.079999998*4425.0*0.0*68980615.0*False*8.4743*0.44*0.0*0.44*0.030000000000000006****False*T*2015
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2015 T4*2015-07-01*2015-12-31*5 en una escala del 1 al 7*0.8200000000000001*0.01**11604273.29*5055.0*0.0*82921789.0*False*8.0142*0.44*0.0*0.44*0.04****False*T*2015
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2016 T2*2016-01-01*2016-06-30*5 en una escala del 1 al 7*0.64*0.01**9418697.080000002*4262.0*0.0*76130479.0*False*7.8215*0.43*0.0*0.43*0.030000000000000006****False*T*2016
BBVA MI INVERSION BOLSA ACUMULACION, FI*CX BORSA DIVIDENDS F.I.*2016 T2*2016-01-01*2016-06-30*5 en una escala del 1 al 7*0.64*0.01**9418697.080000002*4262.0*0.0*76130479.0*False*7.8215*0.43*0.0*0.43*0.030000000000000006****False*T*2016
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA DIVIDENDO EUROPA PLUS, FI*2017*2017-01-01*2017-12-31*5 en una escala del 1 al 7*1.145*-0.235**8940395.969999999*3669.0*0.0*85571000.0*False*9.2242*1.56*0.0*1.56*0.2****False*Y*2017
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA DIVIDENDO EUROPA PLUS, FI*2017 T2*2017-01-01*2017-06-30*5 en una escala del 1 al 7*2.26*-0.22999999999999998**9219736.549999999*3619.0*0.0*76463000.0*False*8.8869*0.39*0.0*0.39*0.05****False*T*2017
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA DIVIDENDO EUROPA PLUS, FI*2017 T4*2017-07-01*2017-12-31*5 en una escala del 1 al 7*0.28*-0.24000000000000002**9827872.09*3759.0*0.0*85571000.0*False*9.2242*0.39*0.0*0.39*0.05****False*T*2017
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2018*2018-01-01*2018-12-31*5 en una escala del 1 al 7*0.32*-0.32499999999999996**13396015.530000001*4618.0*0.0*114570000.0*False*8.1599*1.55*0.0*1.55*0.2****False*Y*2018
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2018 T2*2018-01-01*2018-06-30*5 en una escala del 1 al 7*0.3500000000000001*-0.31999999999999995**15548760.06*5151.0*0.0*117320000.0*False*9.2005*0.39*0.0*0.39*0.05****False*T*2018
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2018 T4*2018-07-01*2018-12-31*5 en una escala del 1 al 7*0.48*-0.48**14623947.71*4680.0*0.0*114570000.0*False*8.1599*0.39*0.0*0.39*0.05****False*T*2018
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*1.16*-0.18**13482058.94*4499.5*0.0*130858000.0*False*9.68*1.55*0.0*1.55*0.2****False*Y*2019
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2019 T2*2019-01-01*2019-06-30*5 en una escala del 1 al 7*1.42*-0.24**13317006.569999998*4495.0*0.0*122911000.0*False*9.1413*0.39*0.0*0.39*0.05****False*T*2019
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7*1.92*-0.12**13774861.01*4427.0*0.0*130858000.0*False*9.68*0.39*0.0*0.39*0.05****False*T*2019
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2020*2020-01-01*2020-12-31*6 en una escala del 1 al 7*1.1400000000000001*-0.24**11986041.95*3922.5*0.0*100089000.0*False*8.7935*1.55*0.0*1.55*0.2****False*Y*2020
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2020 T2*2020-01-01*2020-06-30*5 en una escala del 1 al 7*2.7*-0.24**12128923.370000001*4046.0*0.0*101987000.0*False*8.1007*0.38*0.0*0.38*0.05****False*T*2020
BBVA MI INVERSION BOLSA ACUMULACION, FI*BBVA MI INVERSION BOLSA ACUMULACION, FI*2020 T4*2020-07-01*2020-12-31*6 en una escala del 1 al 7*0.9200000000000002*-0.12**10799328.219999999*3477.0*0.0*100089000.0*False*8.7935*0.39*0.0*0.39*0.05****False*T*2020
