fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010*2010-01-01*2010-12-31*Alto*0.69*0.295**2116263.205*161.5*0.0*21329557.0*False*10.1543***0.7*0.0****False*Y*2010
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 T2*2010-01-01*2010-06-30*Alto*1.16*0.24999999999999997**2095190.6099999999*158.0*0.0*21393324.0*False*10.0345***0.17999999999999997*0.0****False*T*2010
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 T4*2010-07-01*2010-12-31*Alto*1.1*0.35999999999999993**2053360.2000000002*147.0*0.0*21329557.0*False*10.1543***0.16999999999999998*0.0****False*T*2010
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010*2010-01-01*2010-12-31*Alto*0.69*0.295**2116263.205*161.5*0.0*21329557.0*False*10.1543***0.7*0.0****False*Y*2010
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 T2*2010-01-01*2010-06-30*Alto*1.16*0.24999999999999997**2095190.6099999999*158.0*0.0*21393324.0*False*10.0345***0.17999999999999997*0.0****False*T*2010
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 T4*2010-07-01*2010-12-31*Alto*1.1*0.35999999999999993**2053360.2000000002*147.0*0.0*21329557.0*False*10.1543***0.16999999999999998*0.0****False*T*2010
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2011 T2*2011-01-01*2011-06-30*Alto*1.19*0.62**1223628.95*113.0*0.0*16014668.0*False*9.8423***0.17999999999999997*0.0****False*T*2011
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012*2012-01-01*2012-12-31*3, en una escala del 1 al 7*1.055*0.08499999999999999**860263.27*105.0*0.0*15031530.0*False*9.6992*0.6499999999999999**0.6499999999999999*0.05****False*Y*2012
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012 T2*2012-01-01*2012-06-30*3, en una escala del 1 al 7*1.6999999999999997*0.16**11062.73999999999*108.0*0.0*1606647.0*False*9.4091*0.17999999999999997**0.17999999999999997*0.0****False*T*2012
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012 T4*2012-07-01*2012-12-31*3, en una escala del 1 al 7*1.73*0.039999999999999994**1805777.58*107.0*0.0*15031530.0*False*9.6992*0.12999999999999998**0.12999999999999998*0.05****False*T*2012
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012*2012-01-01*2012-12-31*3, en una escala del 1 al 7*1.055*0.08499999999999999**860263.27*105.0*0.0*15031530.0*False*9.6992*0.6499999999999999**0.6499999999999999*0.05****False*Y*2012
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012 T2*2012-01-01*2012-06-30*3, en una escala del 1 al 7*1.6999999999999997*0.16**11062.73999999999*108.0*0.0*1606647.0*False*9.4091*0.17999999999999997**0.17999999999999997*0.0****False*T*2012
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012 T4*2012-07-01*2012-12-31*3, en una escala del 1 al 7*1.73*0.039999999999999994**1805777.58*107.0*0.0*15031530.0*False*9.6992*0.12999999999999998**0.12999999999999998*0.05****False*T*2012
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2013*2013-01-01*2013-12-31*3, en una escala del 1 al 7*1.5550000000000002*0.04**1744907.55*104.5*0.0*17755257.0*False*10.1475*0.6**0.6*0.1****False*Y*2013
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2013 T2*2013-01-01*2013-06-30*3, en una escala del 1 al 7*2.23*0.039999999999999994**1772544.65*102.0*0.0*16881922.0*False*9.7017*0.15**0.15*0.030000000000000002****False*T*2013
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2013 T4*2013-07-01*2013-12-31*3, en una escala del 1 al 7*2.6*0.07**1774029.8400000003*117.0*0.0*17755257.0*False*10.1475*0.15**0.15*0.020000000000000004****False*T*2013
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2014*2014-01-01*2014-12-31*3, en una escala del 1 al 7*1.335*0.045000000000000005**2189056.275*111.0*0.0*27218666.0*False*10.7677*0.6**0.6*0.1****False*Y*2014
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2014 T2*2014-01-01*2014-06-30*3, en una escala del 1 al 7*2.5900000000000003*0.09000000000000001**1839127.5799999998*105.0*0.0*19523390.0*False*10.5514*0.15**0.15*0.030000000000000002****False*T*2014
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2014 T4*2014-07-01*2014-12-31*3, en una escala del 1 al 7*1.5*-0.01**2885921.17*128.0*0.0*27218666.0*False*10.7677*0.15**0.15*0.020000000000000004****False*T*2014
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2015*2015-01-01*2015-12-31*3, en una escala del 1 al 7*1.5*0.0**3049007.1799999997*147.5*0.0*33582112.0*False*11.0606*0.6**0.6*0.1****False*Y*2015
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2015 T2*2015-01-01*2015-06-30*3, en una escala del 1 al 7*2.09*0.0**3399719.7*170.0*0.0*33693160.0*False*11.0043*0.15**0.15*0.030000000000000002****False*T*2015
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2015 T4*2015-07-01*2015-12-31*3, en una escala del 1 al 7*2.45*0.0**3013400.0999999996*137.0*0.0*33582112.0*False*11.0606*0.15**0.15*0.020000000000000004****False*T*2015
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016*2016-01-01*2016-12-31*4, en una escala del 1 al 7*1.385*-0.005**2829760.84*133.5*0.0*31833712.0*False*11.3103*0.6**0.6*0.1****False*Y*2016
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016 T2*2016-01-01*2016-06-30*3, en una escala del 1 al 7*2.6*0.0**2804780.9299999997*125.0*0.0*31027423.0*False*10.9062*0.15**0.15*0.030000000000000002****False*T*2016
