fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009*2009-01-01*2009-12-31*bajo*0.005*0.24**10113.775*507.0*0.0*13012011.0*False*1345.7805***0.6699999999999999*0.1****False*Y*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T4*2009-07-01*2009-12-31*bajo*0.0*0.24**8874.43*508.0*0.0*13012011.0*False*1345.7805***0.13999999999999999*0.020000000000000004****False*T*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009*2009-01-01*2009-12-31*bajo*0.005*0.24**10113.775*507.0*0.0*13012011.0*False*1345.7805***0.6699999999999999*0.1****False*Y*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T4*2009-07-01*2009-12-31*bajo*0.0*0.24**8874.43*508.0*0.0*13012011.0*False*1345.7805***0.13999999999999999*0.020000000000000004****False*T*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010*2010-01-01*2010-12-31*bajo*0.0*0.59**7462.885*478.0**9620148.0*False*1349.2612***0.71*0.11****False*Y*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 T2*2010-01-01*2010-06-30*bajo*0.0*0.24**6439.92*472.0**10493588.0*False*1346.0508***0.10999999999999999*0.030000000000000002****False*T*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 T4*2010-07-01*2010-12-31*bajo*0.0*0.9899999999999999**7061.299999999999*467.0*0.0*9620148.0*False*1349.2612***0.2*0.03****False*T*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010*2010-01-01*2010-12-31*bajo*0.0*0.59**7462.885*478.0**9620148.0*False*1349.2612***0.71*0.11****False*Y*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 T2*2010-01-01*2010-06-30*bajo*0.0*0.24**6439.92*472.0**10493588.0*False*1346.0508***0.10999999999999999*0.030000000000000002****False*T*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 T4*2010-07-01*2010-12-31*bajo*0.0*0.9899999999999999**7061.299999999999*467.0*0.0*9620148.0*False*1349.2612***0.2*0.03****False*T*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010*2010-01-01*2010-12-31*bajo*0.0*0.59**7462.885*478.0**9620148.0*False*1349.2612***0.71*0.11****False*Y*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 T2*2010-01-01*2010-06-30*bajo*0.0*0.24**6439.92*472.0**10493588.0*False*1346.0508***0.10999999999999999*0.030000000000000002****False*T*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 T4*2010-07-01*2010-12-31*bajo*0.0*0.9899999999999999**7061.299999999999*467.0*0.0*9620148.0*False*1349.2612***0.2*0.03****False*T*2010
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2011*2011-01-01*2011-12-31*Bajo*0.0*1.215**6232.45*469.0*0.0*7993762.0*False*1355.9176***0.79*0.1****False*Y*2011
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2011 T2*2011-01-01*2011-06-30*Bajo*0.0*0.9299999999999999**6439.329999999999*482.0*0.0*8876448.0*False*1351.1736***0.2*0.030000000000000002****False*T*2011
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2011 T4*2011-07-01*2011-12-31*Bajo*0.0*1.8900000000000001**5275.58*456.0*0.0*7993762.0*False*1355.9176***0.2*0.020000000000000004****False*T*2011
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2012 T2*2012-01-01*2012-06-30*Bajo*0.0*0.8499999999999999**5280.06*456.0*0.0*7641949.0*False*1356.9169*0.19*0.0*0.19*0.030000000000000002****False*T*2012
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2013*2013-01-01*2013-12-31*1 (En una escala del 1 al 7)*0.0*1.045**4559.665*448.0*0.0*5650387.0*False*1364.4763*0.8*0.0*0.8*0.1****False*Y*2013
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2013 T2*2013-01-01*2013-06-30*1 (En una escala del 1 al 7)*0.0*0.77**4717.070000000001*459.0*0.0*6772483.0*False*1360.4111*0.2*0.0*0.2*0.030000000000000002****False*T*2013
