fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2009*2009-01-01*2009-12-31*Alto*0.29000000000000004*0.53**1477486.7200000002*2169.0*0.0*27413690.0*False*17.6721***1.5*0.15000000000000002****False*Y*2009
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2009 T4*2009-07-01*2009-12-31*Alto*0.37*0.2**1593957.9600000002*2399.0*0.0*27413690.0*False*17.6721***0.38*0.04****False*T*2009
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2010*2010-01-01*2010-12-31*Alto*0.35500000000000004*0.275**2111045.345*3129.5*0.0*38842353.0*False*18.2296***1.5*0.15000000000000002****False*Y*2010
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2010 T2*2010-01-01*2010-06-30*Alto*1.01*0.18**2308745.18*3279.0*0.0*37109911.0*False*17.7444***0.37*0.030000000000000006****False*T*2010
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2010 T4*2010-07-01*2010-12-31*Alto*0.05*0.45**2119509.1300000004*3545.0*0.0*38842353.0*False*18.2296***0.38*0.04****False*T*2010
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2011*2011-01-01*2011-12-31*Alto*0.08*0.695**2192329.215*3629.5*0.0*34449355.0*False*17.9997***1.5*0.15000000000000002****False*Y*2011
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2011 T2*2011-01-01*2011-06-30*Alto*0.22*0.8699999999999999**2641946.58*3890.0*0.0*45529729.0*False*18.4273***0.37*0.030000000000000006****False*T*2011
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2011 T4*2011-07-01*2011-12-31*Alto*-0.02*0.58**1679531.1600000001*3366.0*0.0*34449355.0*False*17.9997***0.38*0.04****False*T*2011
KUTXABANK RENTA GLOBAL, FI*BBK RENTA GLOBAL F.I.*2012 T2*2012-01-01*2012-06-30*Alto*-0.01*0.21999999999999997**1742179.6*3421.0*0.0*33514348.0*False*18.5149*0.38*0.0*0.38*0.030000000000000006****False*T*2012
KUTXABANK RENTA GLOBAL, FI*KUTXABANK RENTA GLOBAL, FI*2013*2013-01-01*2013-12-31*3 en una escala del 1 al 7*0.0*0.09**3312210.9699999997*6413.5*0.0*67107487.0*False*19.6288*1.5*0.0*1.5*0.15000000000000002****False*Y*2013
KUTXABANK RENTA GLOBAL, FI*KUTXABANK RENTA GLOBAL, FI*2013 T2*2013-01-01*2013-06-30*Alto*0.0*0.09**3794458.01*6253.0*0.0*61847151.0*False*19.2935*0.37*0.0*0.37*0.030000000000000006****False*T*2013
KUTXABANK RENTA GLOBAL, FI*KUTXABANK RENTA GLOBAL, FI*2013 T4*2013-07-01*2013-12-31*3 en una escala del 1 al 7*-0.08*0.12000000000000001**4026424.75*9551.0*0.0*67107487.0*False*19.6288*0.38*0.0*0.38*0.04****False*T*2013
KUTXABANK RENTA GLOBAL, FI*KUTXABANK RENTA GLOBAL, FI*2014*2014-01-01*2014-12-31*3 en una escala del 1 al 7*0.645*0.10500000000000001**8391144.424999999*18566.0*0.0*216368829.0*False*20.7366*1.49*0.0*1.49*0.15000000000000002****False*Y*2014
