fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROPEAN STOCK MARKET, FI*2009*2009-01-01*2009-12-31*ALTO*0.66*0.675**1792860.12*81.5*0.0*14708343.0*False*8.2968***2.25*0.1****False*Y*2009
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROPEAN STOCK MARKET, FI*2009 T4*2009-07-01*2009-12-31*ALTO*0.45999999999999996*0.33**1735694.3800000001*68.0*0.0*14708343.0*False*8.2968***0.5599999999999999*0.020000000000000004****False*T*2009
LIBERTY EURO STOCK MARKET, FI*LIBERTY EURO STOCK MARKET, FI*2010*2010-01-01*2010-12-31*Muy Alto*0.38*0.43000000000000005**1683896.4249999998*118.0*0.0*13066386.0*False*7.9342***2.25*0.1****False*Y*2010
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROPEAN STOCK MARKET, FI*2010 T2*2010-01-01*2010-06-30*Alto*1.0*0.38000000000000006**1674283.73*146.0*0.0*12622510.0*False*7.3346***0.56*0.030000000000000002****False*T*2010
LIBERTY EURO STOCK MARKET, FI*LIBERTY EURO STOCK MARKET, FI*2010 T4*2010-07-01*2010-12-31*Muy Alto*0.35*0.6100000000000001**1590433.7799999998*118.0*0.0*13066386.0*False*7.9342***0.5599999999999999*0.020000000000000004****False*T*2010
LIBERTY EURO STOCK MARKET, FI*LIBERTY EURO STOCK MARKET, FI*2010*2010-01-01*2010-12-31*Muy Alto*0.38*0.43000000000000005**1683896.4249999998*118.0*0.0*13066386.0*False*7.9342***2.25*0.1****False*Y*2010
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROPEAN STOCK MARKET, FI*2010 T2*2010-01-01*2010-06-30*Alto*1.0*0.38000000000000006**1674283.73*146.0*0.0*12622510.0*False*7.3346***0.56*0.030000000000000002****False*T*2010
LIBERTY EURO STOCK MARKET, FI*LIBERTY EURO STOCK MARKET, FI*2010 T4*2010-07-01*2010-12-31*Muy Alto*0.35*0.6100000000000001**1590433.7799999998*118.0*0.0*13066386.0*False*7.9342***0.5599999999999999*0.020000000000000004****False*T*2010
LIBERTY EURO STOCK MARKET, FI*LIBERTY EURO STOCK MARKET, FI*2011 T2*2011-01-01*2011-06-30*Muy Alto*1.89*1.0899999999999999**1527471.7500000002*141.0*0.0*12988541.0*False*8.2611***0.5700000000000001*0.030000000000000002****False*T*2011
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2012*2012-01-01*2012-12-31*MUY ALTO*0.14500000000000002*0.07**1249437.5899999999*50.5*0.0*9406472.0*False*7.7912*2.34*0.0*2.34*0.1****False*Y*2012
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2012 T2*2012-01-01*2012-06-30*MUY ALTO*-0.03*-0.15000000000000002**1233644.6099999999*58.0*0.0*8692037.0*False*6.7299*0.6499999999999999*0.0*0.6499999999999999*0.030000000000000002****False*T*2012
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2012 T4*2012-07-01*2012-12-31*MUY ALTO*0.22000000000000003*0.020000000000000004**1139947.02*57.0*0.0*9406472.0*False*7.7912*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2012
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2012*2012-01-01*2012-12-31*MUY ALTO*0.14500000000000002*0.07**1249437.5899999999*50.5*0.0*9406472.0*False*7.7912*2.34*0.0*2.34*0.1****False*Y*2012
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2012 T2*2012-01-01*2012-06-30*MUY ALTO*-0.03*-0.15000000000000002**1233644.6099999999*58.0*0.0*8692037.0*False*6.7299*0.6499999999999999*0.0*0.6499999999999999*0.030000000000000002****False*T*2012
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2012 T4*2012-07-01*2012-12-31*MUY ALTO*0.22000000000000003*0.020000000000000004**1139947.02*57.0*0.0*9406472.0*False*7.7912*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2012
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2013*2013-01-01*2013-12-31*7, en una escala del 1 al 7*0.305*0.01**1182823.4849999999*104.5*0.0*11233955.0*False*9.2467*2.25*0.0*2.25*0.1****False*Y*2013
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2013 T2*2013-01-01*2013-06-30*MUY ALTO*0.69*0.01**1135949.7599999998*133.0*0.0*8934052.0*False*7.7638*0.56*0.0*0.56*0.030000000000000002****False*T*2013
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2013 T4*2013-07-01*2013-12-31*7, en una escala del 1 al 7*0.0*0.01**1291034.2000000002*116.0*0.0*11233955.0*False*9.2467*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2013
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2014 T4*2014-07-01*2014-12-31*7, en una escala del 1 al 7*0.0*0.01**1414759.33*109.0*0.0*12965982.0*False*9.441*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2014
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2015 T2*2015-01-01*2015-06-30*7, en una escala del 1 al 7*0.16*0.01**1498285.5600000003*113.0*0.0*15004180.0*False*10.4059*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2015
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.0*0.0**1665607.455*103.0*0.0*17170111.0*False*10.0737*2.25*0.0*2.25*0.1****False*Y*2016
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**1686519.27*101.0*0.0*14354091.0*False*8.8237*0.56*0.0*0.56*0.030000000000000002****False*T*2016
