fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2015*2015-01-01*2015-12-31*7 en una escala del 1 al 7*0.05*-0.015**1052389.04*325.5*0.0*109835809.0*False*104.2864*0.49**0.49*0.07****True*Y*2015
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2015 T2*2015-01-01*2015-06-30*7 en una escala del 1 al 7*0.0*-0.08**1102029.4400000002*333.0*0.0*108588070.0*False*103.2633*0.12**0.12*0.009999999999999998****True*T*2015
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2015 T4*2015-07-01*2015-12-31*7 en una escala del 1 al 7*0.19*0.0**1057071.3900000001*328.0*0.0*109835809.0*False*104.2864*0.12**0.12*0.02****True*T*2015
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2015 T2*2015-01-01*2015-06-30*7 en una escala del 1 al 7*0.0*-0.08**130971.88999999998*733.0*0.0*8850281.0*False*102.6962*0.44**0.44*0.009999999999999998****True*T*2015
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2015 T2*2015-01-01*2015-06-30*7 en una escala del 1 al 7*0.0*-0.08**177309.97*115.0*0.0*10854799.0*False*102.9341*0.36**0.36*0.019999999999999997****True*T*2015
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2016*2016-01-01*2016-12-31*7 en una escala del 1 al 7*0.03*0.0**959798.21*326.0*0.0*112234986.0*False*119.2059*0.5**0.5*0.07****True*Y*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2016 T2*2016-01-01*2016-06-30*7 en una escala del 1 al 7*0.12*0.0**949491.7500000001*323.0*0.0*99025087.0*False*101.2449*0.13**0.13*0.009999999999999998****True*T*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2016 T4*2016-07-01*2016-12-31*7 en una escala del 1 al 7*0.0*0.0**942605.63*330.0*0.0*112234986.0*False*119.2059*0.12**0.12*0.02****True*T*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2016*2016-01-01*2016-12-31*7 en una escala del 1 al 7*0.03*0.0**254564.34999999998*1043.0*0.0*40044931.0*False*116.3446*1.75**1.75*0.07****True*Y*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2016 T2*2016-01-01*2016-06-30*7 en una escala del 1 al 7*0.12*0.0**174378.12*819.0*0.0*16400741.0*False*99.4368*0.44**0.44*0.009999999999999998****True*T*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2016 T4*2016-07-01*2016-12-31*7 en una escala del 1 al 7*0.0*0.0**485041.37*1664.0*0.0*40044931.0*False*116.3446*0.44**0.44*0.02****True*T*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2016*2016-01-01*2016-12-31*7 en una escala del 1 al 7*0.03*0.0**510087.77*384.0*0.0*80168798.0*False*117.4929*1.25**1.25*0.07****True*Y*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2016 T2*2016-01-01*2016-06-30*7 en una escala del 1 al 7*0.12*0.0**398810.76*278.0*0.0*33841104.0*False*100.167*0.31**0.31*0.009999999999999998****True*T*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2016 T4*2016-07-01*2016-12-31*7 en una escala del 1 al 7*0.0*0.0**819686.6799999999*659.0*0.0*80168798.0*False*117.4929*0.32**0.32*0.02****True*T*2016
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2017*2017-01-01*2017-12-31*7 en una escala del 1 al 7*0.055*0.0**932928.39*337.0*0.0*134196763.0*False*144.2661*0.5**0.5*0.06****True*Y*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2017 T2*2017-01-01*2017-06-30*7 en una escala del 1 al 7*0.0*0.0**927066.75*330.0*0.0*125579480.0*False*134.2158*0.13**0.13*0.009999999999999998****True*T*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2017 T4*2017-07-01*2017-12-31*7 en una escala del 1 al 7*0.0*0.0**935304.81*357.0*0.0*134196763.0*False*144.2661*0.12**0.12*0.019999999999999997****True*T*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2017*2017-01-01*2017-12-31*7 en una escala del 1 al 7*0.055*0.0**850043.2749999999*3223.0*0.0*142786365.0*False*139.0541*1.75**1.75*0.06****True*Y*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2017 T2*2017-01-01*2017-06-30*7 en una escala del 1 al 7*0.0*0.0**814272.7699999999*3041.0*0.0*87646333.0*False*130.1847*0.44**0.44*0.009999999999999998****True*T*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2017 T4*2017-07-01*2017-12-31*7 en una escala del 1 al 7*0.0*0.0**1226581.51*4789.0*0.0*142786365.0*False*139.0541*0.44**0.44*0.019999999999999997****True*T*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2017*2017-01-01*2017-12-31*7 en una escala del 1 al 7*0.055*0.0**1461820.405*1324.5*0.0*236670717.0*False*141.1305*1.25**1.25*0.06****True*Y*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2017 T2*2017-01-01*2017-06-30*7 en una escala del 1 al 7*0.0*0.0**1486720.2200000002*1403.0*0.0*164307025.0*False*131.796*0.31**0.31*0.009999999999999998****True*T*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2017 T4*2017-07-01*2017-12-31*7 en una escala del 1 al 7*0.0*0.0**1934562.73*1766.0*0.0*236670717.0*False*141.1305*0.32**0.32*0.019999999999999997****True*T*2017
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2018*2018-01-01*2018-12-31*7 en una escala del 1 al 7*0.105*0.0**935523.905*356.0*0.0*110407836.0*False*118.0545*0.5**0.5*0.04****True*Y*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2018 T2*2018-01-01*2018-06-30*7 en una escala del 1 al 7*0.16999999999999998*0.0**937491.3999999999*365.0*0.0*131118585.0*False*140.1109*0.13**0.13*0.01****True*T*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2018 T4*2018-07-01*2018-12-31*7 en una escala del 1 al 7*0.22999999999999998*0.0**935185.34*351.0*0.0*110407836.0*False*118.0545*0.12**0.12*0.01****True*T*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2018*2018-01-01*2018-12-31*7 en una escala del 1 al 7*0.105*0.0**1313860.21*5502.5*0.0*142274047.0*False*112.3745*1.75**1.75*0.04****True*Y*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2018 T2*2018-01-01*2018-06-30*7 en una escala del 1 al 7*0.16999999999999998*0.0**1466528.01*6007.0*0.0*182750858.0*False*134.2128*0.44**0.44*0.01****True*T*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2018 T4*2018-07-01*2018-12-31*7 en una escala del 1 al 7*0.22999999999999998*0.0**1187243.1900000002*5532.0*0.0*142274047.0*False*112.3745*0.44**0.44*0.01****True*T*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2018*2018-01-01*2018-12-31*7 en una escala del 1 al 7*0.105*0.0**2231379.1399999997*2103.5*0.0*259884055.0*False*114.6256*1.25**1.25*0.04****True*Y*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2018 T2*2018-01-01*2018-06-30*7 en una escala del 1 al 7*0.16999999999999998*0.0**2370168.6*2169.0*0.0*299812607.0*False*136.5568*0.31**0.31*0.01****True*T*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2018 T4*2018-07-01*2018-12-31*7 en una escala del 1 al 7*0.22999999999999998*0.0**2191333.0999999996*2230.0*0.0*259884055.0*False*114.6256*0.32**0.32*0.01****True*T*2018
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.35**909164.8*349.5*0.0*132505590.0*False*145.2236*0.5**0.5*0.04****True*Y*2019
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2019 T2*2019-01-01*2019-06-30*7 en una escala del 1 al 7*0.0*-0.6**886225.1099999999*348.0*0.0*127886580.0*False*141.17*0.13**0.13*0.01****True*T*2019
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.5**910433.14*341.0*0.0*132505590.0*False*145.2236*0.12**0.12*0.01****True*T*2019
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.35**1157473.245*5331.0*0.0*152725880.0*False*136.5153*1.75**1.75*0.04****True*Y*2019
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2019 T2*2019-01-01*2019-06-30*7 en una escala del 1 al 7*0.0*-0.6**1131910.27*5350.0*0.0*159745083.0*False*133.5437*0.44**0.44*0.01****True*T*2019
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.5**1078512.16*5105.0*0.0*152725880.0*False*136.5153*0.44**0.44*0.01****True*T*2019
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.35**2063453.025*2097.0*0.0*277488462.0*False*139.9519*1.25**1.25*0.04****True*Y*2019
