fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2015*2015-01-01*2015-12-31*7 en una escala del 1 al 7*0.0*-0.01**416492.945*243.0*0.0*47049276.0*False*112.7219*0.49**0.49*0.07****True*Y*2015
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2015 T2*2015-01-01*2015-06-30*7 en una escala del 1 al 7*0.0*-0.05**410347.07000000007*248.0*0.0*45013687.0*False*108.3119*0.12**0.12*0.009999999999999998****True*T*2015
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2015 T4*2015-07-01*2015-12-31*7 en una escala del 1 al 7*0.0*0.0**416596.88*247.0*0.0*47049276.0*False*112.7219*0.12**0.12*0.02****True*T*2015
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2015 T2*2015-01-01*2015-06-30*7 en una escala del 1 al 7*0.0*-0.05**65039.20999999999*441.0*0.0*4377975.0*False*107.7217*0.44**0.44*0.009999999999999998****True*T*2015
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2015 T2*2015-01-01*2015-06-30*7 en una escala del 1 al 7*0.0*-0.05**193641.57*97.0*0.0*11410959.0*False*107.9049*0.35**0.35*0.019999999999999997****True*T*2015
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2016*2016-01-01*2016-12-31*7 en una escala del 1 al 7*0.0*0.0**360907.865*248.5*0.0*45955993.0*False*131.783*0.5**0.5*0.07****True*Y*2016
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2016 T2*2016-01-01*2016-06-30*7 en una escala del 1 al 7*0.0*0.0**366588.18999999994*246.0*0.0*42044194.0*False*112.6916*0.13**0.13*0.009999999999999998****True*T*2016
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2016 T4*2016-07-01*2016-12-31*7 en una escala del 1 al 7*0.0*0.0**352081.0*254.0*0.0*45955993.0*False*131.783*0.12**0.12*0.02****True*T*2016
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2016*2016-01-01*2016-12-31*7 en una escala del 1 al 7*0.0*0.0**222477.525*1215.0*0.0*44054575.0*False*128.6432*1.74**1.74*0.06****True*Y*2016
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2016 T2*2016-01-01*2016-06-30*7 en una escala del 1 al 7*0.0*0.0**118365.3*663.0*0.0*11346700.0*False*110.7001*0.44**0.44*0.009999999999999998****True*T*2016
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2016 T4*2016-07-01*2016-12-31*7 en una escala del 1 al 7*0.0*0.0**543881.77*3034.0*0.0*44054575.0*False*128.6432*0.43**0.43*0.009999999999999998****True*T*2016
