fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2011 T2*2011-01-01*2011-06-30*MUY ALTO*0.49*0.94**2044057.37*2949.0*0.0*18272467.0*False*9.177***0.47*0.030000000000000002****False*T*2011
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2012*2012-01-01*2012-12-31*MUY ALTO*0.205*0.32**1781770.495*2426.5*0.0*16368443.0*False*9.0142*1.8399999999999999*0.0*1.8399999999999999*0.1****False*Y*2012
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2012 T2*2012-01-01*2012-06-30*MUY ALTO*0.0*0.38**1809070.48*2331.0*0.0*14322600.0*False*8.1952*0.46*0.0*0.46*0.030000000000000002****False*T*2012
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2012 T4*2012-07-01*2012-12-31*MUY ALTO*0.42999999999999994*0.12000000000000002**1922507.4300000002*2428.0*0.0*16368443.0*False*9.0142*0.47*0.0*0.47*0.020000000000000004****False*T*2012
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2013*2013-01-01*2013-12-31*MUY ALTO*0.21000000000000002*0.14**1433985.125*2005.5*0.0*9660607.0*False*8.3597*1.89*0.0*1.89*0.1****False*Y*2013
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2013 T2*2013-01-01*2013-06-30*MUY ALTO*0.06*0.25**1682027.0200000003*2439.0*0.0*14243638.0*False*8.3182*0.4799999999999999*0.0*0.4799999999999999*0.030000000000000002****False*T*2013
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2014*2014-01-01*2014-12-31*6, en una escala del 1 al 7.*0.1*0.11**584595.06*623.0*0.0*5032362.0*False*8.8017*1.91*0.0*1.91*0.1****False*Y*2014
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2014 T2*2014-01-01*2014-06-30*6, en una escala del 1 al 7.*0.0*0.2**524129.1199999999*570.0*0.0*5211763.0*False*8.7235*0.48*0.0*0.48*0.030000000000000002****False*T*2014
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2014 T4*2014-07-01*2014-12-31*6, en una escala del 1 al 7.*0.38*0.0**528008.2700000001*540.0*0.0*5032362.0*False*8.8017*0.48*0.0*0.48*0.020000000000000004****False*T*2014
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2015 T2*2015-01-01*2015-06-30*6, en una escala del 1 al 7.*0.07000000000000003*-0.13**398081.70999999996*488.0*0.0*4363142.0*False*9.4476*0.47*0.0*0.47*0.030000000000000002****False*T*2015
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7.*0.095*0.005**256712.255*281.0*0.0*2077271.0*False*8.4835*1.91*0.0*1.91*0.1****False*Y*2016
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7.*-0.010000000000000009*0.01**227698.52999999997*275.0*0.0*2220451.0*False*8.2678*0.48*0.0*0.48*0.030000000000000002****False*T*2016
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7.*0.16*0.0**223425.91000000003*251.0*0.0*2077271.0*False*8.4835*0.48*0.0*0.48*0.020000000000000004****False*T*2016
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7.*0.005*-0.035**467862.04*248.5*0.0*4663025.0*False*9.987*1.9*0.0*1.9*0.1****False*Y*2017
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7.*0.0*-0.03**456708.07999999996*253.0*0.0*4441540.0*False*9.4739*0.47*0.0*0.47*0.030000000000000002****False*T*2017
MARCH NEW EMERGING WORLD, FI*MARCH NEW EMERGING WORLD F.I.*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7.*0.02*-0.05**468921.26999999996*235.0*0.0*4663025.0*False*9.987*0.48*0.0*0.48*0.020000000000000004****False*T*2017
