fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2016 T3*2016-07-01*2016-09-30*3, de una escala del 1 al 7*0.43*-0.85**28386946.950024*835*0.0*28824101*false*1.0154*0.17*0.11*0.28*0.02*0.68*1.1*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2016 S1*2016-01-01*2016-06-30*3, de una escala del 1 al 7*4.55*-0.69**23231317.703369*654*0.0*23428924*false*1.0085*0.35*0.0*0.35*0.04*0.28*2.03*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2016 T1*2016-01-01*2016-03-31*3, de una escala del 1 al 7*2.21*-0.6**17966399.374768*542*0.0*18068732*false*1.0057*0.17*0.0*0.17*0.02*0.44*2.19*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2015 S2*2015-07-01*2015-12-31*3, de una escala del 1 al 7*0.0*-0.22**9836211.917678*206*0.0*9849040*false*1.0013*0.17*0.0*0.17*0.02*0.0*1.85*0.3
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2017 S2*2017-07-01*2017-12-31*3, de una escala del 1 al 7*0.57*0.17**57553033.47272*1029*0.0*60838530*false*1.0571*0.36*0.14*0.5*0.04*0.76*1.37*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2017 T3*2017-07-01*2017-09-30*3, de una escala del 1 al 7*0.13*0.05**55300344.008457*1145*0.0*58015392*false*1.0491*0.18*0.07*0.25*0.02*0.84*1.36*0.17
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2017 S1*2017-01-01*2017-06-30*3, de una escala del 1 al 7*1.94*-0.6**51775182.653335*1050*0.0*53862099*false*1.0403*0.35*0.17*0.52*0.04*0.8*2.17*0.22
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2017 T1*2017-01-01*2017-03-31*3, de una escala del 1 al 7*1.32*-0.78**43813541.621317*903*0.0*45219304*false*1.0321*0.17*0.11*0.28*0.02*1.16*0.65*0.21
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2018 S 2*2018-07-01*2018-12-31*3*0.48*0.0**47631671.62*835*0.0*45410596*false*0.9534*0.77*[]*0.77*0.04*-8.38*5.24*0.87
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2018 S 2*2018-07-01*2018-12-31*3*0.48*0.0**10762.34*6*0.0*1017121*false*94.5075*0.18*[]*0.18*0.01*"[<iic-com:rentabilidadiic contextref=""FIM_S22018_II0004911_daq"" decimals=""2"" unitref=""pure"">-8.38</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22018_II0004911_daq"" decimals=""2"" unitref=""pure"">5.24</iic-com-fon:volatilidadvalorliquidativo>]"*0.21
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2018 S 2*2018-07-01*2018-12-31*3*0.48*0.0**520.7*2*0.0*49237*false*94.5589*0.11*[]*0.11*0.01*"[<iic-com:rentabilidadiic contextref=""FIM_S22018_II0004911_daq"" decimals=""2"" unitref=""pure"">-8.38</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22018_II0004911_daq"" decimals=""2"" unitref=""pure"">5.24</iic-com-fon:volatilidadvalorliquidativo>]"*0.14
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2018 T3*2018-07-01*2018-09-30*3, de una escala del 1 al 7*0.22*0.25**56358851.966445*965*0.0*58645378*false*1.0406*0.18*0.0*0.18*0.02*1.35*2.68*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2018 S1*2018-01-01*2018-06-30*3, de una escala del 1 al 7*1.31*0.25**64809578.785115*1098*0.0*66541127*false*1.0267*0.35*0.0*0.35*0.04*-2.16*4.03*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II FI*2018 T1*2018-01-01*2018-03-31*3, de una escala del 1 al 7*0.53*0.25**66271341.523848*1227*0.0*69543171*false*1.0494*0.17*0.0*0.17*0.02*-0.73*2.5*0.19
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2019 S 2*2019-07-01*2019-12-31*3*0.63*-0.4**44979921.7*641*0.0*46496765*false*1.0337*0.35*0.0*0.35*0.04*0.74*0.9*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2019 S 2*2019-07-01*2019-12-31*3*0.63*-0.4**61633.94*37*0.0*6290790*false*102.067*0.55*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_S22019_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.55*0.04*0.64*0.9*0.3
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2019 S 2*2019-07-01*2019-12-31*3*0.63*-0.4**64113.11*146*0.0*6576929*false*102.5832*0.33*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_S22019_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.33*0.04*0.76*0.9*0.18
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2019 T 3*2019-07-01*2019-09-30*3*0.27*-0.3**44403132.18*676*0.0*45561702*false*1.0261*0.18*0.0*0.18*0.02*1.25*0.97*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2019 T 3*2019-07-01*2019-09-30*3*0.27*-0.3**48002.24*29*0.0*4868184*false*101.4158*0.28*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_T32019_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.28*0.02*1.15*0.97*0.3
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2019 T 3*2019-07-01*2019-09-30*3*0.27*-0.3**57049.07*12*0.0*5808346*false*101.8131*0.16*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_T32019_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.16*0.02*1.27*0.97*0.19
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2019 S 1*2019-01-01*2019-06-30*3*2.25*-0.36**46345325.49*719*0.0*46966397*false*1.0134*0.35*[]*0.35*0.04*1.94*1.9*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2019 S 1*2019-01-01*2019-06-30*3*2.25*-0.36**50144.76*31*0.0*5027637*false*100.2624*0.54*[]*0.54*0.04*1.83*1.9*0.3
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2019 S 1*2019-01-01*2019-06-30*3*2.25*-0.36**51258.74*8*0.0*5153616*false*100.5412*0.32*[]*0.32*0.04*1.95*1.9*0.18
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2019 T 1*2019-01-01*2019-03-31*3*1.26*-0.09**47462662.21*757*0.0*47185576*false*0.9942*0.17*[]*0.17*0.02*4.28*2.91*0.19
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2019 T 1*2019-01-01*2019-03-31*3*1.26*-0.09**56511.88*25*0.0*5563998*false*98.4571*0.27*[]*0.27*0.02*4.18*2.92*0.29
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2019 T 1*2019-01-01*2019-03-31*3*1.26*-0.09**47388.26*7*0.0*4673439*false*98.6202*0.16*[]*0.16*0.02*4.29*2.92*0.18
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2020 S 2*2020-07-01*2020-12-31*4*1.56*-0.4**42727064.29*521*0.0*44095020*false*1.032*0.35*0.0*0.35*0.04*[]*[]*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2020 S 2*2020-07-01*2020-12-31*4*1.56*-0.4**67995.62*49*0.0*6900991*false*101.4917*0.55*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_S22020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.55*0.04*[]*[]*0.3
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2020 S 2*2020-07-01*2020-12-31*4*1.56*-0.4**61600.84*13*0.0*6311935*false*102.4651*0.33*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_S22020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.33*0.04*[]*[]*0.19
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2020 T 3*2020-07-01*2020-09-30*3*0.67*-0.4**43529303.42*547*0.0*43425387*false*0.9976*0.18*0.0*0.18*0.02*2.47*2.14*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2020 T 3*2020-07-01*2020-09-30*3*0.67*-0.4**76134.29*53*0.0*7476924*false*98.207*0.28*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_T32020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.28*0.02*2.36*2.14*0.3
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2020 T 3*2020-07-01*2020-09-30*3*0.67*-0.4**61122.37*13*0.0*6053367*false*99.0368*0.16*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_T32020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.16*0.02*2.48*2.14*0.19
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2020 S 1*2020-01-01*2020-06-30*3*2.76*-0.4**43993490.97*568*0.0*42832578*false*0.9736*0.35*0.0*0.35*0.03*5.86*6.54*0.19
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2020 S 1*2020-01-01*2020-06-30*3*2.76*-0.4**78410.19*54*0.0*7522733*false*95.9408*0.55*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_S12020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.55*0.03*5.75*6.54*0.29
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2020 S 1*2020-01-01*2020-06-30*3*2.76*-0.4**72917.13*255*0.0*7046860*false*96.642*0.32*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_S12020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.32*0.03*5.87*6.54*0.18
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE A*2020 T 1*2020-01-01*2020-03-31*3*0.89*-0.4**43267931.28*597*0.0*39795536*false*0.9197*0.17*0.0*0.17*0.02*-11.03*12.88*0.2
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE D*2020 T 1*2020-01-01*2020-03-31*3*0.89*-0.4**81070.43*51*0.0*7354954*false*90.723*0.27*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_T12020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.27*0.02*-11.11*12.88*0.29
ALTAIR PATRIMONIO II, FI*ALTAIR PATRIMONIO II CLASE L*2020 T 1*2020-01-01*2020-03-31*3*0.89*-0.4**86598.21*260*0.0*7905027*false*91.284*0.16*"[<iic-com:comisiongestioncobradaresultados contextref=""FIM_T12020_II0004911_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:comisiongestioncobradaresultados>]"*0.16*0.02*-11.01*12.88*0.18
