fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BANKIA INDEX ESPAÑA, FI*CMI IND.IBEX-35*2009 T3*2009-07-01*2009-09-30*Muy Alto*0.0*0.29**57744.59*199*0.0*7915052*false*137.0598***0.23*0.03***
BANKIA INDEX ESPAÑA, FI*M INDIC.IBEX-35*2009 S1*2009-01-01*2009-06-30*Muy Alto*0.0*1.09**48385.29*154*0.0*5478230*false*113.221***0.45*0.05*26.99*0.4*0.28
BANKIA INDEX ESPAÑA, FI*CMI IND.IBEX-35*2010 S2*2010-07-01*2010-12-31*ALTO*0.0*0.48**77496.69*348*0.0*9372651*false*120.9426***0.45*0.05*-4.72*21.98*0.27
BANKIA INDEX ESPAÑA, FI*CMI IND.IBEX-35*2010 T3*2010-07-01*2010-09-30*ALTO*0.0*0.39**71800.18*337*0.0*9113683*false*126.9312***0.23*0.03*14.12*29.98*0.26
BANKIA INDEX ESPAÑA, FI*CMI IND.IBEX-35*2010 S1*2010-01-01*2010-06-30*ALTO*0.0*0.3**73704.16*370*0.0*8197826*false*111.2261***0.45*0.05*-13.24*29.41*0.26
BANKIA INDEX ESPAÑA, FI*CMI IND.IBEX-35*2010 T1*2010-01-01*2010-03-31*ALTO*0.0*0.3**71849.8*316*0.0*9210857*false*128.196***0.22*0.02*-8.88*22.16*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2011 T3*2011-07-01*2011-09-30*MUY ALTO*0.0*0.97**84051.77*367*0.0*9096351*false*108.2232***0.23*0.03*-16.47*39.23*0.27
BANKIA INDEX ESPAÑA, FI*CMI IND.IBEX-35*2011 S1*2011-01-01*2011-06-30*MUY ALTO*0.0*0.82**75268.6*344*0.0*9751446*false*129.5553***0.45*0.05*-0.69*18.56*0.26
BANKIA INDEX ESPAÑA, FI*CMI IND.IBEX-35*2011 T1*2011-01-01*2011-03-31*ALTO*0.0*0.63**68005.38*310*0.0*8871370*false*130.451***0.22*0.02*7.86*21.23*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2012 S2*2012-07-01*2012-12-31*MUY ALTO*0.0*0.06**81003.67*355*0.0*8991561*false*111.0019*0.45*0.0*0.45*0.05*6.26*27.9*0.27
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2012 T3*2012-07-01*2012-09-30*MUY ALTO*0.0*0.1**70764.12*355*0.0*7392480*false*104.4665*0.23*0.0*0.23*0.03*10.31*30.5*0.27
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2012 S1*2012-01-01*2012-06-30*MUY ALTO*0.0*0.31**87310.19*398*0.0*8268825*false*94.7063*0.45*0.0*0.45*0.05*-8.74*31.6*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2012 T1*2012-01-01*2012-03-31*MUY ALTO*0.0*0.32**85304.97*382*0.0*8852839*false*103.7787*0.22*0.0*0.22*0.02*-5.82*28.42*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2013 T3*2013-07-01*2013-09-30*MUY ALTO*0.0*0.01**87868.61*410*0.0*11250293*false*128.0354*0.23*0.0*0.23*0.03*19.51*19.47*0.38
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2013 S1*2013-01-01*2013-06-30*MUY ALTO*0.0*0.01**110002.48*416*0.0*11784995*false*107.1339*0.45*0.0*0.45*0.05*-0.88*24.88*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2013 T1*2013-01-01*2013-03-31*MUY ALTO*0.0*0.01**106100.18*387*0.0*11467286*false*108.0798*0.22*0.0*0.22*0.02*-2.63*28.27*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2014 S2*2014-07-01*2014-12-31*7, en una escala del 1 al 7*0.0*0.0**203164.71*1171*0.0*30307096*false*149.175*0.45*0.0*0.45*0.05*-4.21*18.47*0.24
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2014 T3*2014-07-01*2014-09-30*7, en una escala del 1 al 7*0.0*0.01**155035.49*967*0.0*24143382*false*155.7281*0.23*0.0*0.23*0.03*-0.12*15.52*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2014 T1*2014-01-01*2014-03-31*7, en una escala del 1 al 7*0.0*0.01**133039.65*824*0.0*19496709*false*146.5481*0.22*0.0*0.22*0.02*4.92*17.49*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA INDICE IBEX*2013 S2*2013-07-01*2013-12-31*7, en una escala del 1 al 7*0.0*0.01**129588.73*599*0.0*18100694*false*139.678*0.45*0.0*0.45*0.05*9.09*18.67*0.27
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2015 T3*2015-07-01*2015-09-30*7, en una escala del 1 al 7*0.0*0.0**233250.65*1452*0.0*32831964*false*140.7583*0.23*0.0*0.23*0.03*-11.19*22.86*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2015 S1*2015-01-01*2015-06-30*7, en una escala del 1 al 7*0.0*0.01**202469.12*1249*0.0*32088784*false*158.4873*0.45*0.0*0.45*0.05***0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2015 T1*2015-01-01*2015-03-31*7, en una escala del 1 al 7*0.0*0.02**173985.79*1068*0.0*29186152*false*167.7502*0.22*0.0*0.22*0.02*12.45*18.84*0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2016 T3*2016-07-01*2016-09-30*6, en una escala del 1 al 7*0.0*0.0**264630.06*1652*0.0*35349866*false*133.5822*0.23*0.0*0.23*0.03*8.13*26.92*0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2016 S1*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**263226.63*1669*0.0*32517860*false*123.5356*0.45*0.0*0.45*0.05*-5.03*28.67*0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2016 T1*2016-01-01*2016-03-31*6, en una escala del 1 al 7*0.0*0.0**244143.3*1608*0.0*31757575*false*130.0776*0.22*0.0*0.22*0.02*-8.24*24.57*0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2015 S2*2015-07-01*2015-12-31*6, en una escala del 1 al 7*0.0*0.0**235056.07*1475*0.0*33319903*false*141.753*0.45*0.0*0.45*0.05*0.71*21.77*0.26
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2017 T3*2017-07-01*2017-09-30*6, en una escala del 1 al 7*0.0*0.0**259731.6*2109*0.0*42057092*false*161.9252*0.23*0.0*0.23*0.03*-0.37*12.91*0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2017 S1*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*0.0**232586.65*1863*0.0*37801819*false*162.5279*0.45*0.0*0.45*0.05*0.94*14.55*0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2017 T1*2017-01-01*2017-03-31*6, en una escala del 1 al 7*0.0*0.0**236954.78*1625*0.0*38154222*false*161.019*0.22*0.0*0.22*0.02*12.18*21.95*0.25
BANKIA INDEX ESPAÑA, FI*BANKIA ÿNDICE IBEX*2016 S2*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*0.0**245532.77*1619*0.0*35243111*false*143.5373*0.45*0.0*0.45*0.05*7.45*25.96*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2018 T 3*2018-07-01*2018-09-30*6, en una escala del 1 al 7*0.0*0.0**351518.06*2585*0.0*52878194*false*150.4281*0.23*0.0*0.23*0.03*-2.2*13.27*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2018 T 3*2018-07-01*2018-09-30*6, en una escala del 1 al 7*0.0*0.0**7215.42*15*0.0*653625*false*90.5872*0.09*0.0*0.09*0.03*-2.07*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-84245869_da"" decimals=""2"" unitref=""pure"">13.27</iic-com-fon:volatilidadvalorliquidativo>]"*0.11
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX INTERNA, FI*2018 T 3*2018-07-01*2018-09-30*6, en una escala del 1 al 7*0.0*0.0**1111299.76*5*0.0*108955718*false*98.0435*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32018_V-84245869_da"" decimals=""2"" unitref=""pure"">-2.20</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T32018_V-84245869_da"" decimals=""2"" unitref=""pure"">-2.07</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-84245869_da"" decimals=""2"" unitref=""pure"">13.27</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2018 S 1*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*0.0**333043.87*2548*0.0*51225245*false*153.8093*0.45*0.0*0.45*0.05*1.7*13.54*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2018 S 1*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*0.0**6764.36*12*0.0*625686*false*92.4974*0.16*0.0*0.16*0.04*1.84*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12018_V-84245869_daq"" decimals=""2"" unitref=""pure"">13.54</iic-com-fon:volatilidadvalorliquidativo>]"*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2018 T 1*2018-01-01*2018-03-31*6, en una escala del 1 al 7*0.0*0.0**364331.11*2693*0.0*55101218*false*151.2394*0.22*0.0*0.22*0.02*-4.22*13.54*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2018 T 1*2018-01-01*2018-03-31*6, en una escala del 1 al 7*0.0*0.0**5928.83*13*0.0*538516*false*90.8301*0.09*0.0*0.09*0.02*"[<iic-com:rentabilidadiic contextref=""FIM_T12018_V-84245869_da"" decimals=""2"" unitref=""pure"">-4.22</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12018_V-84245869_da"" decimals=""2"" unitref=""pure"">13.54</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T12018_V-84245869_da"" decimals=""2"" unitref=""pure"">0.25</iic-com:ratiototalgastos>]"
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2017 S 2*2017-07-01*2017-12-31*6, en una escala del 1 al 7*0.0*0.0**294155.76*2417*0.0*46449959*false*157.9094*0.45*0.0*0.45*0.05*-2.48*12.83*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2017 S 2*2017-07-01*2017-12-31*6, en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S22017_V-84245869_daq"" decimals=""2"" unitref=""pure"">-2.48</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22017_V-84245869_daq"" decimals=""2"" unitref=""pure"">12.83</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S22017_V-84245869_daq"" decimals=""2"" unitref=""pure"">0.25</iic-com:ratiototalgastos>]"
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2019 S 2*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.14**259198.51*2124*0.0*41240064*false*159.1061*0.45*0.0*0.45*0.05*4.3*12.74*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2019 S 2*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.14**3441.28*9*0.0*331969*false*96.4666*0.18*0.0*0.18*0.05*4.44*12.74*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX INTERNA, FI*2019 S 2*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.0*-0.14**400072.39*3*0.0*42011562*false*105.0099*0.0*0.0*0.0*0.0*4.57*12.74*0.0
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2019 T 3*2019-07-01*2019-09-30*6, en una escala del 1 al 7*0.0*0.0**333754.69*2479*0.0*50912142*false*152.5436*0.23*0.0*0.23*0.03*0.78*13.27*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2019 T 3*2019-07-01*2019-09-30*6, en una escala del 1 al 7*0.0*0.0**5041.2*10*0.0*465614*false*92.3618*0.09*0.0*0.09*0.03*0.91*13.27*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX INTERNA, FI*2019 T 3*2019-07-01*2019-09-30*6, en una escala del 1 al 7*0.0*0.0**400072.61*3*0.0*40177292*false*100.425*0.0*0.0*0.0*0.0*1.03*13.27*0.0
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2019 S 1*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.0*0.0**341794.53*2558*0.0*51737506*false*151.3702*0.45*0.0*0.45*0.05*1.01*11.14*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2019 S 1*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.0*0.0**4393.43*9*0.0*402109*false*91.525*0.18*0.0*0.18*0.05*1.15*11.13*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX INTERNA, FI*2019 S 1*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.0*0.0**400072.33*3*0.0*39767149*false*99.3999*0.0*0.0*0.0*0.0*1.27*11.13*0.0
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2019 T 1*2019-01-01*2019-03-31*6, en una escala del 1 al 7*0.0*0.0**355213.61*2604*0.0*53230251*false*149.8542*0.22*0.0*0.22*0.02*8.59*12.35*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2019 T 1*2019-01-01*2019-03-31*6, en una escala del 1 al 7*0.0*0.0**4393.43*9*0.0*397540*false*90.4851*0.09*0.0*0.09*0.02*8.74*12.35*0.11
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX INTERNA, FI*2019 T 1*2019-01-01*2019-03-31*6, en una escala del 1 al 7*0.0*0.0**400072.37*3*0.0*39270224*false*98.1578*0.0*0.0*0.0*0.0*8.86*12.35*0.0
