fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2009 S2*2009-07-01*2009-12-31*Intermedio Alto*4.11*0.26**107377.76*1128*0.0*7719645*false*71.8924***0.88*0.05*5.51*21.69*0.46*False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2009 T3*2009-07-01*2009-09-30*Alto*2.75*0.3**111552.04*1155*0.0*7486150*false*68.1382***0.44*0.03****False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2009 S1*2009-01-01*2009-06-30*Alto*7.68*0.77**113989.79*1184*0.0*6917573*false*60.6859***0.86*0.05*17.22*0.34*0.63*False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2010 S2*2010-07-01*2010-12-31*ALTO*0.65*0.31**98617.6*1016*0.0*7332357*false*74.3514***0.88*0.05*8.08*10.37*0.48*False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2010 T3*2010-07-01*2010-09-30*ALTO*0.25*0.23**104705.8*1083*0.0*7202785*false*68.7907***0.44*0.03*2.27*17.39*0.48*False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2010 S1*2010-01-01*2010-06-30*ALTO*0.78*0.21**106818.27*1121*0.0*7184746*false*67.2614***0.87*0.05*-8.79*17.17*0.48*False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2010 T1*2010-01-01*2010-03-31*ALTO*0.01*0.23**106945.09*1123*0.0*7886109*false*73.7398***0.43*0.02*2.57*16.39*0.48*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2011 T3*2011-07-01*2011-09-30*ALTO*0.0*0.84**87402.33*900*0.0*5271252*false*60.3102***0.44*0.03*-18.84*30.14*0.49*False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2011 S1*2011-01-01*2011-06-30*ALTO*0.18*0.35**96291.87*963*0.0*7155536*false*74.3109***0.87*0.05*-0.94*11.81*0.48*False
BANKIA RENTA VARIABLE GLOBAL, FI*CM BOLSA GLOBAL*2011 T1*2011-01-01*2011-03-31*ALTO*0.3*0.16**95793.18*971*0.0*7186260*false*75.0185***0.43*0.02*0.9*12.62*0.47*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2012 T3*2012-07-01*2012-09-30*ALTO*0.27*0.05**128067.37*1210*0.0*9530902*false*74.421*0.44*0.0*0.44*0.03***0.49*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2012 S1*2012-01-01*2012-06-30*ALTO*2.12*0.22**74800.93*780*0.0*5154741*false*68.9128*0.87*0.0*0.87*0.05*-5.8*22.46*0.48*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2012 T1*2012-01-01*2012-03-31*ALTO*1.56*0.23**83896.74*854*0.0*6137659*false*73.1573*0.43*0.0*0.43*0.02*8.92*21.7*0.48*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2011 S2*2011-07-01*2011-12-31*ALTO*0.19*0.82**85554.47*874*0.0*5746420*false*67.1668*0.88*0.0*0.88*0.05*11.37*21.84*0.49*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2013 T3*2013-07-01*2013-09-30*ALTO*1.28*0.01**108649.19*1056*0.0*9536052*false*87.7692*0.5*0.0*0.5*0.04*7.16*13.19*0.61*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2013 S1*2013-01-01*2013-06-30*ALTO*2.12*0.01**109942.95*1088*0.0*9004800*false*81.9043*0.99*0.0*0.99*0.07*0.74*13.9*0.56*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2013 T1*2013-01-01*2013-03-31*ALTO*1.1*0.01**113200.46*1126*0.0*9203730*false*81.3047*0.49*0.0*0.49*0.04*4.31*13.97*0.55*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2012 S2*2012-07-01*2012-12-31*6*1.22*0.04**123094.77*1174*0.0*9595102*false*77.9489*0.95*0.0*0.95*0.07*4.74*13.83*0.56*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2014 S2*2014-07-01*2014-12-31*6, en una escala del 1 al 7*1.66*0.01**208496.19*2397*0.0*20908144*false*100.2807*1.01*0.0*1.01*0.08*3.0*14.43*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2014 T3*2014-07-01*2014-09-30*6, en una escala del 1 al 7*0.6*0.01**214289.65*2450*0.0*20863198*false*97.3598*0.5*0.0*0.5*0.04*3.87*11.8*0.55*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2014 T1*2014-01-01*2014-03-31*6, en una escala del 1 al 7*1.41*0.01**114256.39*1094*0.0*10539055*false*92.2404*0.49*0.0*0.49*0.04*-2.32*13.41*0.54*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2013 S2*2013-07-01*2013-12-31*6, en una escala del 1 al 7*2.64*0.01**110416.97*1089*0.0*10427083*false*94.4337*1.01*0.0*1.01*0.08*7.59*13.04*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2015 T3*2015-07-01*2015-09-30*6, en una escala del 1 al 7*0.46*0.0**253768.04*2675*0.0*25482270*false*100.4156*0.5*0.0*0.5*0.04*-9.71*19.97*0.56*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2015 S1*2015-01-01*2015-06-30*6, en una escala del 1 al 7*2.36*0.0**244844.47*2621*0.0*27230182*false*111.2142*0.98*0.0*0.98*0.07*-4.36*16.37*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2015 T1*2015-01-01*2015-03-31*6, en una escala del 1 al 7*2.02*0.0**229990.5*2526*0.0*26744399*false*116.2848*0.49*0.0*0.49*0.04*15.96*14.93*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2016 T3*2016-07-01*2016-09-30*6, en una escala del 1 al 7*4.42*0.0**352694.37*3949*0.0*34136547*false*96.7879*0.5*0.0*0.5*0.04*2.67*18.47*0.54*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2016 S1*2016-01-01*2016-06-30*6, en una escala del 1 al 7*9.37*0.0**258676.13*2786*0.0*24385011*false*94.2685*0.99*0.0*0.99*0.07*-1.39*21.75*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2016 T1*2016-01-01*2016-03-31*6, en una escala del 1 al 7*3.32*0.0**260137.26*2774*0.0*24869564*false*95.6017*0.49*0.0*0.49*0.04*-9.32*21.15*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2015 S2*2015-07-01*2015-12-31*6, en una escala del 1 al 7*2.57*0.0**267137.27*2814*0.0*28165084*false*105.433*1.0*0.0*1.0*0.08*5.0*19.51*0.54*False
BANKIA RENTA VARIABLE GLOBAL, FI*C. UNIVERSAL BANKIA RENTA VARIABLE GLOBAL, FI*2017 T3*2017-07-01*2017-09-30*5, en una escala del 1 al 7*1.14*0.0**679545.75*8210*0.0*70899047*false*104.333*0.5*0.0*0.5*0.04*[]*[]*0.54*True
BANKIA RENTA VARIABLE GLOBAL, FI*C. CARTERA  BANKIA RENTA VARIABLE GLOBAL, F.I*2017 T3*2017-07-01*2017-09-30*5, en una escala del 1 al 7*1.14*0.0**2939.01*8*0.0*302496*false*102.9247*0.24*0.0*0.24*0.02*[]*[]*"[<iic-com:ratiototalgastos contextref=""FIM_T32017_V-82809443_da"" decimals=""2"" unitref=""pure"">0.54</iic-com:ratiototalgastos>]"*True
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2017 S1*2017-01-01*2017-06-30*6, en una escala del 1 al 7*5.18*0.0**661651.68*7822*0.0*68418422*false*103.4055*0.98*0.0*0.98*0.07*-2.5*9.89*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2017 T1*2017-01-01*2017-03-31*6, en una escala del 1 al 7*5.64*0.0**553562.04*6275*0.0*58706251*false*106.0518*0.49*0.0*0.49*0.04*2.58*13.38*0.53*False
BANKIA RENTA VARIABLE GLOBAL, FI*BANKIA BOLSA MUNDIAL*2016 S2*2016-07-01*2016-12-31*6, en una escala del 1 al 7*10.46*0.0**433947.06*4960*0.0*44861360*false*103.3798*1.0*0.0*1.0*0.08*6.81*17.03*0.54*False
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2018 T3*2018-07-01*2018-09-30*5, en una escala del 1 al 7*0.38*0.0**2604161.5*50601*0.0*273365083*false*104.9724*0.2*0.0*0.2*0.03*0.7*8.12*0.35*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2018 T3*2018-07-01*2018-09-30*5, en una escala del 1 al 7*0.38*0.0**694724.06*7694*0.0*73041690*false*105.1377*0.5*0.0*0.5*0.04*0.39*8.13*0.66*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2018 S1*2018-01-01*2018-06-30*5, en una escala del 1 al 7*0.42*0.0**2010965.62*40658*0.0*209619034*false*104.238*0.39*0.0*0.39*0.05*2.6*[]*0.34*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2018 S1*2018-01-01*2018-06-30*5, en una escala del 1 al 7*0.42*0.0**715133.22*7983*0.0*74897118*false*104.7317*0.99*0.0*0.99*0.07*2.28*[]*0.64*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2018 T1*2018-01-01*2018-03-31*5, en una escala del 1 al 7*0.07*0.0**283178.93*6486*0.0*28769167*false*101.5936*0.19*0.0*0.19*0.02*-3.06*[]*0.35*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2018 T1*2018-01-01*2018-03-31*5, en una escala del 1 al 7*0.07*0.0**813916.01*9298*0.0*83339627*false*102.3934*0.49*0.0*0.49*0.04*-3.36*[]*0.66*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2017 S2*2017-07-01*2017-12-31*5, en una escala del 1 al 7*2.23*0.0**23125.29*745*0.0*2423482*false*104.7979*0.47*0.0*0.47*0.05*1.82*[]*0.43*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2017 S2*2017-07-01*2017-12-31*5, en una escala del 1 al 7*2.23*0.0**780803.26*9340*0.0*82725325*false*105.949*1.01*0.0*1.01*0.08*1.55*[]*0.68*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2019 S2*2019-07-01*2019-12-31*5, en una escala del 1 al 7*0.0*-0.15**7145256.57*77521*0.0*826484682*false*115.669*0.4*0.0*0.4*0.05*5.94*8.65*0.36*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2019 S2*2019-07-01*2019-12-31*5, en una escala del 1 al 7*0.0*-0.15**662229.8*7017*0.0*75530090*false*114.0542*1.01*0.0*1.01*0.08*5.61*8.65*0.67*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2019 T3*2019-07-01*2019-09-30*5, en una escala del 1 al 7*0.0*0.0**4457342.54*64800*0.0*486650875*false*109.1796*0.2*0.0*0.2*0.03*2.05*11.04*0.36*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2019 T3*2019-07-01*2019-09-30*5, en una escala del 1 al 7*0.0*0.0**673724.83*7201*0.0*72758980*false*107.9951*0.5*0.0*0.5*0.04*1.72*11.04*0.67*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2019 S1*2019-01-01*2019-06-30*5, en una escala del 1 al 7*0.41*0.0**3480780.5*58846*0.0*372412535*false*106.9911*0.4*0.0*0.4*0.05*2.59*9.13*0.35*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2019 S1*2019-01-01*2019-06-30*5, en una escala del 1 al 7*0.41*0.0**682941.07*7362*0.0*72503960*false*106.1643*0.99*0.0*0.99*0.07*2.27*9.13*0.66*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2019 T1*2019-01-01*2019-03-31*5, en una escala del 1 al 7*0.59*0.0**3096972.37*54926*0.0*322996875*false*104.2944*0.2*0.0*0.2*0.02*13.3*10.49*0.34*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2019 T1*2019-01-01*2019-03-31*5, en una escala del 1 al 7*0.59*0.0**686400.42*7468*0.0*71254884*false*103.8095*0.49*0.0*0.49*0.04*12.95*10.49*0.65*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2020 S2*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.22*-0.06**8412069.36*88777*0.0*1056945390*false*125.6463*0.4*0.0*0.4*0.05*10.06*12.43*0.35*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL UNIVERSAL, FI*2020 S2*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.22*-0.06**684972.14*7143*0.0*83809493*false*122.3546*1.01*0.0*1.01*0.08*9.71*12.43*0.67*True
BANKIA RENTA VARIABLE GLOBAL, FI*PT. BANKIA RENTA VARIABLE GLOBAL CARTERA, F.I*2020 T3*2020-07-01*2020-09-30*6, en una escala del 1 al 7*0.01*-0.07**7988857.25*85142*0.0*912030312*false*114.1628*0.2*0.0*0.2*0.03*4.8*12.6*0.36*True
