fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO, FI*2016 S2*2016-07-01*2016-12-31*5, en una escala del 1 al 7.*0.0*0.13**3000.0*1*0.0*295162*false*98.3872*0.25*0.0*0.25*0.04*-0.5*0.19*0.43
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO, FI*2016 T3*2016-07-01*2016-09-30*5, en una escala del 1 al 7.*0.0*0.15**3000.0*1*0.0*296635*false*98.8784*0.1*0.0*0.1*0.02***1.16
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO FI CLASE B*2017 T 3*2017-07-01*2017-09-30*5, en una escala del 1 al 7.*0.15*0.05**775522.22*83*0.0*78938167*false*101.7871*0.15*0.0*0.15*0.03*2.2*5.13*0.18
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO FI CLASE A*2017 T 3*2017-07-01*2017-09-30*5, en una escala del 1 al 7.*0.15*0.05**0.0*1*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32017_V-87597753_da"" decimals=""2"" unitref=""pure"">2.20</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32017_V-87597753_da"" decimals=""2"" unitref=""pure"">5.13</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO, FI*2017 S1*2017-01-01*2017-06-30*5, en una escala del 1 al 7.*0.56*0.1**723389.02*75*0.0*72046281*false*99.5955*0.3*0.0*0.3*0.05*-0.89*5.25*0.18
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO, FI*2017 T1*2017-01-01*2017-03-31*5, en una escala del 1 al 7.*0.0*0.1**617681.05*65*0.0*62073504*false*100.4944*0.15*0.0*0.15*0.02*2.14*5.17*0.18
BANKINTER PREMIUM DINAMICO, FI*CLASE B*2018 S 2*2018-07-01*2018-12-31*5, en una escala del 1 al 7.*0.13*-0.04**1502797.16*167*0.0*142367711*false*94.7351*0.3*0.0*0.3*0.05*-8.36*9.69*0.18
BANKINTER PREMIUM DINAMICO, FI*CLASE A*2018 S 2*2018-07-01*2018-12-31*5, en una escala del 1 al 7.*0.13*-0.04**306658.43*344*0.0*28166325*false*91.8492*0.63*0.0*0.63*0.05*-8.56*9.68*0.34
BANKINTER PREMIUM DINAMICO, FI*CLASE B*2018 T 3*2018-07-01*2018-09-30*5, en una escala del 1 al 7*0.0*-0.05**1487128.44*161*0.0*153735034*false*103.3771*0.15*0.0*0.15*0.03*1.87*4.83*0.18
BANKINTER PREMIUM DINAMICO, FI*CLASE A*2018 T 3*2018-07-01*2018-09-30*5, en una escala del 1 al 7*0.0*-0.05**300934.01*338*0.0*30228655*false*100.4494*0.31*0.0*0.31*0.03*1.68*4.83*0.35
BANKINTER PREMIUM DINAMICO, FI*CLASE B*2018 S 1*2018-01-01*2018-06-30*5, en una escala del 1 al 7.*0.21*-0.06**1205953.89*141*0.0*122375283*false*101.4759*0.3*0.0*0.3*0.05*0.51*6.15*0.18
BANKINTER PREMIUM DINAMICO, FI*CLASE A*2018 S 1*2018-01-01*2018-06-30*5, en una escala del 1 al 7.*0.21*-0.06**257218.96*295*0.0*25409648*false*98.7861*0.62*0.0*0.62*0.05*0.29*6.14*0.34
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO FI CLASE B*2018 T 1*2018-01-01*2018-03-31*5, en una escala del 1 al 7.*0.03*0.0**1183064.22*132*0.0*119442432*false*100.9602*0.15*0.0*0.15*0.02*-1.96*8.42*0.18
BANKINTER PREMIUM DINAMICO, FI*BANKINTER PREMIUM DINAMICO FI CLASE A*2018 T 1*2018-01-01*2018-03-31*5, en una escala del 1 al 7.*0.03*0.0**216928.36*250*0.0*21368196*false*98.5035*0.31*0.0*0.31*0.02*-2.13*8.42*0.33
