fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Semester 2 2009*2009-07-01*2009-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*ALTO*0.17*0.36**706569.92*1447*0.0*4728148*false*6.6917***0.55*0.08*4.73*7.83*0.34*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Trimester 3 2009*2009-07-01*2009-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*ALTO*0.16*0.36**367746.07*1265*0.0*2349648*false*6.3893***0.27*0.04*15.34*11.03*0.36*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Semester 1 2009*2009-01-01*2009-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*ALTO*2.24*0.97**191084.53*1245*0.0*1058544*false*5.5397***0.54*0.07*18.37*11.35*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Semester 2 2010*2010-07-01*2010-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*Alto*0.41*0.54**3545974.08*2158*0.0*26279896*false*7.4112***0.55*0.07*1.32*4.07*0.32*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Trimester 3 2010*2010-07-01*2010-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*Alto*0.25*0.46**1287519.75*1788*0.0*9418092*false*7.3149***0.28*0.04*6.18*4.44*0.32*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Semester 1 2010*2010-01-01*2010-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*Alto*0.87*0.32**944916.46*1639*0.0*6509821*false*6.8893***0.55*0.07*-1.61*5.33*0.32*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Trimester 1 2010*2010-01-01*2010-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*ALTO*0.71*0.31**989771.83*1617*0.0*6930641*false*7.0023***0.27*0.04*4.64*6.67*0.32*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2011*2011-07-01*2011-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A+*Medio/Alto*0.38*0.88**5194920.44*2597*0.0*36681609*false*7.0611*[]*[]*0.28*0.04*[]*[]*0.33*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2011*2011-07-01*2011-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A+*Medio/Alto*0.38*0.88**21863.56*3*0.0*131181*false*6.0*[]*[]*0.0*0.0*[]*[]*0.0*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2011*2011-07-01*2011-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A+*Medio/Alto*0.38*0.88**333.33*1*0.0*2000*false*6.0*[]*[]*0.0*0.0*[]*[]*0.0*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Semester 1 2011*2011-01-01*2011-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A+*Medio/Alto*0.75*0.87**7460040.15*2955*0.0*57353252*false*7.6881***0.54*0.07*-0.34*2.79*0.38*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Trimester 1 2011*2011-01-01*2011-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A+*Alto*0.22*0.7**7160007.9*2761*0.0*55235968*false*7.7145***0.27*0.04*4.09*3.45*0.31*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA 125 RENTA FIJA HIGH YIELD, FI*63738215*Semester 2 2010*2010-07-01*2010-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*Aa2 (Moody&apos;s)*Alto*0.41*0.54**3545974.08*2158*0.0*26279896*false*7.4112***0.55*0.07*1.32*4.07*0.32*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2012*2012-07-01*2012-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Medio/Alto*0.29*0.12**3167028.11*2116*0.0*25685457*false*8.1103*0.36*0.0*0.36*0.04*4.01*2.23*0.57*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2012*2012-07-01*2012-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Medio/Alto*0.29*0.12**724220.21*56*0.0*5015925*false*6.926*0.25*0.0*0.25*0.03*4.14*2.23*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2012*2012-07-01*2012-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Medio/Alto*0.29*0.12**305422.71*7*0.0*2125955*false*6.9607*0.14*0.0*0.14*0.01*4.27*2.23*0.34*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 1 2012*2012-01-01*2012-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Medio/Alto*0.26*0.32**3410080.22*2176*0.0*26590328*false*7.7976*0.72*0.0*0.72*0.07*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 1 2012*2012-01-01*2012-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Medio/Alto*0.26*0.32**620990.14*42*0.0*4129991*false*6.6507*0.49*0.0*0.49*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 1 2012*2012-01-01*2012-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Medio/Alto*0.26*0.32**196032.5*4*0.0*1308651*false*6.6757*0.27*0.0*0.27*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 1 2012*2012-01-01*2012-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio/Alto*0.32*0.37**3665800.1*2232*0.0*28527388*false*7.782*0.36*0.0*0.36*0.04*5.59*[]*0.49*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 1 2012*2012-01-01*2012-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio/Alto*0.32*0.37**418409.88*31*0.0*2773715*false*6.6292*0.25*0.0*0.25*0.02*5.72*[]*0.37*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 1 2012*2012-01-01*2012-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio/Alto*0.32*0.37**196032.5*4*0.0*1302807*false*6.6459*0.14*0.0*0.14*0.01*5.85*[]*0.24*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2011*2011-07-01*2011-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio/Alto*0.51*0.82**3886348.25*2295*0.0*28642611*false*7.3701*0.63*0.0*0.63*0.08*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2011*2011-07-01*2011-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio/Alto*0.51*0.82**150400.36*13*0.0*943082*false*6.2705*0.31*0.0*0.31*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2011*2011-07-01*2011-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio/Alto*0.51*0.82**196032.5*4*0.0*1230774*false*6.2784*0.18*0.0*0.18*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2013*2013-07-01*2013-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.09**1354585.14*1942*0.0*12056077*false*8.9002*0.74*0.0*0.74*0.08*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2013*2013-07-01*2013-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.09**1186681.34*99*0.0*9075171*false*7.6475*0.5*0.0*0.5*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2013*2013-07-01*2013-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.09**163421.51*4*0.0*1263883*false*7.7339*0.28*0.0*0.28*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
