fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 2 2015*2015-07-01*2015-12-31*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.47*0.0**100326.73*62*0.0*853487*false*8.5071*1.0*0.0*1.0*0.05*-0.74*17.85*1.38*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 3 2015*2015-07-01*2015-09-30*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.57*0.0**45364.57*34*0.0*388803*false*8.5706*0.5*0.0*0.5*0.03*-14.13*22.46*1.15*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 1 2015*2015-01-01*2015-06-30*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.0*0.0**30000.0*1*0.0*299422*false*9.9807*0.06*0.0*0.06*0.0***0.16*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 2 2016*2016-07-01*2016-12-31*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*1.18*0.0**358280.96*106*0.0*3139747*false*8.7634*1.0*0.0*1.0*0.05*-0.89*14.16*0.83*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 3 2016*2016-07-01*2016-09-30*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.28*0.0**233749.48*82*0.0*2066880*false*8.8423*0.5*0.0*0.5*0.03*6.04*11.63*0.88*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 1 2016*2016-01-01*2016-06-30*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.8*0.0**230088.96*76*0.0*1918685*false*8.3389*0.99*0.0*0.99*0.05*2.63*14.43*0.91*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 1 2016*2016-01-01*2016-03-31*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.91*0.0**168926.1*69*0.0*1372518*false*8.125*0.5*0.0*0.5*0.02*-4.49*21.63*1.03*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 2 2017*2017-07-01*2017-12-31*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7,*0.51*0.0**456973.02*228*0.0*4618327*false*10.1063*1.01*0.0*1.01*0.04*4.38*11.27*0.71*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 3 2017*2017-07-01*2017-09-30*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7,*0.14*0.0**426382.34*189*0.0*4128187*false*9.6819*0.5*0.0*0.5*0.02*2.53*10.93*0.7*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 1 2017*2017-01-01*2017-06-30*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.13*0.0**417863.41*179*0.0*3945917*false*9.4431*0.99*0.0*0.99*0.04*-1.93*11.15*0.69*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 1 2017*2017-01-01*2017-03-31*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.09*0.0**386227.23*154*0.0*3719085*false*9.6293*0.49*0.0*0.49*0.02*9.88*10.94*0.68*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
