fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
COBAS GRANDES COMPAÑIAS, FI*COBAS GRANDES COMPAÑIAS FI*2017 T3*2017-07-01*2017-09-30*7 en una escala de 1 a 7*0.51*0.0**174796.1*599*0.0*17253480*false*98.7063*0.25*0.0*0.25*0.01*2.29*10.46*0.27
COBAS GRANDES COMPAÑIAS, FI*COBAS GRANDES COMPAÑIAS FI*2017 S1*2017-01-01*2017-06-30*7 en una escala de 1 a 7*0.75*0.0**146912.98*501*0.0*14176932*false*96.4988*0.31*0.0*0.31*0.01*-3.5*10.66*0.31
COBAS GRANDES COMPAÑIAS, FI*COBAS GRANDES COMPAÑIAS FI*2017 T1*2017-01-01*2017-03-31*7 en una escala de 1 a 7*0.0*0.0**69521.98*142*0.0*6951992*false*99.997*0.0*0.0*0.0*0.0***0.0
COBAS GRANDES COMPAÑIAS, FI*COBAS GRANDES COMPAÑIAS FI*2018 S2*2018-07-01*2018-12-31*7 en una escala de 1 a 7*0.3*-0.26**257365.86*1086*0.0*18827100*false*73.1531*0.5*0.0*0.5*0.02*-23.87*19.72*0.27
COBAS GRANDES COMPAÑIAS, FI*COBAS GRANDES COMPAÑIAS FI*2018 T3*2018-07-01*2018-09-30*7 en una escala de 1 a 7*0.13*0.0**252901.25*1038*0.0*24302589*false*96.0952*0.25*0.0*0.25*0.01*-1.95*10.89*0.27
COBAS GRANDES COMPAÑIAS, FI*COBAS GRANDES COMPAÑIAS FI*2018 S1*2018-01-01*2018-06-30*7 en una escala de 1 a 7*0.69*0.0**238735.29*963*0.0*23397950*false*98.0079*0.5*0.0*0.5*0.02*-0.47*13.54*0.26
COBAS GRANDES COMPAÑIAS, FI*COBAS GRANDES COMPAÑIAS FI*2018 T1*2018-01-01*2018-03-31*7 en una escala de 1 a 7*0.29*0.0**223006.73*840*0.0*21959193*false*98.4687*0.25*0.0*0.25*0.01*-6.94*15.11*0.26
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI*2019 T3*2019-07-01*2019-09-30*7 en una escala de 1 a 7*0.23*-0.1**257375.09*1138*0.0*18864929*false*73.2974*0.25*0.0*0.25*0.01*-3.03*18.44*0.27
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI*2019 S1*2019-01-01*2019-06-30*7 en una escala de 1 a 7*0.36*-0.01**257567.96*1139*0.0*19468805*false*75.5871*0.5*0.0*0.5*0.02*-5.3*17.03*0.26
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI*2019 T1*2019-01-01*2019-03-31*7 en una escala de 1 a 7*0.21*0.0**263812.22*1142*0.0*21057023*false*79.8182*0.25*0.0*0.25*0.01*9.11*15.9*0.26
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI - Clase A*2020 S 2*2020-07-01*2020-12-31*7 en una escala de 1 a 7*0.31*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*34.46*24.71*0.0
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI - Clase B*2020 S 2*2020-07-01*2020-12-31*7 en una escala de 1 a 7*0.31*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S22020_V-87758249_daq"" decimals=""2"" unitref=""pure"">34.46</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22020_V-87758249_daq"" decimals=""2"" unitref=""pure"">24.71</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI - Clase C*2020 S 2*2020-07-01*2020-12-31*7 en una escala de 1 a 7*0.31*0.0**238042.56*1112*0.0*15898292*false*66.7876*0.5*0.0*0.5*0.02*"[<iic-com:rentabilidadiic contextref=""FIM_S22020_V-87758249_daq"" decimals=""2"" unitref=""pure"">34.46</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22020_V-87758249_daq"" decimals=""2"" unitref=""pure"">24.71</iic-com-fon:volatilidadvalorliquidativo>]"*1.06
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI - Clase D*2020 S 2*2020-07-01*2020-12-31*7 en una escala de 1 a 7*0.31*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S22020_V-87758249_daq"" decimals=""2"" unitref=""pure"">34.46</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22020_V-87758249_daq"" decimals=""2"" unitref=""pure"">24.71</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI*2020 T3*2020-07-01*2020-09-30*7 en una escala de 1 a 7*0.05*0.0**235341.47*1110*0.0*11689688*false*49.6712*0.25*0.0*0.25*0.01*-3.62*23.5*0.27
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI*2020 S1*2020-01-01*2020-06-30*7 en una escala de 1 a 7*0.34*-0.05**240489.89*1124*0.0*12394525*false*51.5387*0.5*0.0*0.5*0.02*10.8*43.06*0.27
COBAS GRANDES COMPAÑIAS, FI*Cobas Grandes Compañías, FI*2020 T1*2020-01-01*2020-03-31*7 en una escala de 1 a 7*0.22*-0.11**243130.15*1115*0.0*11309221*false*46.5151*0.25*0.0*0.25*0.01*-42.68*53.66*0.26
