fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 2 2014*2014-07-01*2014-12-31*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.41**12779675.83*3084*0.0*133743411*false*10.4653*0.13**0.13*0.03*1.48*4.08*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 3 2014*2014-07-01*2014-09-30*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.47**12870037.54*3112*0.0*132724824*false*10.3127*0.06**0.06*0.01*1.93*3.66*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 1 2014*2014-01-01*2014-06-30*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.19**12932107.11*3129*0.0*130839373*false*10.1174*0.08**0.08*0.02***0.07*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 2 2015*2015-07-01*2015-12-31*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.05**11339199.71*2926*0.0*121189313*false*10.6876*0.13**0.13*0.03*1.36*3.32*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 3 2015*2015-07-01*2015-09-30*4741*DWS.ES@DB.COM*Aa3*4*0.01*0.09**12114293.69*2976*0.0*127731765*false*10.5439*0.06**0.06*0.01*-0.14*3.88*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 1 2015*2015-01-01*2015-06-30*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.19**12369166.17*3022*0.0*130598734*false*10.5584*0.12**0.12*0.02*-3.81*4.56*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 1 2015*2015-01-01*2015-03-31*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.28**12647977.16*3052*0.0*138831142*false*10.9765*0.06**0.06*0.01*4.88*4.07*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 3 2016*2016-07-01*2016-09-30*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.0**10086215.59*2648*0.0*111253541*false*11.0303*0.06**0.06*0.01*1.9*3.08*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 1 2016*2016-01-01*2016-06-30*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.0**10390533.9*2714*0.0*112472042*false*10.8245*0.12**0.12*0.02*0.6*3.21*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 1 2016*2016-01-01*2016-03-31*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.0**10825409.06*2790*0.0*116477145*false*10.7596*0.06**0.06*0.01*0.67*2.8*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 2 2015*2015-07-01*2015-12-31*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.05**11339199.71*2926*0.0*121189313*false*10.6876*0.13**0.13*0.03*1.36*3.32*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
