fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Semester 2 2016*2016-07-01*2016-12-31*4951*atencionalcliente@bancoalcala.com*NA*6 en una escala de 1 a 7*0.31*0.0**654032.46*34*0.0*6512847*false*9.958*0.68*0.09*0.77*0.05*1.02*2.38*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Trimester 3 2016*2016-07-01*2016-09-30*4951*atencionalcliente@bancoalcala.com*NA*6 en una escala de 1 a 7*0.1*0.04**598903.18*24*0.0*5903711*false*9.8575*0.34*0.0*0.34*0.03*0.14*2.38*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Semester 1 2016*2016-01-01*2016-06-30*4951*gesalcala@bancoalcala.com*NA*6 en una escala de 1 a 7*0.0*0.0**477139.64*19*0.0*4696777*false*9.8436*0.53*0.04*0.57*0.04*-0.35*2.35*0.4*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Trimester 1 2016*2016-01-01*2016-03-31*4951*gesalcala@bancoalcala.com*NA*6 en una escala de 1 a 7*0.0*0.0**30000.0*1*0.0*296346*false*9.8782*0.18**0.18*0.01***1.22*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Semester 2 2017*2017-07-01*2017-12-31*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.76*-2.61**823459.55*99*0.0*8014376*false*9.7326*0.68**0.68*0.05*-0.08*1.91*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Trimester 3 2017*2017-07-01*2017-09-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.22*-2.74**838600.18*101*0.0*8167940*false*9.74*0.34**0.34*0.03*0.88*1.97*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Semester 1 2017*2017-01-01*2017-06-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.22*-3.46**861957.17*65*0.0*8322567*false*9.6554*0.67**0.67*0.05***0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Trimester 1 2017*2017-01-01*2017-03-31*4951*atencionalcliente@bancoalcala.com*NA*3 en una escala de 1 a 7*0.01*-2.66**879485.1*39*0.0*8584130*false*9.7604*0.33**0.33*0.02*-1.98*2.68*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Semester 2 2018*2018-07-01*2018-12-31*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*2.51*-0.16**770117.24*105*0.0*6479108*false*8.4131*0.68*0.0*0.68*0.05*-9.28*7.97*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Trimester 3 2018*2018-07-01*2018-09-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*1.31*-0.33**815986.79*109*0.0*7566919*false*9.2733*0.34*0.0*0.34*0.03***0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Semester 1 2018*2018-01-01*2018-06-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.82*-2.37**869089.61*101*0.0*7937001*false*9.1325*0.67*0.0*0.67*0.05*-3.5*4.91*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL TOTAL RETURN, FI*87457909*Trimester 1 2018*2018-01-01*2018-03-31*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.19*-2.9**869103.84*97*0.0*8225155*false*9.464*0.33*0.0*0.33*0.02*-2.76*4.11*0.37*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Semester 2 2019*2019-07-01*2019-12-31*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.88*-1.49**963379.14*97*0.0*9258224*false*9.6102*0.68*0.0*0.68*0.05*4.39*5.69*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Trimester 3 2019*2019-07-01*2019-09-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.37*-1.35**750339.38*98*0.0*6907412*false*9.2057*0.34*0.0*0.34*0.03*1.29*6.95*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Semester 1 2019*2019-01-01*2019-06-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*1.91*-0.48**765892.67*102*0.0*6960860*false*9.0886*0.67*0.0*0.67*0.05*2.75*6.07*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Trimester 1 2019*2019-01-01*2019-03-31*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*1.17*-0.36**766943.97*102*0.0*6783918*false*8.8454*0.33*0.0*0.33*0.02*5.14*4.76*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Semester 2 2020*2020-07-01*2020-12-31*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*1.9*-0.03**889440.53*98*0.0*8798553*false*9.8922*0.68*0.08*0.76*0.05*7.86*8.42*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Trimester 3 2020*2020-07-01*2020-09-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*0.7*-0.04**889442.59*100*0.0*8157491*false*9.1715*0.34*0.0*0.34*0.03*4.76*7.83*0.4*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Semester 1 2020*2020-01-01*2020-06-30*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*2.0*-0.58**889284.52*92*0.0*7785589*false*8.7549*0.67*0.0*0.67*0.05*13.46*12.21*0.4*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
DIAGONAL MIXTO FLEXIBLE, FI*DIAGONAL MIXTO FLEXIBLE, FI*87457909*Trimester 1 2020*2020-01-01*2020-03-31*4951*gesalcala@bancoalcala.com*NA*3 en una escala de 1 a 7*1.06*-1.15**889284.52*92*0.0*6861751*false*7.716*0.34*0.0*0.34*0.02*-19.71*27.23*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0113326005
