fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2009 S2*2009-07-01*2009-12-31*Medio-Bajo*0.0*0.26**7609348.76*621*0.0*114974742*false*15.1097***0.5*0.05*1.43*0.92*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2009 T3*2009-07-01*2009-09-30*Medio-Bajo*0.0*0.25**5752915.38*544*0.0*85696405*false*14.8962***0.25*0.03*3.11*0.78*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2009 S1*2009-01-01*2009-06-30*Medio-Bajo*0.41*0.95**4040252.37*443*0.0*58367738*false*14.4466***0.49*0.05*4.26*0.89*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2010 S2*2010-07-01*2010-12-31*Medio-Bajo*0.77*0.32**6111593.4*604*0.0*94245183*false*15.4207***0.5*0.05*-1.67*1.08*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2010 T3*2010-07-01*2010-09-30*Medio-Bajo*0.41*0.28**6704914.26*626*0.0*105148207*false*15.6823***0.25*0.03*3.63*0.95*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2010 S1*2010-01-01*2010-06-30*Medio-Bajo*0.84*0.26**7157061.26*641*0.0*108309063*false*15.1332***0.5*0.05*-1.71*1.24*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2010 T1*2010-01-01*2010-03-31*Medio-Bajo*0.5*0.23**7869673.94*653*0.0*121161619*false*15.396***0.25*0.02*1.9*0.79*0.27
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2011 T3*2011-07-01*2011-09-30*Medio-Bajo*0.19*0.81**5541540.73*584*0.0*85568920*false*15.4414***0.25*0.03*-2.72*1.24*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2011 S1*2011-01-01*2011-06-30*Medio-Bajo*0.5*0.67**5863190.3*604*0.0*93064938*false*15.8727***0.5*0.05*0.74*0.62*0.28
DP RENTA FIJA FI*PRIVAT RENTA F.I.*2011 T1*2011-01-01*2011-03-31*Medio-Bajo*0.08*0.49**5851634.05*616*0.0*92195201*false*15.7555***0.25*0.02*2.17*1.11*0.27
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2012 S2*2012-07-01*2012-12-31*4 en una escala del 1 al 7*0.28*0.05**2546710.42*356*0.0*42198267*false*16.5697*0.5*0.0*0.5*0.05***0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2012 T3*2012-07-01*2012-09-30*Medio-Bajo*0.0*0.06**2669106.91*360*0.0*40318919*false*15.1058*0.25*0.0*0.25*0.03*2.12*2.82*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2012 S1*2012-01-01*2012-06-30*Medio-Bajo*0.36*0.19**3581244.47*462*0.0*52974192*false*14.7921*0.5*0.0*0.5*0.05*-6.7*1.63*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2012 T1*2012-01-01*2012-03-31*Medio-Bajo*0.37*0.17**3999793.57*497*0.0*63411563*false*15.8537*0.25*0.0*0.25*0.02*3.0*0.83*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2013 S2*2013-07-01*2013-12-31*4 en una escala del 1 al 7*0.54*0.05**3473211.84*462*0.0*61743155*false*17.777*0.5*0.0*0.5*0.05*1.94*0.65*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2013 T3*2013-07-01*2013-09-30*4 en una escala del 1 al 7*0.35*0.03**2928895.05*398*0.0*51077515*false*17.4392*0.25*0.0*0.25*0.03*2.68*1.03*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2013 S1*2013-01-01*2013-06-30*4 en una escala del 1 al 7*0.73*0.02**2689165.32*396*0.0*45673671*false*16.9843*0.5*0.0*0.5*0.05*-1.59*2.08*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2013 T1*2013-01-01*2013-03-31*4 en una escala del 1 al 7*0.18*0.0**2630554.65*393*0.0*45400527*false*17.2589*0.25*0.0*0.25*0.02*4.16*1.3*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2014 S2*2014-07-01*2014-12-31*3 en una escala del 1 al 7*0.12*0.01**3969132.98*532*0.0*73160822*false*18.4324*0.5*0.0*0.5*0.05*-0.04*1.4*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2014 T3*2014-07-01*2014-09-30*3 en una escala del 1 al 7*0.08*0.01**3957421.22*535*0.0*72974509*false*18.4399*0.25*0.0*0.25*0.03*-0.17*1.07*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2014 S1*2014-01-01*2014-06-30*3 en una escala del 1 al 7*0.02*0.13**3963011.38*524*0.0*73204501*false*18.4719*0.5*0.0*0.5*0.05*1.79*0.95*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2014 T1*2014-01-01*2014-03-31*3 en una escala del 1 al 7*0.05*0.12**3816256.68*508*0.0*69255554*false*18.1475*0.25*0.0*0.25*0.02*2.08*0.39*0.27
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2015 S2*2015-07-01*2015-12-31*3 en una escala del 1 al 7*0.15*0.0**4014337.11*525*0.0*74359512*false*18.5235*0.5*0.0*0.5*0.05*0.52*1.68*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2015 T3*2015-07-01*2015-09-30*3 en una escala del 1 al 7*0.15*0.0**4198487.77*533*0.0*77371122*false*18.4283*0.25*0.0*0.25*0.03*-0.91*1.94*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2015 S1*2015-01-01*2015-06-30*3 en una escala del 1 al 7*0.61*0.0**4475529.04*548*0.0*83236622*false*18.5982*0.5*0.0*0.5*0.05*-2.2*2.42*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2015 T1*2015-01-01*2015-03-31*3 en una escala del 1 al 7*0.43*0.0**4412032.36*543*0.0*83901256*false*19.0165*0.25*0.0*0.25*0.02*3.17*2.78*0.27
DP RENTA FIJA FI*DP RENTA FIJA F.I.*2016 S2*2016-07-01*2016-12-31*3 en una escala del 1 al 7*1.04*-0.25**3656887.17*507*0.0*69107378*false*18.8979*0.5*0.0*0.5*0.05*-0.2*1.49*0.28
DP RENTA FIJA FI*DP RENTA FIJA F.I.*2016 T3*2016-07-01*2016-09-30*3 en una escala del 1 al 7*0.69*-0.1**3762340.72*505*0.0*71242380*false*18.9357*0.25*0.0*0.25*0.03*1.37*1.48*0.28
DP RENTA FIJA FI*DP RENTA FIJA F.I.*2016 S1*2016-01-01*2016-06-30*3 en una escala del 1 al 7*0.53*0.0**3698594.26*506*0.0*69088720*false*18.6797*0.5*0.0*0.5*0.05*1.11*1.99*0.28
DP RENTA FIJA FI*PRIVAT RENTA FIJA F.I.*2016 T1*2016-01-01*2016-03-31*3 en una escala del 1 al 7*0.3*-0.01**3872592.4*522*0.0*71543098*false*18.4742*0.25*0.0*0.25*0.02*-0.27*3.31*0.28
DP RENTA FIJA FI*DP RENTA FIJA F.I.*2017 T3*2017-07-01*2017-09-30*3 en una escala del 1 al 7*0.06*-0.39**3743312.87*560*0.0*72923701*false*19.4811*0.25*0.0*0.25*0.03*0.54*0.4*0.28
DP RENTA FIJA FI*DP RENTA FIJA F.I.*2017 S1*2017-01-01*2017-06-30*3 en una escala del 1 al 7*1.16*-0.37**3720010.43*547*0.0*72081239*false*19.3766*0.5*0.0*0.5*0.05*0.5*0.63*0.28
DP RENTA FIJA FI*DP RENTA FIJA F.I.*2017 T1*2017-01-01*2017-03-31*3 en una escala del 1 al 7*0.38*-0.37**3628897.46*540*0.0*69963655*false*19.2796*0.25*0.0*0.25*0.02*2.02*1.1*0.28
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2018 S 2*2018-07-01*2018-12-31*3 en una escala del 1 al 7.*0.41*0.0**1568252.11*349*0.0*28599879*false*18.2368*0.58*[]*0.58*0.05*-4.09*2.34*0.33
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2018 S 2*2018-07-01*2018-12-31*3 en una escala del 1 al 7.*0.41*0.0**1199124.56*103*0.0*21890112*false*18.2551*0.51*[]*0.51*0.05*-4.06*2.34*0.29
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2018 T 3*2018-07-01*2018-09-30*3 en una escala del 1 al 7.*0.02*0.0**1729069.95*381*0.0*32878720*false*19.0153*0.29*[]*0.29*0.03*-0.46*1.31*0.34
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2018 T 3*2018-07-01*2018-09-30*3 en una escala del 1 al 7.*0.02*0.0**1580024.19*182*0.0*30063340*false*19.0271*0.25*[]*0.25*0.03*-0.42*1.31*0.3
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2018 S 1*2018-01-01*2018-06-30*3 en una escala del 1 al 7.*0.0*0.0**1874920.87*395*0.0*35817413*false*19.1034*0.64*[]*0.64*0.06*-1.81*1.56*0.31
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2018 S 1*2018-01-01*2018-06-30*3 en una escala del 1 al 7.*0.0*0.0**2040199.23*180*0.0*38984395*false*19.1081*0.2*[]*0.2*0.02*"[<iic-com:rentabilidadiic contextref=""FIM_S12018_V-59506998_daq"" decimals=""2"" unitref=""pure"">-1.81</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12018_V-59506998_daq"" decimals=""2"" unitref=""pure"">1.56</iic-com-fon:volatilidadvalorliquidativo>]"*0.23
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2018 T 1*2018-01-01*2018-03-31*3 en una escala del 1 al 7.*0.23*0.0**4148966.7*613*0.0*80723522*false*19.4563*0.25*[]*0.25*0.02*-0.39*0.78*0.27
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2018 T 1*2018-01-01*2018-03-31*3 en una escala del 1 al 7.*0.23*0.0**0.0*0*0.0*0*false*0.0*0.0*[]*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T12018_V-59506998_da"" decimals=""2"" unitref=""pure"">-0.39</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12018_V-59506998_da"" decimals=""2"" unitref=""pure"">0.78</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T12018_V-59506998_da"" decimals=""2"" unitref=""pure"">0.27</iic-com:ratiototalgastos>]"
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2019 S 2*2019-07-01*2019-12-31*3 en una escala del 1 al 7.*0.0*-0.52**1441747.91*300*0.0*27501667*false*19.0752*0.58*[]*0.58*0.05*0.09*0.84*0.32
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2019 S 2*2019-07-01*2019-12-31*3 en una escala del 1 al 7.*0.0*-0.52**1350276.33*153*0.0*25821365*false*19.123*0.5*[]*0.5*0.05*0.13*0.84*0.28
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2019 T 3*2019-07-01*2019-09-30*3 en una escala del 1 al 7.*0.0*-0.48**1374568.42*305*0.0*26196357*false*19.0579*0.29*[]*0.29*0.03*1.5*1.49*0.32
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2019 T 3*2019-07-01*2019-09-30*3 en una escala del 1 al 7.*0.0*-0.48**1108819.17*98*0.0*21176681*false*19.0984*0.25*[]*0.25*0.03*1.54*1.48*0.28
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2019 S 1*2019-01-01*2019-06-30*3 en una escala del 1 al 7.*0.11*-0.37**1409939.38*313*0.0*26472184*false*18.7754*0.57*[]*0.57*0.05*1.01*0.83*0.32
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2019 S 1*2019-01-01*2019-06-30*3 en una escala del 1 al 7.*0.11*-0.37**1077850.14*99*0.0*20272446*false*18.8082*0.5*[]*0.5*0.05*1.05*0.83*0.28
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2019 T 1*2019-01-01*2019-03-31*3 en una escala del 1 al 7.*0.21*-0.36**1426803.19*332*0.0*26519698*false*18.5868*0.28*[]*0.28*0.02*1.92*0.9*0.31
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2019 T 1*2019-01-01*2019-03-31*3 en una escala del 1 al 7.*0.21*-0.36**1088583.32*99*0.0*20261061*false*18.6123*0.25*[]*0.25*0.02*1.96*0.91*0.27
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2020 S 2*2020-07-01*2020-12-31*3 en una escala del 1 al 7.*0.2*-0.58**1332578.25*281*0.0*25853828*false*19.4014*0.58*[]*0.58*0.05*2.99*1.73*0.32
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2020 S 2*2020-07-01*2020-12-31*3 en una escala del 1 al 7.*0.2*-0.58**1075227.49*134*0.0*20944539*false*19.4792*0.5*[]*0.5*0.05*3.03*1.73*0.28
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2020 T 3*2020-07-01*2020-09-30*3 en una escala del 1 al 7.*0.0*-0.59**1382116.01*287*0.0*26036691*false*18.8383*0.29*[]*0.29*0.03*1.36*1.29*0.32
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2020 T 3*2020-07-01*2020-09-30*3 en una escala del 1 al 7.*0.0*-0.59**1107998.47*139*0.0*20948600*false*18.9067*0.25*[]*0.25*0.03*1.4*1.29*0.28
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2020 S 1*2020-01-01*2020-06-30*3 en una escala del 1 al 7.*0.0*-0.42**1415065.25*293*0.0*26298829*false*18.5849*0.57*[]*0.57*0.05*3.85*3.42*0.31
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2020 S 1*2020-01-01*2020-06-30*3 en una escala del 1 al 7.*0.0*-0.42**1216570.77*144*0.0*22683398*false*18.6454*0.5*[]*0.5*0.05*3.89*3.42*0.28
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE A*2020 T 1*2020-01-01*2020-03-31*3 en una escala del 1 al 7.*0.0*-0.55**1417539.65*293*0.0*25367845*false*17.8957*0.29*[]*0.29*0.02*-6.18*6.88*0.31
DP RENTA FIJA FI*DP RENTA FIJA FI CLASE C*2020 T 1*2020-01-01*2020-03-31*3 en una escala del 1 al 7.*0.0*-0.55**1263695.79*150*0.0*22679826*false*17.9472*0.25*[]*0.25*0.02*-6.15*6.88*0.28
