fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2009*2009-07-01*2009-12-31*4043*edm@edm.es*n.d.*Alto*0.0*0.1**20183885.33*244*0.0*22721944*false*1.1257***1.03*0.05*1.68*9.13*0.56*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2009*2009-07-01*2009-09-30*4043*edm@edm.es*n.d.*Alto*0.02*0.19**18720150.07*226*0.0*20725896*false*1.1071***0.51*0.03*8.39*8.48*0.55*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2009*2009-01-01*2009-06-30*4043*edm@edm.es*n.d.*Alto*0.0*0.91**15854999.31*197*0.0*16194740*false*1.0214***1.02*0.05*10.08*10.02*0.55*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2010*2010-07-01*2010-12-31*4043*edm@edm.es*n.d.*Alto*0.0*0.0**13643194.62*247*0.0*15043168*false*1.1026***0.95*0.05*3.93*9.28*0.53*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2010*2010-07-01*2010-09-30*4043*edm@edm.es*n.d.*Alto*0.0*0.0**16612840.09*264*0.0*17625422*false*1.061***0.48*0.03*6.43*12.21*0.53*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2010*2010-01-01*2010-06-30*4043*edm@edm.es*n.d.*Alto*0.21*0.0**19744690.93*279*0.0*19682580*false*0.9969***1.0*0.05*-10.9*17.09*0.53*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2010*2010-01-01*2010-03-31*4043*edm@edm.es*n.d.*Alto*0.0*0.0**21944112.01*283*0.0*24551831*false*1.1188***0.51*0.02*-0.61*10.51*0.55*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2011*2011-07-01*2011-12-31*4043*edm@edm.es*n.d.*Alto*0.14*0.24**14111884.75*372*0.0*14757905*false*1.0458*1.0**1.0*0.05*5.28*19.13*0.68*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2011*2011-07-01*2011-09-30*4043*edm@edm.es*n.d.*Alto*0.02*0.19**15686121.95*386*0.0*15581857*false*0.9934***0.5*0.03*-12.5*23.2*0.62*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2011*2011-01-01*2011-06-30*4043*edm@edm.es*n.d.*Alto*0.45*0.18**15620998.73*392*0.0*17733130*false*1.1352***0.96*0.05*-1.02*9.41*0.61*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2011*2011-01-01*2011-03-31*4043*edm@edm.es*n.d.*Alto*0.18*0.1**21913552.4*479*0.0*25133400*false*1.1469***0.48*0.03*4.02*9.52*0.58*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
