fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2009*2009-07-01*2009-12-31*3328*35049900@bancopopular.es*Aa3*Medio*0.9*0.36**133122.78*1504*0.0*16677390*false*125.2783***0.65*0.05*3.74*3.93*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2009*2009-07-01*2009-09-30*3328*35049900@bancopopular.es*Aa3*Medio*0.65*0.43**91718.19*1324*0.0*11076161*false*120.763***0.32*0.02*14.05*5.12*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2009*2009-01-01*2009-06-30*3328*35049900@bancopopular.es*Aa3*Medio*2.82*1.21**47257.02*1257*0.0*5003862*false*105.8861***0.64*0.05*10.38*5.59*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2010*2010-07-01*2010-12-31*3328*35049900@bancopopular.es*Aa3*Alto*0.53*0.55**241946.62*2552*0.0*33754890*false*139.5138***0.65*0.05*2.33*2.56*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2010*2010-07-01*2010-09-30*3328*35049900@bancopopular.es*Aa3*Alto*0.1*0.45**191246.86*1495*0.0*26073493*false*136.3342***0.33*0.03*5.82*3.5*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2010*2010-01-01*2010-06-30*3328*35049900@bancopopular.es*Aa3*Alto*2.02*0.28**177856.32*1460*0.0*22914069*false*128.8347***0.65*0.05*-2.35*6.39*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2010*2010-01-01*2010-03-31*3328*35049900@bancopopular.es*Aa3*Alto*0.78*0.28**204087.99*1812*0.0*26926820*false*131.9373***0.32*0.02*5.32*4.16*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2011*2011-07-01*2011-09-30*3328*35049900@bancopopular.es*A-*Alto*0.51*1.26**225214.08*936*0.0*29324929*false*130.2091***0.33*0.03*-8.89*7.3*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2011*2011-01-01*2011-06-30*3328*35049900@bancopopular.es*A-*Alto*0.7*0.86**301592.95*2644*0.0*43100584*false*142.9098***0.64*0.05*-0.24*2.07*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2011*2011-01-01*2011-03-31*3328*35049900@bancopopular.es*Aa3*Alto*0.31*0.7**291366.57*2667*0.0*41737171*false*143.2463***0.32*0.02*2.68*2.38*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2010*2010-07-01*2010-12-31*3328*35049900@bancopopular.es*Aa3*Alto*0.53*0.55**241946.62*2552*0.0*33754890*false*139.5138***0.65*0.05*2.33*2.56*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
