fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 2 2009*2009-07-01*2009-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.53*0.0****0.0**false****0.88*0.05****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 3 2009*2009-07-01*2009-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.01*0.76****0.0**false****0.44*0.02*2.56*2.06*0.47*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 1 2009*2009-01-01*2009-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.6*2.11****0.0**false****0.87*0.04****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 2 2010*2010-07-01*2010-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.4*0.0****0.0**false****0.88*0.05****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 3 2010*2010-07-01*2010-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.26*0.43****0.0**false****0.44*0.02*1.34*1.5*0.47*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 1 2010*2010-01-01*2010-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.77*0.36****0.0**false****0.87*0.04****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 1 2010*2010-01-01*2010-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.53*0.39****0.0**false****0.43*0.02*0.82*0.87*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 3 2011*2011-07-01*2011-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.09*1.32**3446346.05*2583*0.0*57107000*false*16.5703***0.44*0.02*0.45*3.99*0.47*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 1 2011*2011-01-01*2011-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.48*0.87****0.0**false****0.87*0.04****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 1 2011*2011-01-01*2011-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.35*0.79****0.0**false****0.43*0.02*1.57*1.9*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 2 2010*2010-07-01*2010-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.4*0.0****0.0**false****0.88*0.05****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 3 2012*2012-07-01*2012-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.16*0.32**3140982.43*2400*0.0*53322000*false*16.9762*0.44**0.44*0.02*3.18*5.15*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 1 2012*2012-01-01*2012-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.25*0.78**3182909.63*2437*0.0*52366000*false*16.4521*0.87**0.87*0.04*-3.86*4.67*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 1 2012*2012-01-01*2012-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.17*1.05**3155684.27*2423*0.0*54003000*false*17.1129*0.44**0.44*0.02*3.17*2.42*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 2 2011*2011-07-01*2011-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.37*0.0**3164673.78*2469*0.0*52492000*false*16.5869*0.88**0.88*0.05*0.1*3.77*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 2 2013*2013-07-01*2013-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.88*0.0**4561255.72*2928*0.0*84207000*false*18.4614*0.88**0.88*0.05*1.02*1.78*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 3 2013*2013-07-01*2013-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.31*0.11**4394515.56*2797*0.0*80306000*false*18.2741*0.44**0.44*0.02*1.61*2.16*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
