fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Semester 2 2009*2009-07-01*2009-12-31*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.05*0.22**1625720.34*333*0.0*17467713*false *10.7446***0.51*0.05*1.12*1.76*0.3*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Trimester 3 2009*2009-07-01*2009-09-30*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.29*0.22**1202979.63*276*0.0*12782569*false *10.6258***0.25*0.03*2.94*1.7*0.29*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Semester 1 2009*2009-01-01*2009-06-30*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.73*1.33**986840.87*253*0.0*10186613*false*10.3224***0.5*0.05*2.11*1.63*0.29*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Semester 2 2010*2010-07-01*2010-12-31*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.35*0.37**1367905.18*310*0.0*14860229*false *10.8635***0.5*0.05*0.63*1.73*0.29*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Trimester 3 2010*2010-07-01*2010-09-30*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.1*0.35**1651409.48*347*0.0*17826877*false *10.7949***0.25*0.03*1.01*1.29*0.28*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Semester 1 2010*2010-01-01*2010-06-30*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.8*0.25**1918427.81*361*0.0*20502512*false *10.6871***0.5*0.05*-1.5*2.44*0.28*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Trimester 1 2010*2010-01-01*2010-03-31*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.19*0.19**1778849.13*358*0.0*19300909*false *10.8502***0.25*0.02*0.98*2.01*0.28*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL, F.I.*84117779*Semester 2 2011*2011-07-01*2011-12-31*3027*back@tressisgestion.com*n.d.*null*0.96*0.83**902672.07*192*0.0*9529348*false *10.5568*0.5*0.0*0.5*0.05*0.55*2.24*0.29*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL, F.I.*84117779*Trimester 3 2011*2011-07-01*2011-09-30*3027*back@tressisgestion.com*n.d.*null*0.66*0.84**1104442.61*210*0.0*11595878*false *10.4993***0.25*0.03*-2.92*2.48*0.29*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL, F.I.*84117779*Semester 1 2011*2011-01-01*2011-06-30*3027*back@tressisgestion.com*n.d.*null*0.4*0.05**1125355.71*218*0.0*12170314*false *10.8146***0.5*0.05*-0.33*1.37*0.28*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN GLOBAL FI*84117779*Trimester 1 2011*2011-01-01*2011-03-31*3027*m.cuello@bpa.ad*n.d.*Medio Bajo*0.42*0.46**1223545.27*303*0.0*13275390*false *10.8499***0.25*0.02*-0.12*2.33*0.28*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154974036
