fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2009 S2*2009-07-01*2009-12-31*Alto*1.64*0.01**2455983.36*2869*0.0*40000483*false*16.287***0.63*0.05*4.03*20.11*0.38*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2009 T3*2009-07-01*2009-09-30*Alto*0.98*0.02**2561791.29*2917*0.0*40107636*false*15.6561***0.29*0.02*16.46*18.82*0.33*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2009 S1*2009-01-01*2009-06-30*ALTO*2.66*0.78**2600530.17*2982*0.0*34959289*false*13.4431***0.93*0.05*13.16*23.55*0.48*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2010 S2*2010-07-01*2010-12-31*Alto*0.35*0.1**2072249.56*2649*0.0*36114608*false*17.4277***0.68*0.05*3.7*15.8*0.37*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2010 T3*2010-07-01*2010-09-30*Alto*0.28*0.04**2248684.82*2749*0.0*37789403*false*16.8051***0.34*0.02*10.66*23.48*0.4*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2010 S1*2010-01-01*2010-06-30*Alto*0.87*0.02**2267695.38*2791*0.0*34436331*false*15.1856***0.67*0.04*-11.33*40.26*0.39*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2010 T1*2010-01-01*2010-03-31*Alto*0.56*0.01**2289805.01*2827*0.0*39215639*false*17.1262***0.33*0.02*5.15*18.22*0.37*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2011 T3*2011-07-01*2011-09-30*Muy alto*0.61*0.68**2456912.66*3763*0.0*32577563*false*13.2596***0.23*0.02*-24.89*47.42*0.26*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2011 S1*2011-01-01*2011-06-30*Muy alto*0.79*0.41**2037712.69*2557*0.0*35972004*false*17.6531***0.78*0.04*-0.64*14.4*0.3*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2011 T1*2011-01-01*2011-03-31*Alto*0.37*0.25**2047050.54*2624*0.0*36369664*false*17.7669***0.5*0.02*1.95*18.71*0.53*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2012 S2*2012-07-01*2012-12-31*7, de una*1.89*0.07**1640937.87*3156*0.0*27591961*false*16.8148*0.68*0.0*0.68*0.05*8.78*15.05*0.4*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2012 T3*2012-07-01*2012-09-30*7, de una*1.01*0.07**1666474.06*3249*0.0*25759740*false*15.4576*0.34*0.0*0.34*0.02*5.67*20.48*0.37*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2012 S1*2012-01-01*2012-06-30*7, de una*1.06*0.1**1764316.28*3354*0.0*25809023*false*14.6283*0.67*0.0*0.67*0.04*-6.56*26.73*0.36*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2012 T1*2012-01-01*2012-03-31*Muy alto*0.29*0.13**1880983.44*3492*0.0*29447134*false*15.6552*0.34*0.0*0.34*0.02*7.14*20.33*0.36*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2013 S2*2013-07-01*2013-12-31*7, de una escala del 1 al 7*1.33*0.08**926281.16*2477*0.0*18308651*false*19.7658*0.68*1.59*2.27*0.05*5.93*10.15*0.41*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2013 T3*2013-07-01*2013-09-30*7, de una escala del 1 al 7*0.85*0.09**951902.33*2535*0.0*17762548*false*18.6601*0.34*1.09*1.43*0.02*8.34*11.87*0.37*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2013 S1*2013-01-01*2013-06-30*7, de una escala del 1 al 7*2.55*0.04**989542.01*2627*0.0*17043802*false*17.2239*0.67*0.0*0.67*0.04*-1.17*16.77*0.37*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2013 T1*2013-01-01*2013-03-31*7, de una escala del 1 al 7*0.99*0.03**1401563.01*2790*0.0*24426063*false*17.4277*0.33*0.18*0.51*0.02*3.65*12.38*0.36*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2014 T3*2014-07-01*2014-09-30*7, de una escala del 1 al 7*0.7*0.01**731007.51*2194*0.0*15134308*false*20.7034*0.34*0.15*0.49*0.02*1.71*11.22*0.37*False
IMANTIA FUTURO, FI*A.C. Inversión Selectiva, F.I.*2014 S1*2014-01-01*2014-06-30*7, de una escala del 1 al 7*1.79*0.01**751087.02*2243*0.0*15287997*false*20.3545*0.67*0.28*0.95*0.04*1.69*10.53*0.37*False
