fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INTERMONEY RENTA FIJA AHORRO, FI*Intermoney Renta Fija Corto Plazo F.I.*82876681*Semester 2 2009*2009-07-01*2009-12-31*2311*iic@grupocimd.com*N.D*Bajo*0.45*0.28**61222.86*143*0.0*7630487*false*124.6346***0.06*0.03*0.08*0.08*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*Intermoney Renta Fija Corto Plazo F.I.*82876681*Trimester 3 2009*2009-07-01*2009-09-30*2311*iic@grupocimd.com*N.D*Bajo*0.03*0.22**65333.46*150*0.0*8136699*false*124.5411***0.06*0.03*0.14*0.31*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*Intermoney Tesorería F.I.*82876681*Semester 1 2009*2009-01-01*2009-06-30*2311*iic@grupocimd.com*N.D*Bajo*0.13*1.19**76537.95*153*0.0*9518995*false*124.3696***0.12*0.04*0.22*0.12*0.09*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Semester 2 2010*2010-07-01*2010-12-31*2311*iic@grupocimd.com*n.d.*BAJO*0.62*0.45**51212.18*127*0.0*6422552*false *125.4106***0.13*0.05*0.22*0.07*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Trimester 3 2010*2010-07-01*2010-09-30*2311*iic@grupocimd.com*n.d.*BAJO*0.32*0.38**52683.24*129*0.0*6592488*false *125.1344***0.06*0.03*0.23*0.11*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Semester 1 2010*2010-01-01*2010-06-30*2311*iic@grupocimd.com*n.d.*BAJO*0.57*0.3**54489.35*132*0.0*6802665*false *124.8439***0.12*0.05*0.06*0.13*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*Intermoney Renta Fija Corto Plazo F.I.*82876681*Trimester 1 2010*2010-01-01*2010-03-31*2311*iic@grupocimd.com*N.D*Bajo*0.21*0.26**57575.86*138*0.0*7183855*false*124.772***0.06*0.02*0.11*0.06*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Semester 2 2011*2011-07-01*2011-12-31*2311*iic@grupocimd.com*n.d.*BAJO*0.63*0.86**47774.7*125*0.0*6117452*false *128.0479*0.13*0.0*0.13*0.05*0.91*0.83*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Trimester 3 2011*2011-07-01*2011-09-30*2311*iic@grupocimd.com*n.d.*BAJO*0.4*0.94**48609.07*126*0.0*6168267*false *126.8954***0.06*0.03*0.41*0.34*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Semester 1 2011*2011-01-01*2011-06-30*2311*iic@grupocimd.com*n.d.*BAJO*0.78*0.72**48872.19*127*0.0*6176636*false *126.3835***0.12*0.05*0.36*0.13*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Trimester 1 2011*2011-01-01*2011-03-31*2311*iic@grupocimd.com*n.d.*BAJO*0.39*0.52**50290.35*127*0.0*6332993*false *125.9286***0.06*0.02*0.41*0.13*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
