fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INTERMONEY VARIABLE EURO, FI*Intermoney Variable F.I.*82955923*Semester 2 2009*2009-07-01*2009-12-31*2402*iic@grupocimd.com*N.D*Alto*0.0*0.27**33781.78*100*0.0*3481207*false*103.05***0.28*0.04*3.28*20.83*0.3*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*Intermoney Variable F.I.*82955923*Trimester 3 2009*2009-07-01*2009-09-30*2402*iic@grupocimd.com*N.D*Alto*0.0*0.22**33845.54*102*0.0*3377072*false*99.7789***0.24*0.03*17.24*19.11*0.4*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*Intermoney Variable F.I.*82955923*Semester 1 2009*2009-01-01*2009-06-30*2402*iic@grupocimd.com*N.D*Alto*0.11*1.27**23259.83*99*0.0*1979642*false*85.1099***0.47*0.05*0.24*25.95*0.31*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 2 2010*2010-07-01*2010-12-31*2402*iic@grupocimd.com*n.d.*ALTO*0.05*0.48**33218.89*106*0.0*3258321*false *98.0864***0.48*0.06*1.85*16.66*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 3 2010*2010-07-01*2010-09-30*2402*iic@grupocimd.com*n.d.*ALTO*0.02*0.39**33218.89*106*0.0*3199137*false *96.3048***0.24*0.03*6.64*19.16*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2010*2010-01-01*2010-06-30*2402*iic@grupocimd.com*n.d.*ALTO*0.05*0.31**33218.89*106*0.0*2999847*false *90.3055***0.47*0.06*-9.66*34.09*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*Intermoney Variable F.I.*82955923*Trimester 1 2010*2010-01-01*2010-03-31*2402*iic@grupocimd.com*N.D*Alto*0.01*0.27**33263.53*95*0.0*3325149*false*99.9638***0.23*0.03*-2.99*17.89*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 2 2011*2011-07-01*2011-12-31*2402*iic@grupocimd.com*n.d.*ALTO*0.46*0.97**32926.35*108*0.0*2741062*false *83.2483*0.48*0.0*0.48*0.06*5.34*31.26*0.3*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 3 2011*2011-07-01*2011-09-30*2402*iic@grupocimd.com*n.d.*ALTO*0.21*1.02**33254.22*105*0.0*2628010*false *79.0279***0.24*0.03*-22.15*35.86*0.31*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2011*2011-01-01*2011-06-30*2402*iic@grupocimd.com*n.d.*ALTO*0.15*0.76**33255.23*106*0.0*3375776*false *101.5111***0.47*0.06*-0.85*16.81*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 1 2011*2011-01-01*2011-03-31*2402*iic@grupocimd.com*n.d.*ALTO*0.12*0.55**33255.23*106*0.0*3404595*false *102.3778***0.23*0.03*4.38*16.29*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
