fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2009*2009-07-01*2009-12-31*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.0*0.29**2731723.84*683*0.0*72377074*false*26.495***0.25*0.0*1.92*9.34*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2009*2009-07-01*2009-09-30*13*comsanassetm@gruposantander.com*Aa2*Alto-Muy Alto*0.0*0.28**2723087.46*698*0.0*70789000*false*25.996***0.13*0.0*7.56*8.74*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2009*2009-01-01*2009-06-30*13*comsanassetm@gruposantander.com*Aa1*Alto-Muy Alto*0.53*1.37**2723410.3*689*0.0*65820000*false*24.1682***0.25*0.0*9.89*11.2*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2010*2010-07-01*2010-12-31*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.29*0.49**2610904.49*607*0.0*67434272*false*25.8279***0.25*0.0*0.35*8.18*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2010*2010-07-01*2010-09-30*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.31*0.4**2646732.66*635*0.0*68117887*false*25.7366***0.13*0.0*5.58*9.64*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2010*2010-01-01*2010-06-30*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.01*0.31**2682117.58*651*0.0*65378631*false*24.3758***0.25*0.0*-6.91*17.55*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2010*2010-01-01*2010-03-31*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.0*0.27**2703796.54*681*0.0*70799810*false*26.1853***0.12*0.0*-1.17*9.25*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2011*2011-07-01*2011-09-30*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.03*1.07**2574529.68*584*0.0*59048119*false*22.9355***0.13*0.0*-13.73*24.71*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2011*2011-01-01*2011-06-30*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.22*0.71**2581984.57*596*0.0*68644533*false*26.586***0.25*0.0*-0.52*8.61*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2011*2011-01-01*2011-03-31*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.0*0.53**2605941.37*598*0.0*69643883*false*26.725***0.12*0.0*3.47*8.7*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2010*2010-07-01*2010-12-31*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.29*0.49**2610904.49*607*0.0*67434272*false*25.8279***0.25*0.0*0.35*8.18*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
