fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  D*87543336*Semester 2 2016*2016-07-01*2016-12-31*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**12351.5*7*0.0*125243*false*10.1399*0.05*0.0*0.05*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABSOLUTO D*87543336*Trimester 3 2016*2016-07-01*2016-09-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**37861.13*4*0.0*379656*false*10.0276*0.02*0.0*0.02*0.01*[]*[]*0.03*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABSOLUTO A*87543336*Trimester 3 2016*2016-07-01*2016-09-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**16323767.09*24*0.0*163798992*false*10.0344*0.02*0.0*0.02*0.01*[]*[]*0.03*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABSOLUTO B*87543336*Trimester 3 2016*2016-07-01*2016-09-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**1256.77*1*0.0*12603*false*10.0283*0.02*0.0*0.02*0.0*[]*[]*0.03*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABSOLUTO P*87543336*Trimester 3 2016*2016-07-01*2016-09-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*0.0*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  D*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**136909.57*32*0.0*1416818*false*10.3486*0.05*0.0*0.05*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**33728006.6*23*0.0*349367850*false*10.3584*0.05*0.0*0.05*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**4695515.62*59*0.0*48064981*false*10.2364*0.5*0.0*0.5*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  P*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  D*87543336*Trimester 3 2017*2017-07-01*2017-09-30*5028*N/D*A+(segun Fitch)*4 en una escala del 1 al 7*0.15*0.0**272017.15*47*0.0*2811365*false*10.3352*0.03*0.0*0.03*0.01*0.24*1.29*0.12*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  A*87543336*Trimester 3 2017*2017-07-01*2017-09-30*5028*N/D*A+(segun Fitch)*4 en una escala del 1 al 7*0.15*0.0**29723021.35*23*0.0*307486392*false*10.3451*0.03*0.0*0.03*0.01*0.27*1.3*0.12*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
