fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Semester 2 2017*2017-07-01*2017-12-31*5167*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.13*0.28**308236.812171*52*0.0*2981476*false*9.6727*0.87*0.0*0.87*0.05*-2.31*10.04*0.57*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Trimester 3 2017*2017-07-01*2017-09-30*5167*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*0.3**303042.484962*49*0.0*3000511*false*9.9013*0.43*0.0*0.43*0.03*-0.76*9.55*0.61*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Semester 1 2017*2017-01-01*2017-06-30*5167*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*0.04**30000.0*1*0.0*299303*false*9.9768*0.14*0.0*0.14*0.01*-0.23*0.43*0.7*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Semester 2 2018*2018-07-01*2018-12-31*5167*gestora@renta4.es*NA*6, de una escala del 1 al 7*0.16*0.25**449805.040529*213*0.0*4395280*false*9.7715*0.88*0.0*0.88*0.05*-11.0*20.02*0.49*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Trimester 3 2018*2018-07-01*2018-09-30*5167*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.13*0.25**447229.385631*193*0.0*4910237*false*10.9792*0.44*0.0*0.44*0.02*10.35*8.56*0.5*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Semester 1 2018*2018-01-01*2018-06-30*5167*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.31*0.25**407627.050105*71*0.0*4055603*false*9.9493*0.87*0.0*0.87*0.05*6.63*12.48*0.48*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Trimester 1 2018*2018-01-01*2018-03-31*5167*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.16*0.25**343996.174801*68*0.0*3209710*false*9.3307*0.43*0.0*0.43*0.02*-3.54*16.87*0.48*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Trimester 3 2019*2019-07-01*2019-09-30*5167*gestora@renta4.es*ND*6*0.26*-0.29**482067.12*250*0.0*5450354*false*11.3062*0.44*0.0*0.44*0.03*1.69*14.35*0.5*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Semester 1 2019*2019-01-01*2019-06-30*5167*gestora@renta4.es*ND*6*0.21*-0.14**467317.8*245*0.0*5195593*false*11.1179*0.87*0.0*0.87*0.05*-0.34*14.21*0.5*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Trimester 1 2019*2019-01-01*2019-03-31*5167*gestora@renta4.es*NA*6, de una escala del 1 al 7*0.23*0.25**467877.22185*242*0.0*5219727*false*11.1562*0.43*0.0*0.43*0.02*14.17*13.57*0.49*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
TOP CLASS HEALTHCARE, FI*TOP CLASS HEALTHCARE, FI*87822250*Semester 2 2018*2018-07-01*2018-12-31*5167*gestora@renta4.es*NA*6, de una escala del 1 al 7*0.16*0.25**449805.040529*213*0.0*4395280*false*9.7715*0.88*0.0*0.88*0.05*-11.0*20.02*0.49*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0179362001
