fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 2 2015*2015-07-01*2015-12-31*4931*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**46656.24*20*0.0*465577*false*9.9789*0.07*0.0*0.07*0.01***0.23*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 2 2016*2016-07-01*2016-12-31*4931*N/D*ND*3 en una escala de 1 a 7*0.38*0.0**28845762.21*10142*0.0*297062494*false*10.2983*0.62*0.0*0.62*0.05*0.9*1.28*0.34*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 3 2016*2016-07-01*2016-09-30*4931*N/D*ND*3 en una escala de 1 a 7*0.13*0.0**17888612.87*6647*0.0*182583076*false*10.2067*0.31*0.0*0.31*0.02*1.56*1.12*0.34*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 1 2016*2016-01-01*2016-06-30*4931*N/D*ND*3 en una escala de 1 a 7*0.0*-0.01**8719532.72*3456*0.0*87626746*false*10.0495*0.61*0.0*0.61*0.05*0.34*1.29*0.33*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 1 2016*2016-01-01*2016-03-31*4931*N/D*ND*3 en una escala de 1 a 7*1.72*-0.02**1522791.64*790*0.0*15251486*false*10.0155*0.3*0.0*0.3*0.02*0.37*1.86*0.36*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 3 2017*2017-07-01*2017-09-30*4931*N/D*ND*3 en una escala de 1 a 7*0.24*0.0**59561028.26*18439*0.0*630470562*false*10.5853*0.31*0.0*0.31*0.03*1.36*1.04*0.34*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 1 2017*2017-01-01*2017-06-30*4931*N/D*ND*3 en una escala de 1 a 7*0.55*0.0**51867459.11*16628*0.0*541659014*false*10.4431*0.62*0.0*0.62*0.05*0.27*1.39*0.34*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 1 2017*2017-01-01*2017-03-31*4931*N/D*ND*3 en una escala de 1 a 7*0.16*0.0**41998546.56*14125*0.0*437404896*false*10.4148*0.31*0.0*0.31*0.02*1.13*1.02*0.33*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 2 2016*2016-07-01*2016-12-31*4931*N/D*ND*3 en una escala de 1 a 7*0.38*0.0**28845762.21*10142*0.0*297062494*false*10.2983*0.62*0.0*0.62*0.05*0.9*1.28*0.34*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 2 2018*2018-07-01*2018-12-31*4931*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.46*-0.29**80308797.7*23865*0.0*827433295*false*10.3031*0.63*0.0*0.63*0.05*-1.74*1.85*0.35*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 3 2018*2018-07-01*2018-09-30*4931*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.16*-0.01**84678934.93*24756*0.0*887953573*false*10.4861*0.32*0.0*0.32*0.03*0.13*1.15*0.35*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 1 2018*2018-01-01*2018-06-30*4931*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.7*-0.01**86729891.81*25157*0.0*908295155*false*10.4727*0.62*0.0*0.62*0.05*-1.71*2.54*0.34*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 1 2018*2018-01-01*2018-03-31*4931*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.51*0.02**83724168.37*24289*0.0*892108636*false*10.6553*0.31*0.0*0.31*0.02*0.05*1.48*0.33*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 3 2019*2019-07-01*2019-09-30*4931*N/D*BBB+ (S&P)*3 en una escala de 1 a 7*0.24*-0.3**87344925.76*25762*0.0*952674771*false*10.907*0.31*0.0*0.31*0.03*1.65*1.2*0.34*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 1 2019*2019-01-01*2019-06-30*4931*N/D*BBB+ (S&P)*3 en una escala de 1 a 7*0.97*-0.29**81665998.57*24299*0.0*876288936*false*10.7302*0.62*0.0*0.62*0.05*1.67*1.08*0.35*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Trimester 1 2019*2019-01-01*2019-03-31*4931*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.59*-0.29**79136902.87*23621*0.0*835230193*false*10.5542*0.31*0.0*0.31*0.02*2.44*1.39*0.35*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI*66641259*Semester 2 2018*2018-07-01*2018-12-31*4931*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.46*-0.29**80308797.7*23865*0.0*827433295*false*10.3031*0.63*0.0*0.63*0.05*-1.74*1.85*0.35*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA FIJA, FI*TREA CAJAMAR RENTA FIJA FI, Clase A*66641259*Semester 2 2020*2020-07-01*2020-12-31*4931*N/D*BBB+ (S&P)*3 en una escala de 1 a 7*0.33*-0.38**105125536.43*30682*0.0*1168239744*false*11.1128*0.63*0.0*0.63*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
