fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Semester 2 2009*2009-07-01*2009-12-31*1777*N/D*A3 (Moody's)*MEDIO*0.79*0.67**383280.67*1273*0.0*32640777*false*85.1616***0.5*0.1*0.53*1.74*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Trimester 3 2009*2009-07-01*2009-09-30*1777*N/D*A3 (Moody's)*MEDIO*0.5*0.84**341746.31*1074*0.0*28950167*false*84.7124***0.25*0.05*2.03*1.95*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Semester 1 2009*2009-01-01*2009-06-30*1777*N/D*A3 (Moody's)*MEDIO*0.61*1.81**220790.38*871*0.0*18331822*false*83.0282***0.49*0.1*1.37*2.66*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Semester 2 2010*2010-07-01*2010-12-31*1777*N/D*A3 (Moody's)*MEDIO*0.75*0.58**321434.85*1500*0.0*26981775*false*83.9417***0.5*0.1*-2.87*3.1*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Trimester 3 2010*2010-07-01*2010-09-30*1777*N/D*A3 (Moody's)*MEDIO*0.57*0.52**378764.43*1606*0.0*32732752*false*86.4198***0.25*0.05*1.08*1.91*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Semester 1 2010*2010-01-01*2010-06-30*1777*N/D*A3 (Moody's)*MEDIO*1.24*0.42**392438.06*1559*0.0*33551919*false*85.4961***0.5*0.1*-1.53*3.89*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Trimester 1 2010*2010-01-01*2010-03-31*1777*N/D*A3 (Moody's)*MEDIO*0.78*0.44**415688.95*1547*0.0*36092543*false*86.8258***0.25*0.05*1.95*1.2*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Trimester 3 2011*2011-07-01*2011-09-30*1777*N/D*Ba1 (Moody's)*Medio*0.32*1.09**146610.04*1000*0.0*12518552*false*85.3867***0.25*0.05*0.73*3.25*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Semester 1 2011*2011-01-01*2011-06-30*1777*N/D*Baa2 (Moody's)*MEDIO*0.0*0.48**165379.59*1092*0.0*14018649*false*84.7665***0.5*0.1*0.3*1.64*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Trimester 1 2011*2011-01-01*2011-03-31*1777*N/D*A2 (Moody's)*MEDIO*0.43*0.19**209946.37*1224*0.0*17743727*false*84.5155***0.27*0.05*0.68*2.18*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*FONPASTOR RENTA FIJA LARGO, FI*82281775*Semester 2 2010*2010-07-01*2010-12-31*1777*N/D*A3 (Moody's)*MEDIO*0.75*0.58**321434.85*1500*0.0*26981775*false*83.9417***0.5*0.1*-2.87*3.1*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
