fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UBS BONOS GESTION ACTIVA, FI*UBS CORPORATE PLUS FI*85597805*Semester 2 2009*2009-07-01*2009-12-31*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.0*0.26**51319446.54*907*0.0*263899711*false*5.1423***0.2*0.05*0.12*0.59*0.13*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS CORPORATE PLUS FI*85597805*Trimester 3 2009*2009-07-01*2009-09-30*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.0*0.28**95890566.18*1419*0.0*492510661*false*5.1362***0.1*0.03*1.03*0.75*0.13*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS CORPORATE PLUS FI*85597805*Semester 1 2009*2009-01-01*2009-06-30*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.0*0.83**115658901.67*1739*0.0*588019004*false*5.0841***0.2*0.05*0.91*1.05*0.14*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS BONOS GESTION ACTIVA FI*85597805*Semester 2 2010*2010-07-01*2010-12-31*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*1.17*0.47**6985006.12*163*0.0*35297422*false*5.0533***0.25*0.05*-0.96*1.3*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS BONOS GESTION ACTIVA FI*85597805*Trimester 3 2010*2010-07-01*2010-09-30*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.0*0.37**10928493.34*293*0.0*55758284*false*5.1021***0.13*0.03*0.0*0.84*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS BONOS GESTION ACTIVA FI*85597805*Semester 1 2010*2010-01-01*2010-06-30*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.06*0.26**16608354.55*464*0.0*84735465*false*5.102***0.22*0.05*-1.13*1.48*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS BONOS GESTION ACTIVA FI*85597805*Trimester 1 2010*2010-01-01*2010-03-31*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.17*0.23**25421059.27*592*0.0*131179557*false*5.1603***0.1*0.02*0.35*0.77*0.13*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS BONOS GESTION ACTIVA FI*85597805*Trimester 3 2011*2011-07-01*2011-09-30*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.0*1.0**21566780.73*512*0.0*111364175*false*5.1637***0.15*0.03*0.54*1.54*0.18*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS BONOS GESTION ACTIVA FI*85597805*Semester 1 2011*2011-01-01*2011-06-30*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.0*0.79**13945428.71*385*0.0*71620289*false*5.1358***0.32*0.05*0.47*0.54*0.18*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS BONOS GESTION ACTIVA, FI*UBS BONOS GESTION ACTIVA FI*85597805*Trimester 1 2011*2011-01-01*2011-03-31*4095*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo*0.0*0.57**7669728.07*122*0.0*39204572*false*5.1116***0.18*0.02*1.15*0.74*0.2*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
