fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 2 2009*2009-07-01*2009-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.27**11790102.49*290*0.0*59811761*false*5.073***0.13*0.04*0.07*0.12*0.08*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Trimester 3 2009*2009-07-01*2009-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.27**24016261.67*251*0.0*121747852*false*5.0694***0.06*0.02*0.1*0.1*0.08*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 1 2009*2009-01-01*2009-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.87**33585401.44*380*0.0*170092833*false*5.0645***0.12*0.04*0.1*0.06*0.08*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 2 2010*2010-07-01*2010-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.7*0.47**3329556.84*222*0.0*16902836*false*5.0766***0.13*0.04*0.04*0.22*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Trimester 3 2010*2010-07-01*2010-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.56*0.34**5163439.57*224*0.0*26201702*false*5.0745***0.06*0.02*-0.04*0.08*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 1 2010*2010-01-01*2010-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.26**6331268.53*266*0.0*32140514*false*5.0765***0.12*0.04*0.02*0.21*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Trimester 1 2010*2010-01-01*2010-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.23**3616239.61*150*0.0*18353904*false*5.0754***0.06*0.02*0.05*0.16*0.08*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Trimester 3 2011*2011-07-01*2011-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.2*1.01**2973334.54*282*0.0*15154104*false*5.0967***0.06*0.02*0.26*0.35*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 1 2011*2011-01-01*2011-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*1.36*0.78**2611329.3*287*0.0*13274378*false*5.0834***0.12*0.04*0.11*0.18*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Trimester 1 2011*2011-01-01*2011-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.59*0.58**2628476.27*138*0.0*13346480*false*5.0776***0.06*0.02*0.02*0.36*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 2 2010*2010-07-01*2010-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.7*0.47**3329556.84*222*0.0*16902836*false*5.0766***0.13*0.04*0.04*0.22*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 2 2012*2012-07-01*2012-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*1.23*0.08**539701.4*216*0.0*2745969*false*5.0879*0.02**0.02*0.04*-0.06*0.28*0.04*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Trimester 3 2012*2012-07-01*2012-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.7*0.11**588527.19*154*0.0*2996320*false*5.0912*0.02**0.02*0.02*0.07*0.16*0.06*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 1 2012*2012-01-01*2012-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.24**774077.12*194*0.0*3938278*false*5.0877*0.12**0.12*0.04*-0.12*0.67*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Trimester 1 2012*2012-01-01*2012-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.23**1518700.32*227*0.0*7736011*false*5.0938*0.06**0.06*0.02*-0.08*0.01*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 3 2013*2013-07-01*2013-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.22*0.04**5154361.06*221*0.0*26393988*false*5.1207*0.13**0.13*0.03*1.28*1.13*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 1 2013*2013-01-01*2013-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.04**3327179.54*174*0.0*16821536*false*5.0558*0.2**0.2*0.05*-0.33*0.84*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 1 2013*2013-01-01*2013-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.28*0.03**432653.5*164*0.0*2194661*false*5.0726*0.03**0.03*0.02***0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 2 2012*2012-07-01*2012-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*1.23*0.08**539701.4*216*0.0*2745969*false*5.0879*0.02**0.02*0.04*-0.06*0.28*0.04*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 3 2014*2014-07-01*2014-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.0*0.01**22443510.02*625*0.0*120660261*false*5.3762*0.13**0.13*0.03*-0.1*1.51*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
