fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2017 S2*2017-07-01*2017-12-31*5217*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*2 - Bajo*0.0*0.0**35257368.15*1497*0.0*208093256*false*5.9021*0.04*0.0*0.04*0.0***0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2018 S2*2018-07-01*2018-12-31*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.03*-0.36**46910464.04*1959*0.0*269004099*false*5.7344*0.13*0.0*0.13*0.01*0.07*2.63*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2018 T3*2018-07-01*2018-09-30*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*2 - Bajo*0.05*-0.35**49466508.98*2062*0.0*283471931*false*5.7306*0.06*0.0*0.06*0.01*-0.42*2.25*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2018 S1*2018-01-01*2018-06-30*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*2 - Bajo*0.44*-0.36**53576314.77*2205*0.0*308309204*false*5.7546*0.12*0.0*0.12*0.01*-2.54*4.97*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2018 T1*2018-01-01*2018-03-31*5217*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*2 - Bajo*0.37*-0.36**60633927.9*2444*0.0*358032099*false*5.9048*0.06*0.0*0.06*0.0*0.05*0.84*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2019 S2*2019-07-01*2019-12-31*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.0*0.0**33948988.99*1369*0.0*200145748*false*5.8955*0.13*0.0*0.13*0.01*0.11*0.54*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2019 T3*2019-07-01*2019-09-30*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.0*0.0**37379665.84*1546*0.0*220131501*false*5.8891*0.06*0.0*0.06*0.01*1.03*1.2*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2019 S1*2019-01-01*2019-06-30*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.04*-0.28**41315009.11*1715*0.0*240830678*false*5.8291*0.12*0.0*0.12*0.01*0.52*1.1*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2019 T1*2019-01-01*2019-03-31*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.03*-0.28**44321047.77*1839*0.0*257022646*false*5.7991*0.06*0.0*0.06*0.0*1.13*1.65*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2020 S2*2020-07-01*2020-12-31*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.0*-0.01**24678327.14*1010*0.0*145684464*false*5.9033*0.13*0.0*0.13*0.01*0.31*0.35*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
CAIXABANK BONOS FLOTANTES 2022, FI*CAIXABANK BONOS FLOTANTES 2022, FI*87947693*2020 T3*2020-07-01*2020-09-30*5217*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.0*0.0**27158879.5*1104*0.0*159827068*false*5.8849*0.06*0.0*0.06*0.01*0.68*0.43*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0125479008
