fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CALIOPE, FI*CALIOPE, FI*67047084*2017 S 2*2017-07-01*2017-12-31*5188*a través del formulario disponible en www.lacaixa.es*BBB*3 - Medio-bajo*0.0*-9.99**2694.97*24*0.0*15829*false*5.8736*0.57*0.0*0.57*0.05*-0.4*0.91*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2017 T 3*2017-07-01*2017-09-30*5188*a través del formulario disponible en www.lacaixa.es*BBB*3 - Medio-bajo*0.0*-16.35**25141.33*15*0.0*148260*false*5.8971*0.24*0.0*0.24*0.02*[]*[]*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2017 T 3*2017-07-01*2017-09-30*5188*a través del formulario disponible en www.lacaixa.es*BBB*3 - Medio-bajo*0.0*-16.35**1804546.2*2*0.0*10663247*false*5.9091*0.07*0.0*0.07*0.01*[]*[]*0.22*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2018 T 3*2018-07-01*2018-09-30*5188*a través del formulario disponible en www.caixabank.es*BBB*2 - Bajo*0.19*-0.08**8180.88*107*0.0*46878*false*5.7303*0.35*0.0*0.35*0.03*-0.28*1.29*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2018 T 3*2018-07-01*2018-09-30*5188*a través del formulario disponible en www.caixabank.es*BBB*2 - Bajo*0.19*-0.08**2287351.08*2*0.0*13283505*false*5.8074*0.08*0.0*0.08*0.01*0.01*1.29*0.14*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2018 S 1*2018-01-01*2018-06-30*5188*a través del formulario disponible en www.caixabank.es*BBB*2 - Bajo*1.04*-0.61**5659.82*90*0.0*32522*false*5.7462*0.68*0.0*0.68*0.06*-1.08*2.18*0.85*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2018 S 1*2018-01-01*2018-06-30*5188*a través del formulario disponible en www.caixabank.es*BBB*2 - Bajo*1.04*-0.61**2287351.08*2*0.0*13281727*false*5.8066*0.16*0.0*0.16*0.01*-0.8*2.18*0.29*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2018 T 1*2018-01-01*2018-03-31*5188*a través del formulario disponible en www.lacaixa.es*BBB*2 - Bajo*0.45*-1.06**3851.39*66*0.0*22372*false*5.809*0.34*0.0*0.34*0.03*-1.1*1.94*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2018 T 1*2018-01-01*2018-03-31*5188*a través del formulario disponible en www.lacaixa.es*BBB*2 - Bajo*0.45*-1.06**2287351.08*2*0.0*13388492*false*5.8533*0.08*0.0*0.08*0.01*-0.82*1.92*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2017 S 2*2017-07-01*2017-12-31*5188*a través del formulario disponible en www.lacaixa.es*BBB*3 - Medio-bajo*0.0*-9.99**2694.97*24*0.0*15829*false*5.8736*0.57*0.0*0.57*0.05*-0.4*0.91*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2017 S 2*2017-07-01*2017-12-31*5188*a través del formulario disponible en www.lacaixa.es*BBB*3 - Medio-bajo*0.0*-9.99**2287351.08*2*0.0*13499278*false*5.9017*0.16*0.0*0.16*0.01*-0.13*0.91*0.17*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2019 S 2*2019-07-01*2019-12-31*5188*a través del formulario disponible en www.caixabank.es*BBB+*2 - Bajo*0.27*-0.27**17898.72*129*0.0*103492*false*5.7821*0.69*0.0*0.69*0.06*0.06*1.44*0.44*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*2019 S 2*2019-07-01*2019-12-31*5188*a través del formulario disponible en www.caixabank.es*BBB+*2 - Bajo*0.27*-0.27**2809852.2*2*0.0*16700953*false*5.9437*0.16*0.0*0.16*0.01*0.35*1.43*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
