fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS EUROPE SMALL & MID CAP, FI*GLOBAL VARIABLE, FI*80043193*Semester 2 2009*2009-07-01*2009-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MEDIO*0.28*0.24**70248.07*71*0.0*695377*false*9.8989***1.01*0.1*2.24*6.06*0.67*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*GLOBAL VARIABLE, FI*80043193*Trimester 3 2009*2009-07-01*2009-09-30*250*departamento.marketing@credit-suisse.com*A*MEDIO*0.24*0.21**70248.07*71*0.0*680148*false*9.6821***0.5*0.05*3.08*5.04*0.56*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*GLOBAL VARIABLE FI*80043193*Semester 1 2009*2009-01-01*2009-06-30*250*departamento.marketing@credit-suisse.com*A*MEDIO*0.0*0.89**70258.07*72*0.0*659906*false*9.3926***1.0*0.1*3.59*4.86*0.73*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS R.VARIABLE INTERNACIONAL FI*80043193*Semester 2 2010*2010-07-01*2010-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.52*0.46**1015019.62*106*0.0*10351826*false*10.1986***0.23*0.07*7.07*8.17*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS R.VARIABLE INTERNACIONAL FI*80043193*Trimester 3 2010*2010-07-01*2010-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.03*0.35**962220.47*98*0.0*9165696*false*9.5256***0.11*0.04*6.93*12.24*0.17*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS R.VARIABLE INTERNACIONAL FI*80043193*Semester 1 2010*2010-01-01*2010-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.0*0.26**1159722.57*100*0.0*10331534*false*8.9086***0.68*0.1****CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*GLOBAL VARIABLE, FI*80043193*Trimester 1 2010*2010-01-01*2010-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MEDIO*0.0*0.22**800967.39*89*0.0*7791893*false*9.7281***0.48*0.05*-1.73*6.58*0.58*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 3 2011*2011-07-01*2011-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.18*0.9**1198306.08*117*0.0*10918934*false*9.11*[]*[]*0.11*0.03*-12.4*20.56*0.14*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 3 2011*2011-07-01*2011-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.18*0.9**39483.72*10*0.0*358383*false*9.08*[]*[]*0.38*0.03*-12.64*20.56*-1.35*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 1 2011*2011-01-01*2011-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.89*0.72**1168296.98*120*0.0*12152936*false*10.4*[]*[]*0.22*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 1 2011*2011-01-01*2011-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.89*0.72**21139.43*4*0.0*219627*false*10.39*[]*[]*0.21*4.86*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
