fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 2 2014*2014-07-01*2014-12-31*4828*N/D*ND*6 en una escala del 1al 7,*0.0*0.0**307999.35*2*0.0*3055496*false*9.9205*0.27*0.0*0.27*0.02***0.34*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 2 2015*2015-07-01*2015-12-31*4828*N/D*ND*6 en una escala del 1al 7,*0.28*0.0**308404.36*108*0.0*2972588*false*9.6386*0.88*0.0*0.88*0.05*8.02*16.6*0.54*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 3 2015*2015-07-01*2015-09-30*4828*N/D*ND*6 en una escala del 1al 7,*0.2*0.0**307999.35*2*0.0*2748357*false*8.9233*0.44*0.0*0.44*0.03*-10.87*20.84*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 1 2015*2015-01-01*2015-06-30*4828*N/D*ND*5 en una escala del 1al 7,*0.44*0.0**307999.35*2*0.0*3083649*false*10.0119*0.87*0.0*0.87*0.05*-3.45*8.71*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 1 2015*2015-01-01*2015-03-31*4828*N/D*ND*5 en una escala del 1al 7,*0.26*0.0**307999.35*2*0.0*3193836*false*10.3696*0.43*0.0*0.43*0.02*4.53*4.3*0.48*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 2 2016*2016-07-01*2016-12-31*4828*N/D*ND*6 en una escala del 1al 7,*0.25*-0.23**366715.85*109*0.0*3769046*false*10.2778*0.88*0.0*0.88*0.05*8.74*10.21*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 3 2016*2016-07-01*2016-09-30*4828*N/D*ND*6 en una escala del 1al 7,*0.05*-0.27**366715.85*109*0.0*3466247*false*9.4521*0.44*0.0*0.44*0.03*6.42*15.1*0.51*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 1 2016*2016-01-01*2016-06-30*4828*N/D*ND*6 en una escala del 1al 7,*0.24*-0.15**366715.85*109*0.0*3256986*false*8.8815*0.87*0.0*0.87*0.05*-2.93*24.09*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 1 2016*2016-01-01*2016-03-31*4828*N/D*ND*6 en una escala del 1al 7,*0.14*-0.08**347121.95*109*0.0*3176133*false*9.1499*0.43*0.0*0.43*0.02*-5.07*23.56*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 2 2017*2017-07-01*2017-12-31*4828*N/D*A3 (Moody's)*5 en una escala del 1 al 7,*0.09*0.0**390748.21*108*0.0*4492288*false*11.4966*0.88*0.0*0.88*0.04*1.78*8.37*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 3 2017*2017-07-01*2017-09-30*4828*N/D*A3 (Moody's)*5 en una escala del 1al 7,*0.02*0.0**390758.53*109*0.0*4413657*false*11.2951*0.44*0.0*0.44*0.02*3.7*9.33*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
