fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Semester 2 2017*2017-07-01*2017-12-31*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.15*-0.13**19748483.92*6049*0.0*205261000*false*10.3937*0.29*0.0*0.29*0.02*2.88*6.26*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Trimester 3 2017*2017-07-01*2017-09-30*5171*bbvafondos@bbva.com*No Disponible*6 en una escala del 1 al 7*0.0*-0.05**2571694.05*842*0.0*25981000*false*10.1028*0.1*0.0*0.1*0.01*1.03*1.16*0.29*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Semester 1 2017*2017-01-01*2017-06-30*5171*bbvafondos@bbva.com*0*6 en una escala del 1 al 7*0.0*0.0**30000.0*1*0.0*300000*false*10.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Semester 2 2018*2018-07-01*2018-12-31*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.98*-0.36**32416408.16*20304*0.0*320787000*false*9.8958*0.3*0.0*0.3*0.03*-8.92*13.05*0.29*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN FI*87778783*Trimester 3 2018*2018-07-01*2018-09-30*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.65*-0.32**59988194.99*17714*0.0*651803000*false*10.8655*0.15*0.0*0.15*0.01*2.95*4.65*0.3*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN FI*87778783*Semester 1 2018*2018-01-01*2018-06-30*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*1.23*-0.31**50218090.29*15193*0.0*530009000*false*10.5541*0.3*0.0*0.3*0.02*4.25*7.15*0.3*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Trimester 1 2018*2018-01-01*2018-03-31*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.75*-0.3**36717169.67*11077*0.0*371720000*false*10.1239*0.15*0.0*0.15*0.01*-2.6*11.59*0.32*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Trimester 3 2019*2019-07-01*2019-09-30*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.15*-0.36**74875488.36*30994*0.0*861556000*false*11.5065*0.15*0.0*0.15*0.01*3.47*10.2*0.33*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Semester 1 2019*2019-01-01*2019-06-30*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.56*-0.24**71482437.44*29314*0.0*794904000*false*11.1203*0.3*0.0*0.3*0.02*1.12*7.68*0.32*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Trimester 1 2019*2019-01-01*2019-03-31*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.21*-0.24**44893124.85*24821*0.0*493678000*false*10.9967*0.15*0.0*0.15*0.01*11.12*7.79*0.31*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
ESTRATEGIA INVERSIÓN, FI*ESTRATEGIA INVERSIÓN, FI*87778783*Semester 2 2018*2018-07-01*2018-12-31*5171*bbvafondos@bbva.com*A-*6 en una escala del 1 al 7*0.98*-0.36**32416408.16*20304*0.0*320787000*false*9.8958*0.3*0.0*0.3*0.03*-8.92*13.05*0.29*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133411001
