fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Semester 2 2017*2017-07-01*2017-12-31*5222*gestora@egeriaactivos.com*Baa1*6, en una escala del 1 al 7*0.0*0.0**313185.68*3*0.0*3096100*false*9.8858*0.01**0.01*0.0****UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Semester 2 2018*2018-07-01*2018-12-31*5222*gestora@egeriaactivos.com*Baa1*6, en una escala del 1 al 7*1.79*-0.25**387954.68*123*0.0*3355250*false*8.6486*0.15**0.15*0.03*-10.12*14.63*0.18*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Trimester 3 2018*2018-07-01*2018-09-30*5222*gestora@egeriaactivos.com*Baa1*6, en una escala del 1 al 7*0.03*-0.21**372964.68*47*0.0*3588691*false*9.6221*0.08**0.08*0.02*3.56*7.47*0.17*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Semester 1 2018*2018-01-01*2018-06-30*5222*gestora@egeriaactivos.com*Baa1*6, en una escala del 1 al 7*0.76*-0.06**372733.11*27*0.0*3463146*false*9.2912*0.15**0.15*0.02*2.45*8.76*0.13*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Trimester 1 2018*2018-01-01*2018-03-31*5222*gestora@egeriaactivos.com*Baa1*6, en una escala del 1 al 7*0.76*0.0**317507.08*16*0.0*2879499*false*9.0691*0.07**0.07*0.01*-8.26*11.98*0.14*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Semester 2 2019*2019-07-01*2019-12-31*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.0*-0.63**598859.95*132*0.0*6456547*false*10.7814*0.15**0.15*0.03*5.64*8.26*0.11*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Trimester 3 2019*2019-07-01*2019-09-30*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.0*-0.47**555990.02*131*0.0*5674483*false*10.2061*0.08**0.08*0.01*2.18*11.11*0.11*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Semester 1 2019*2019-01-01*2019-06-30*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.81*-0.39**486183.24*130*0.0*4856190*false*9.9884*0.15**0.15*0.02*1.88*8.54*0.12*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Trimester 1 2019*2019-01-01*2019-03-31*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.64*-0.2**449918.8*126*0.0*4410978*false*9.8039*0.07**0.07*0.01*13.36*9.22*0.16*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Semester 2 2020*2020-07-01*2020-12-31*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.0*-0.4**868508.23*150*0.0*9486771*false*10.9231*0.15**0.15*0.03*9.47*11.93*0.09*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Trimester 3 2020*2020-07-01*2020-09-30*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.03*-0.4**793671.79*144*0.0*7919658*false*9.9785*0.08**0.08*0.01*0.36*12.6*0.12*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Semester 1 2020*2020-01-01*2020-06-30*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.32*-0.58**723280.47*146*0.0*7191630*false*9.9431*0.15**0.15*0.02*11.84*21.78*0.09*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
GDP WORLD EQUITY, FI*GDP WORLD EQUITY, FI*98950876*Trimester 1 2020*2020-01-01*2020-03-31*5222*manuel.campos@universeam.com*Baa1*6, en una escala del 1 al 7*0.0*-0.76**683310.45*142*0.0*6075189*false*8.8908*0.07**0.07*0.01*-17.54*38.94*0.1*UNIVERSE ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0132236003
