fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Trimester 3 2009*2009-07-01*2009-09-30*336*fondos@gesconsult.es*Aa2*Alto*0.88*0.27**267688.45*383*0.0*8044000*false*30.048***0.57*0.03*17.18*15.39*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Semester 1 2009*2009-01-01*2009-06-30*336*fondos@gesconsult.es*Aa1*Alto*2.67*1.4**244941.37*375*0.0*6281000*false*25.6421***1.11*0.06*17.23*18.53*0.63*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Semester 2 2010*2010-07-01*2010-12-31*336*fondos@gesconsult.es*Aa2*Alto*0.52*0.51**276512.88*501*0.0*7826364*false*28.3038***1.14*0.06*1.49*14.31*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Trimester 3 2010*2010-07-01*2010-09-30*336*fondos@gesconsult.es*Aa2*Alto*0.25*0.43**329855.4*610*0.0*9199046*false*27.8881***0.57*0.03*10.5*16.54*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Semester 1 2010*2010-01-01*2010-06-30*336*fondos@gesconsult.es*Aa2*Alto*0.88*0.29**439549.62*735*0.0*11092917*false*25.237***1.11*0.06*-13.27*29.28*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Trimester 1 2010*2010-01-01*2010-03-31*336*fondos@gesconsult.es*Aa2*Alto*0.52*0.24**429286.94*658*0.0*12491659*false*29.0986***0.55*0.03*-4.89*16.05*0.64*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2011*2011-07-01*2011-09-30*336*fondos@gesconsult.es*N/D*ALTO*0.39*1.26**336628.76*497*0.0*8374222*false*24.8767***0.57*0.03*-17.95*25.95*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2011*2011-01-01*2011-06-30*336*fondos@gesconsult.es*N/D*ALTO*0.38*0.73**333609.01*523*0.0*10114073*false*30.3171***1.03*0.06*-1.18*13.94*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Trimester 1 2011*2011-01-01*2011-03-31*336*fondos@gesconsult.es*Aa2*Alto*0.38*0.76**314093.39*491*0.0*9635939*false*30.6786***0.55*0.03*8.39*14.08*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Semester 2 2010*2010-07-01*2010-12-31*336*fondos@gesconsult.es*Aa2*Alto*0.52*0.51**276512.88*501*0.0*7826364*false*28.3038***1.14*0.06*1.49*14.31*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2012*2012-07-01*2012-09-30*336*fondos@gesconsult.es*ND*ALTO*1.06*0.57**303514.44*383*0.0*7465315*false*24.5962*0.57*0.0*0.57*0.03*5.9*23.76*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2012*2012-01-01*2012-06-30*336*fondos@gesconsult.es*ND*ALTO*2.4*0.33**317678.94*413*0.0*7378150*false*23.2252*1.12*0.0*1.12*0.06*-9.27*21.66*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2012*2012-01-01*2012-03-31*336*fondos@gesconsult.es*ND*ALTO*0.95*0.51**304477.98*440*0.0*7794309*false*25.5989*0.56*0.0*0.56*0.03*1.0*13.29*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2011*2011-07-01*2011-12-31*336*fondos@gesconsult.es*ND*ALTO*0.82*1.33**331833.29*478*0.0*8410601*false*25.3459*1.13*0.0*1.13*0.06*1.89*23.82*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2013*2013-07-01*2013-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.04*1.19**554784.65*502*0.0*19206606*false*34.6199*1.13*0.0*1.13*0.06*9.47*11.11*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2013*2013-07-01*2013-09-30*336*fondos@gesconsult.es*ND*ALTO*0.73*1.2**276152.75*355*0.0*8733138*false*31.6243*0.57*0.0*0.57*0.03*14.57*11.96*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2013*2013-01-01*2013-06-30*336*fondos@gesconsult.es*ND*ALTO*1.66*1.08**267892.47*331*0.0*7394515*false*27.6025*1.12*0.0*1.12*0.06*2.19*12.62*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
