fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2009*2009-07-01*2009-12-31*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.18*0.91**2162821.82*1562*0.0*17456868*false*8.0713***0.86*0.1*3.48*12.61*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2009*2009-07-01*2009-09-30*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.12*0.9**2170982.18*1574*0.0*16933885*false*7.8001***0.43*0.05*12.81*12.47*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2009*2009-01-01*2009-06-30*1533*participes.ibercajagestion@ibercaja.net*A2*Medio*0.54*2.75**2086806.56*1566*0.0*14428977*false*6.9144***0.84*0.1*11.79*15.98*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2010*2010-07-01*2010-12-31*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.36*0.91**2173978.39*1610*0.0*17617492*false*8.1038***0.86*0.1*2.26*10.1*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2010*2010-07-01*2010-09-30*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.15*0.91**2293654.04*1687*0.0*18176579*false*7.9247***0.43*0.05*5.83*12.04*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2010*2010-01-01*2010-06-30*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.51*0.9**2351922.56*1749*0.0*17611312*false*7.488***0.84*0.1*-7.7*20.78*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2010*2010-01-01*2010-03-31*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.89**2330288.89*1717*0.0*18904510*false*8.1125***0.42*0.05*0.51*10.9*0.47*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2011*2011-07-01*2011-09-30*1533*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.17*1.49**1857300.79*1397*0.0*13368444*false*7.1978***0.43*0.05*-13.32*24.6*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2011*2011-01-01*2011-06-30*1533*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.59*1.05**1949911.54*1456*0.0*16192394*false*8.3042***0.84*0.1*0.21*9.88*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2011*2011-01-01*2011-03-31*1533*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.21*0.9**2134960.48*1593*0.0*17692171*false*8.2869***0.42*0.05*2.26*9.59*0.47*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2010*2010-07-01*2010-12-31*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.36*0.91**2173978.39*1610*0.0*17617492*false*8.1038***0.86*0.1*2.26*10.1*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2012*2012-07-01*2012-12-31*1533*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.17*0.77**1595278.35*1240*0.0*13325506*false*8.3531*0.85*0.0*0.85*0.1*2.82*7.53*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2012*2012-07-01*2012-09-30*1533*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.02*0.79**1630637.26*1261*0.0*13247733*false*8.1243*0.43*0.0*0.43*0.05*4.82*11.63*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2012*2012-01-01*2012-06-30*1533*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.72*1.0**1679701.66*1285*0.0*13018788*false*7.7507*0.85*0.0*0.85*0.1*-1.72*13.38*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
