fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Semester 2 2009*2009-07-01*2009-12-31*3389*acgestionclientes@ahorro.com*AA-   FITCH*Medio bajo*0.18*0.18**99633771.77*41657*0.0*1117266317*false*11.2137***0.3*0.02*0.09*0.04*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Trimester 3 2009*2009-07-01*2009-09-30*3389*acgestionclientes@ahorro.com*AA-   FITCH*Medio bajo*0.13*0.17**115686505.35*45665*0.0*1296051174*false*11.2031***0.15*0.01*0.2*0.05*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Semester 1 2009*2009-01-01*2009-06-30*3389*acgestionclientes@ahorro.com*AA-   IBCA*MEDIO BAJO*0.43*1.0**126648503.85*48003*0.0*1415969469*false*11.1803***0.3*0.01*0.35*0.07*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Trimester 3 2010*2010-07-01*2010-09-30*3389*acgestionclientes@ahorro.com*AA-   FITCH*Medio*0.0*0.19**65617144.38*31622*0.0*737769564*false*11.2435***0.15*0.01*0.11*0.04*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Semester 1 2010*2010-01-01*2010-06-30*3389*acgestionclientes@ahorro.com*AA-   FITCH*Medio bajo*0.04*0.22**72015157.04*33715*0.0*808802974*false*11.231***0.3*0.01*0.08*0.04*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Trimester 1 2010*2010-01-01*2010-03-31*3389*acgestionclientes@ahorro.com*AA-   FITCH*Medio bajo*0.03*0.2**82913163.51*37356*0.0*930492729*false*11.2225***0.15*0.01*0.08*0.03*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Semester 2 2009*2009-07-01*2009-12-31*3389*acgestionclientes@ahorro.com*AA-   FITCH*Medio bajo*0.18*0.18**99633771.77*41657*0.0*1117266317*false*11.2137***0.3*0.02*0.09*0.04*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Trimester 3 2011*2011-07-01*2011-09-30*3389*acgestionclientes@ahorro.com*A1    MOODY'S*Medio*0.01*1.06**51492847.82*25358*0.0*587462035*false*11.4086***0.15*0.01*0.57*0.07*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Semester 1 2011*2011-01-01*2011-06-30*3389*acgestionclientes@ahorro.com*A1    MOODY'S*Medio*0.04*0.66**51009060.65*26076*0.0*578615512*false*11.3434***0.3*0.01*0.46*0.06*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA FONDEPOSITO, FI*Ahorro Corporación Fondepósito,F.I.*84564624*Trimester 1 2011*2011-01-01*2011-03-31*3389*acgestionclientes@ahorro.com*A1    MOODY'S*Medio*0.02*0.42**54341435.48*27207*0.0*613616419*false*11.2919***0.15*0.01*0.28*0.05*0.16*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
