fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2009*2009-07-01*2009-12-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*1.99*0.04**2709095.21*8186*0.0*133904789*false*49.4279***1.01*0.03*0.71*9.72*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2009*2009-07-01*2009-09-30*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*1.01*0.04**2791580.25*8342*0.0*137005104*false*49.078***0.5*0.01*10.65*9.32*0.54*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2009*2009-01-01*2009-06-30*30*acgestionclientes@ahorro.com*AA-   IBCA*MEDIO ALTO*3.54*1.13**2856545.14*8511*0.0*126696168*false*44.3529***0.99*0.03*11.42*12.77*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2010*2010-07-01*2010-12-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.79*0.14**2350170.3*7244*0.0*105786990*false*45.0125***1.01*0.03*-3.06*11.3*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2010*2010-07-01*2010-09-30*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.38*0.07**2473567.98*7599*0.0*114855488*false*46.4331***0.5*0.01*6.53*12.49*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2010*2010-01-01*2010-06-30*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*1.23*0.03**2580890.34*7836*0.0*112490719*false*43.586***0.99*0.03*-8.2*24.49*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2010*2010-01-01*2010-03-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.61*0.02**2664893.48*8082*0.0*126533703*false*47.4817***0.49*0.01*-3.94*11.34*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2011*2011-07-01*2011-09-30*30*acgestionclientes@ahorro.com*A1    MOODY'S*Medio alto*0.34*0.9**2020557.72*6361*0.0*83444028*false*41.2975***0.5*0.01*-11.13*20.84*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2011*2011-01-01*2011-06-30*30*acgestionclientes@ahorro.com*A1    MOODY'S*Medio alto*0.95*0.48**2097473.54*6563*0.0*97472160*false*46.4712***0.99*0.03*-1.2*10.05*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2011*2011-01-01*2011-03-31*30*acgestionclientes@ahorro.com*A1    MOODY'S*Medio alto*0.58*0.35**2204903.89*6821*0.0*103708777*false*47.0355***0.49*0.01*4.49*10.98*0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2010*2010-07-01*2010-12-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.79*0.14**2350170.3*7244*0.0*105786990*false*45.0125***1.01*0.03*-3.06*11.3*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2012*2012-07-01*2012-12-31*30*acgestionclientes@ahorro.com*;Ba1  MOODY'S;BBB-  FITCH*5, de una*1.54*0.1**1449431.44*4870*0.0*61806533*false*42.6419*1.01*0.0*1.01*0.03*6.52*9.97*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2012*2012-07-01*2012-09-30*30*acgestionclientes@ahorro.com*BBB-  STANDARD&POOR'S;Ba1  MOODY'S;BBB  FITCH*5, de una*0.43*0.11**1630783.64*5315*0.0*65282086*false*40.0311*0.5*0.0*0.5*0.01*5.92*19.55*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2012*2012-01-01*2012-06-30*30*acgestionclientes@ahorro.com*BBB-  STANDARD&POOR'S;Ba1  MOODY'S;BBB  FITCH*5, de una*0.83*0.16**1734095.31*5570*0.0*65539249*false*37.7945*1.0*0.0*1.0*0.03*-7.54*17.38*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2012*2012-01-01*2012-03-31*30*acgestionclientes@ahorro.com*BBB  STANDARD&POOR'S;A2  MOODY'S;BBB+  FITCH*Medio alto*0.48*0.23**1820373.12*5805*0.0*74413792*false*40.8783*0.5*0.0*0.5*0.01*-1.85*11.41*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2013*2013-07-01*2013-12-31*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*1.22*0.09**1151235.36*4075*0.0*58949505*false*51.2054*1.01*0.0*1.01*0.03*6.77*7.92*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2013*2013-07-01*2013-09-30*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*0.63*0.09**1205382.31*4201*0.0*57808011*false*47.9582*0.5*0.0*0.5*0.01*11.01*9.3*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2013*2013-01-01*2013-06-30*30*acgestionclientes@ahorro.com*;Ba1  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*1.61*0.09**1256349.81*4336*0.0*54278736*false*43.2035*0.99*0.0*0.99*0.03*0.87*10.75*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2013*2013-01-01*2013-03-31*30*acgestionclientes@ahorro.com*;Ba1  MOODY'S;BBB-  FITCH*5, de una*1.01*0.08**1332741.12*4520*0.0*57083001*false*42.8313*0.49*0.0*0.49*0.01*0.44*11.92*0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2014*2014-07-01*2014-09-30*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*0.46*0.08**1020529.37*3730*0.0*56146120*false*55.0167*0.5*0.0*0.5*0.01*0.32*9.58*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2014*2014-01-01*2014-06-30*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*1.47*0.13**1043030.66*3791*0.0*57201174*false*54.8413*0.99*0.0*0.99*0.03*2.55*7.83*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
