fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 2 2009*2009-07-01*2009-12-31*1992*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.0*0.08**6486328.08*1385*0.0*29847357*false*4.6016***0.83*0.05*6.71*13.91*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Trimester 3 2009*2009-07-01*2009-09-30*1992*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.0*0.07**6171137.71*1194*0.0*26610818*false*4.3121***0.42*0.03*12.55*13.49*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 1 2009*2009-01-01*2009-06-30*1992*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.0*0.45**5521936.32*1152*0.0*21155446*false*3.8312***0.82*0.05*10.01*19.7*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 2 2010*2010-07-01*2010-12-31*1992*bbk.gestion@grupobbk.com*A (IBCA)*Alto*0.67*0.16**7183196.76*2403*0.0*36118786*false*5.0282***0.83*0.05*6.8*9.41*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Trimester 3 2010*2010-07-01*2010-09-30*1992*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.36*0.11**7406898.72*2180*0.0*34870934*false*4.7079***0.42*0.03*8.59*16.42*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 1 2010*2010-01-01*2010-06-30*1992*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.0*0.11**7559833.87*1993*0.0*32776521*false*4.3356***0.82*0.05*-10.18*23.38*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Trimester 1 2010*2010-01-01*2010-03-31*1992*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.02*0.09**6572506.61*1677*0.0*31726308*false*4.8271***0.41*0.02*4.9*12.71*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Trimester 3 2011*2011-07-01*2011-09-30*1992*bbk.gestion@grupobbk.com*A (IBCA)*Alto*0.52*0.39**16368035.08*5886*0.0*77412798*false*4.7295***0.42*0.03*-11.98*27.78*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 1 2011*2011-01-01*2011-06-30*1992*bbk.gestion@grupobbk.com*A (IBCA)*Alto*0.25*0.38**16448431.29*5921*0.0*88383358*false*5.3734***0.82*0.05*0.29*10.49*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Trimester 1 2011*2011-01-01*2011-03-31*1992*bbk.gestion@grupobbk.com*A (IBCA)*Alto*0.17*0.24**10074470.79*2682*0.0*53975711*false*5.3577***0.41*0.02*6.55*11.57*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 2 2010*2010-07-01*2010-12-31*1992*bbk.gestion@grupobbk.com*A (IBCA)*Alto*0.67*0.16**7183196.76*2403*0.0*36118786*false*5.0282***0.83*0.05*6.8*9.41*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
