fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 2 2015*2015-07-01*2015-12-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.1*0.0**1053212.76*328*0.0*109835809*false*104.2864*0.25*[]*0.25*0.04*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 3 2015*2015-07-01*2015-09-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**1049354.13*328*0.0*104740059*false*99.8138*0.13*[]*0.13*0.02*-3.34*15.9*0.15*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 3 2015*2015-07-01*2015-09-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**116266.11*610*0.0*11504979*false*98.9538*0.44*[]*0.44*0.02*-3.64*15.9*0.46*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 3 2015*2015-07-01*2015-09-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**198777.82*105*0.0*19740168*false*99.3077*0.31*[]*0.31*0.02*-3.52*15.9*0.33*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 1 2015*2015-01-01*2015-06-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.03**1051565.32*323*0.0*108588070*false*103.2633*0.24*[]*0.24*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 1 2015*2015-01-01*2015-06-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.03**86179.23*473*0.0*8850281*false*102.6962*0.86*[]*0.86*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 1 2015*2015-01-01*2015-06-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.03**105453.92*69*0.0*10854799*false*102.9341*0.6*[]*0.6*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 1 2015*2015-01-01*2015-03-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.02**1001101.2*313*0.0*104685600*false*104.5704*0.12*[]*0.12*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 1 2015*2015-01-01*2015-03-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.02**41386.57*213*0.0*4317436*false*104.3197*0.42*[]*0.42*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 1 2015*2015-01-01*2015-03-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.02**33597.87*23*0.0*3508698*false*104.4322*0.24*[]*0.24*0.01*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 2 2016*2016-07-01*2016-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**941521.87*326*0.0*112234986*false*119.2059*0.25*[]*0.25*0.04*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
